,BARCODE,BARRIER_TYPE,BARRIER_TYPE2,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,ENGINEERED,FACILITYID,GIS_ENTRY_STAGE,HEIGHT_M,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LIFECYCLE_COST,LOCATED_ON,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MATERIAL,MODEL,MOD_DATE,NO_OF_BARRIERS,NO_OF_BULLNOSE,NO_OF_HWY_NOPOST,NO_OF_NOPOST,NO_OF_TRANSITION,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PAINTED,PARK_FENCE_TYPE,PARK_LEGACY_ID,PARK_OWNERSHIP,PROJECT_NO,QUANTITY,REFERENCE_NO,RETAINING_WALL_TYPE,ROAD_CODE,SERIAL_NO,SPECIAL_FEATURES,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,TEMP,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH_M,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
29,,5,No Post Guardrail,2 NPGR,,,20091016,,,1001134845,Initial AB,,,,,,,Easement,,Engineering,,,Concrete,,20091016,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
30,,1,Deflector Guardrail,2 NPGR,,,20091020,,,1001135089,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091020,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
31,,3,Handrail,,,,20100105,,,1001144869,Final AB,,,,,,,Retaining Wall,,Engineering,,,Metal Tube,,20100106,,,,,,,,Engineering,Surrey,Not Painted,,,,MOTH 71101-2005,,,,,,,In Service,,,,,,,,,,2007,,
32,,5,No Post Guardrail,3 NPGR,,,20091009,,,1001133985,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091009,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
33,,2,Fencing,,,,20110315,,,1001191176,Final AB,,,,,,,Road,,Engineering,,,Concrete,,20110315,,,,,,,,Engineering,Provincial,Grey,,,,MOTH 71101-1004,,,,,,,In Service,,,,,,,,,,2009,,
34,,2,Fencing,,,,20110315,,,1001191177,Final AB,,,,,,,Road,,Engineering,,,Concrete,,20110315,,,,,,,,Engineering,Provincial,Grey,,,,MOTH 71101-1004,,,,,,,In Service,,,,,,,,,,2009,,
35,,2,Fencing,,,,20110315,,,1001191180,Final AB,,,,,,,Road,,Engineering,,,Concrete,,20110315,,,,,,,,Engineering,Provincial,Grey,,,,MOTH 71101-1004,,,,,,,In Service,,,,,,,,,,2009,,
36,,2,Fencing,,,,20110315,,,1001191194,Final AB,,,,,,,Road,,Engineering,,,Concrete,,20110315,,,,,,,,Engineering,Provincial,Grey,,,,MOTH 71101-1004,,,,,,,In Service,,,,,,,,,,2009,,
37,,2,Fencing,,,,20110311,,,1001190917,Final AB,,,,,,,Walkway,,Engineering,,,Chain Link,,20110311,,,,,,,,Engineering,Surrey,Not Painted,,,,3805-6060-00,,,,,,,In Service,,,,,,,,,,2010,,
38,,2,Fencing,,,,20110311,,,1001190919,Final AB,,,,,,,Walkway,,Engineering,,,Chain Link,,20110311,,,,,,,,Engineering,Surrey,Not Painted,,,,3805-6060-00,,,,,,,In Service,,,,,,,,,,2010,,
39,,2,Fencing,,,,20110311,,,1001190931,Final AB,,,,,,,Walkway,,Engineering,,,Chain Link,,20110311,,,,,,,,Engineering,Surrey,Not Painted,,,,3805-6060-00,,,,,,,In Service,,,,,,,,,,2010,,
40,,4,Highway No Post Guardrail,,,,20100721,,,1001168062,Final AB,,,,,,,Road,,Engineering,,,Concrete,,20100721,,,,,,,,Engineering,Provincial,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
41,,5,No Post Guardrail,,,,20100413,,,1001155276,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20100413,,,,2,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
42,,5,No Post Guardrail,,,,20100209,,,1001149341,Final AB,,,,,,,Road,,Engineering,,,Concrete,,20100209,,,,5,,,,Engineering,Surrey,,,,,F/T,,,,,,,In Service,,,,,,,,,,,,
43,,1,Deflector Guardrail,,,,20100209,,,1001149342,Final AB,,,,,,,Road,,Engineering,,,Wooden,,20100209,,,,,,,,Engineering,Surrey,White,,,,F/T,,,,,,,In Service,,,,,,,,,,,,
44,,6,Retaining Wall,,,,20161130,,,1001898561,Final AB,,,,,,,Road,,Provincial,,,Concrete,,20161130,,,,,,,,Provincial,Provincial,Not Painted,,,,MOTH 12449-2014,,,,,,,In Service,,,,,,,,,,2014,,
45,,2,Fencing,,,,20161130,,,1001898564,Final AB,,,,,1001898561,0,Retaining Wall,,Provincial,,,Metal Tube,,20161130,,,,,,,,Provincial,Provincial,Not Painted,,,,MOTH 12449-2014,,,,,,,In Service,,,,,,,,,,2014,,0
46,,2,Fencing,Noise Wall,,,20161130,,,1001898565,Final AB,,,,,,,Sidewalk,,Provincial,,,Concrete,,20161130,,,,,,,,Provincial,Provincial,Not Painted,,,,MOTH 12449-2014,,,,,,,In Service,,,,,,,,,,2014,,
47,,2,Fencing,,,,20100226,,,1001151241,Final AB,,,,,,,Road,,Engineering,,,Log Rail,,20100226,,,,,,,,Engineering,Surrey,Not Painted,,,,1705-3110-00,,,,,,,In Service,,,,,,,,,,2009,,
48,,5,No Post Guardrail,2 NPGR,,,20091009,,,1001133964,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091009,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2009,,
49,,5,No Post Guardrail,2 NPGR,,,20091009,,,1001133982,Initial AB,,,,,,,Lane,,Engineering,,,Concrete,,20091009,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2009,,
50,,5,No Post Guardrail,1 HNPG,,,20091009,,,1001133984,Initial AB,,,,,,,Bridge,,Engineering,,,Concrete,,20091009,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
51,,5,No Post Guardrail,,,,20100412,,,1001155085,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20100412,,,,,,,,Engineering,Surrey,White,,,,,,,,,,,In Service,,,,,,,,,,,,
52,,5,No Post Guardrail,,,,20100412,,,1001155092,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20100412,,,,2,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,,,
53,,5,No Post Guardrail,,,,20100412,,,1001155094,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20100412,,1,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
54,,1,Deflector Guardrail,,,,20100412,,,1001155096,Initial AB,,,,,,,Easement,,Engineering,,,Metal Tube,,20100412,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
55,,2,Fencing,,,,20100413,,,1001155100,Final AB,,,,,,,Sidewalk,,Engineering,,,Metal Tube,,20100413,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
56,,1,Deflector Guardrail,,,,20100413,,,1001155119,EC,,,,,,,Easement,,Engineering,,,Metal Tube,,20100413,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
57,,4,Highway No Post Guardrail,2 HNPG,,,20091016,,,1001134822,Initial AB,,,,,,,Bridge,,Engineering,,,Concrete,,20091016,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2009,,
58,,5,No Post Guardrail,,,,20110318,,,1001192289,,,,,,,,Road,,Engineering,,,Concrete,,20110323,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
59,,4,Highway No Post Guardrail,,,,20100310,,,1001152395,Final AB,,,,,,,Road,,Engineering,,,Concrete,,20110216,,,,,,,,Engineering,Provincial,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
60,,6,Retaining Wall,MSE SIERRA SLOPE,,,20090525,,,1001122318,Final AB,,,,,,,Sidewalk,,Engineering,,,Gravel,,20110325,,,,,,,,Engineering,Surrey,Not Painted,,,,1704-3210-00,,,,,,,In Service,,,,,,,,,,2008,,
61,,6,Retaining Wall,,,,20100331,,,1001154187,Final AB,,,,,,,Road,,Engineering,,,Concrete,,20110325,,,,,,,,Engineering,Provincial,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2008,,
62,,4,Highway No Post Guardrail,,,,20160208,,,1001857956,Final AB,,,,,,,Road,,MOTH,,,Concrete,,,,,,,,,,MOTH,Provincial,Not Painted,,,,SFPR Seg. F1,,,,,,,In Service,,,,,,,,,,2013,,
63,,4,Highway No Post Guardrail,7 HNPG,,,20091013,,,1001134142,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091013,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2009,,
64,,5,No Post Guardrail,4 NPGR,,,20091001,,,1001133058,Initial AB,,,,,,,Lane,,Engineering,,,Concrete,,20091001,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2009,,
65,,4,Highway No Post Guardrail,,,,20160208,,,1001857905,Final AB,,,,,,,Road,,MOTH,,,Concrete,,20160208,,,,,,,,MOTH,Provincial,Not Painted,,,,SFPR Seg. F1,,,,,,,In Service,,,,,,,,,,2013,,
66,,4,Highway No Post Guardrail,,,,20160208,,,1001857945,Final AB,,,,,,,Road,,MOTH,,,Concrete,,,,,,,,,,MOTH,Provincial,Not Painted,,,,SFPR Seg. F1,,,,,,,In Service,,,,,,,,,,2013,,
67,,5,No Post Guardrail,5 NPGR,,,20091013,,,1001134159,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091013,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2009,,
68,,5,No Post Guardrail,1 NPGR,,,20091013,,,1001134166,Initial AB,,,,,,,Lane,,Engineering,,,Concrete,,20091013,,,,,,,,Engineering,Surrey,White,,,,,,,,,,,In Service,,,,,,,,,,2009,,
69,,5,No Post Guardrail,2 NPGR,,,20091013,,,1001134167,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091013,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2009,,
70,,1,Deflector Guardrail,1 DGR,,,20091002,,,1001133557,Initial AB,,,,,,,Road,,Engineering,,,Wooden,,20091002,,,,,,,,Engineering,Surrey,White,,,,,,,,,,,In Service,,,,,,,,,,2009,,
71,,1,Deflector Guardrail,1 DGR,,,20091002,,,1001133568,Initial AB,,,,,,,Road,,Engineering,,,Wooden,,20091002,,,,,,,,Engineering,Surrey,White,,,,,,,,,,,In Service,,,,,,,,,,2009,,
72,,1,Deflector Guardrail,1 DGR,,,20091002,,,1001133569,Initial AB,,,,,,,Road,,Engineering,,,Wooden,,20091002,,,,,,,,Engineering,Surrey,White,,,,,,,,,,,In Service,,,,,,,,,,2009,,
73,,4,Highway No Post Guardrail,"9 HNPG, 2 Bullnose, 2 Transition",,,20091002,,,1001133576,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091106,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2009,,
74,,5,No Post Guardrail,2 NPGR,,,20091002,,,1001133580,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091002,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
75,,5,No Post Guardrail,2 NPGR,,,20091002,,,1001133087,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091005,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
76,,5,No Post Guardrail,3 NPGR,,,20091006,,,1001133698,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20091006,,,,,,,,Engineering,Surrey,White,,,,,,,,,,,In Service,,,,,,,,,,2009,,
77,,3,Handrail,,,,20090114,,,1001077840,Final AB,,,,,,,Road,,Engineering,,,Metal Tube,,20090114,,,,,,,,Engineering,Surrey,,,,,7806-0087-00,,,,,,,In Service,,,,,,,,,,2009,,
78,,6,Retaining Wall,,,,20130708,,,1001605652,Final AB,,,,,1001605651,,Other,,Engineering,,,Block,,20130708,,,,,,,,Engineering,Private,Not Painted,,,,7808-0230-00,,,,,,,In Service,,,,,,,,,,2012,,
79,,6,Retaining Wall,,,,20130130,,,1001565785,Final AB,,,,,,,Sidewalk,,Engineering,,,Block,,20130130,,,,,,,,Engineering,Surrey,Not Painted,,,,7811-0046-00,,,,,,,In Service,,,,,,,,,,2012,,
80,,3,Handrail,,,,20120507,,,1001411905,Final AB,,,,,,,Other,,Engineering,,,Metal Tube,,20130130,,,,,,,,Engineering,Surrey,Black,,,,7810-0257-00,,,,,,,In Service,,,,,,,,,,2012,,
81,,5,No Post Guardrail,,,,20120327,,,1001406634,Final AB,,,,,,,Lane,,Engineering,,,Concrete,,20130131,,,,2,,,,Engineering,Surrey,,,,,7811-0046-00,,,,,,,In Service,,,,,,,,,,2012,,
82,,2,Fencing,,,,20100527,,,1001161722,Final AB,,,,,,,Median,,Engineering,,,Log Rail,,20120509,,,,,,,,Engineering,Surrey,Not Painted,,,,1709-3010-00,,,,,,,In Service,,,,,,,,,,2011,,
83,,6,Retaining Wall,,,,20130708,,,1001605651,Final AB,,,,,,,Other,,Engineering,,,Block,,20130708,,,,,,,,Engineering,Private,Not Painted,,,,7808-0230-00,,,,,,,In Service,,,,,,,,,,2012,,
84,,5,No Post Guardrail,4 NPGR,,,20091016,,,1001134966,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20130708,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,2009,,
85,,5,No Post Guardrail,,,,20100408,,,1001154900,,,,,,,,,,Engineering,,,,,20140107,,,,,,,,Engineering,Surrey,,,,,,,,,,,,In Service,,,,,,,,,,,,
86,,2,Fencing,,,,20131119,,,1001413240,Initial AB,1.2,,,,,,Walkway,,Engineering,,,Chain Link,,20131119,,,,,,,,Engineering,Surrey,Not Painted,,,,7806-0037-00,,,,,,,In Service,,,,,,,,,,2013,,
87,,5,No Post Guardrail,,,,20120327,,,1001406612,Final AB,,,,,,,Lane,,Engineering,,,Concrete,,20120516,,,,,,,,Engineering,Surrey,Not Painted,,,,7806-0178-00,,,,,,,In Service,,,,,,,,,,2012,,
88,,5,No Post Guardrail,,,,20120723,,,1001418807,Final AB,,,,,,,Lane,,Engineering,,,Concrete,,20120914,,,,,,,,Engineering,Surrey,Not Painted,,,,7811-0211-00,,,,,,,In Service,,,,,,,,,,2012,,
89,,2,Fencing,,,,20131119,,,1001413241,Initial AB,1.2,,,,1001413240,,Walkway,,Engineering,,,Chain Link,,20131119,,,,,,,,Engineering,Surrey,Not Painted,,,,7806-0037-00,,,,,,,In Service,,,,,,,,,,2013,,
90,,2,Fencing,,,,20120516,,,1001413001,Final AB,,,,,,,Walkway,,Engineering,,,Chain Link,,20120523,,,,,,,,Engineering,Surrey,Not Painted,,,,7810-0307-00,,,,,,,In Service,,,,,,,,,,2012,,
91,,2,Fencing,,,,20120516,,,1001413002,Final AB,,,,,,,Walkway,,Engineering,,,Chain Link,,20120523,,,,,,,,Engineering,Surrey,Not Painted,,,,7810-0307-00,,,,,,,In Service,,,,,,,,,,2012,,
92,,2,Fencing,,,,20120529,,,1001414166,Final AB,,,,,,,Walkway,,Engineering,,,Log Rail,,20120529,,,,,,,,Engineering,Surrey,,,,,7810-0020-00,,,,,,,In Service,,,,,,,,,,2012,,
93,,2,Fencing,,,,20120529,,,1001414191,Final AB,,,,,,,Walkway,,Engineering,,,Log Rail,,20120529,,,,,,,,Engineering,Surrey,,,,,7810-0020-00,,,,,,,In Service,,,,,,,,,,2012,,
94,,2,Fencing,,,,20120529,,,1001414194,Final AB,,,,,,,Walkway,,Engineering,,,Log Rail,,20120529,,,,,,,,Engineering,Surrey,,,,,7810-0020-00,,,,,,,In Service,,,,,,,,,,2012,,
95,,1,Deflector Guardrail,,,,20100413,,,1001155299,Initial AB,,,,,,,Road,,Engineering,,,Metal Tube,,20100413,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
96,,1,Deflector Guardrail,,,,20100413,,,1001155306,Initial AB,,,,,,,Road,,Engineering,,,Metal Tube,,20100413,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
97,,1,Deflector Guardrail,,,,20100413,,,1001155308,Initial AB,,,,,,,Road,,Engineering,,,Metal Tube,,20100413,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
98,,1,Deflector Guardrail,,,,20100413,,,1001155309,Initial AB,,,,,,,Easement,,Engineering,,,Metal Tube,,20100413,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
99,,5,No Post Guardrail,,,,20100413,,,1001155310,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20100413,,,,1,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,,,
100,,5,No Post Guardrail,,,,20100413,,,1001155311,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20100413,,,,2,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,,,
101,,5,No Post Guardrail,,,,20100413,,,1001155312,Initial AB,,,,,,,,,Engineering,,,,,20100413,,2,,11,,,,Engineering,Surrey,,,,,,,,,,,,In Service,,,,,,,,,,,,
102,,5,No Post Guardrail,,,,20100413,,,1001155313,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20100413,,,,13,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,,,
103,,1,Deflector Guardrail,,,,20100413,,,1001155318,Initial AB,,,,,,,Road,,Engineering,,,Wooden,,20100415,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
104,,5,No Post Guardrail,,,,20091019,,,1001134985,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20100415,,,,,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,2009,,
105,,5,No Post Guardrail,,,,20100415,,,1001156026,Initial AB,,,,,,,Road,,Engineering,,,Concrete,,20100415,,1,,2,,,,Engineering,Surrey,Yellow,,,,,,,,,,,In Service,,,,,,,,,,,,
106,,5,No Post Guardrail,,,,20100517,,,1001160305,Final AB,,,,,,,Lane,Lane S/O 1 Ave. between 172 St & 172A St,Engineering,,,Concrete,,20101117,,,,1,,,,Engineering,Surrey,,,,,7804-0411-00,,,,,,,In Service,,,,,,,,,,2009,,
107,,5,No Post Guardrail,,,,20100517,,,1001160357,Final AB,,,,,,,Lane,Lane S/E of 2 Ave & 173 St,Engineering,,,Concrete,,20101117,,,,1,,,,Engineering,Surrey,,,,,7804-0411-00,,,,,,,In Service,,,,,,,,,,2009,,
108,,3,Handrail,,,,20101119,,,1001182430,Final AB,,,,,,,Retaining Wall,,Engineering,,,Metal Tube,,20101119,,,,,,,,Engineering,Surrey,Not Painted,,,,,,,,,,,In Service,,,,,,,,,,,,
109,,3,Handrail,,,,20090610,,,1001124047,Final AB,,,,,,,Retaining Wall,,Engineering,,,Metal Tube,,20090610,,,,,,,,Engineering,Surrey,,,,,1705-3240-00,,,,,,,In Service,,,,,,,,,,2009,,
110,,6,Retaining Wall,,,,20120307,,,1001405002,Final AB,,,,,,,Road,,Engineering,,,Block,,20120319,,,,,,,,Engineering,Surrey,Not Painted,,,,4803-4040-00,,,,,,,In Service,,,,,,,,,,2012,,
