,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NUMBER_OF_TREES,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,ROAD_CODE,SCREEN_TREE_NO,SERIAL_NO,STAND_MAKEUP,STATUS,STATUS_DATE,TREE_GENUS,TREE_SPECIES,TREE_VARIETY,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
24,,Mixed conifer,,,,"Screen Trees; Briarwood Park, 9735 156 St",1001441135,09735,0,20001020,0728-000000099,"In the park, Screen ref 2",Parks,,024,,20121016,9,"Briarwood Park, 9735 156 St",Park,Parks,Briarwood Park,,15600,2,,,OPERATING,20040825105300,,,,,,,,
25,,,,,,"Screen Trees; Bear Creek Heights Tot Lot, 8966 139A St",1001441136,08966,0,20000825,0728-000000077,"In the park, Screen ref 1",Parks,,032,,,14,"Bear Creek Heights Tot-Lot, 8966 139A St",Park,Parks,Bear Creek Heights Tot Lot,,13950,1,,,OPERATING,20040825101400,Thuja,plicata,,,,,,
26,,,,,,"Screen Trees; Bear Creek Heights Tot Lot, 8966 139A St",1001441137,08966,0,20000825,0728-000000078,"In the park, Screen ref 2",Parks,,032,,,6,"Bear Creek Heights Tot-Lot, 8966 139A St",Park,Parks,Bear Creek Heights Tot Lot,,13950,2,,,OPERATING,20040825101700,Thuja,plicata,,,,,,
27,,Mixed conifer  Deadwooding needed and one dead fir in the screen needs to be removed.,,,,"Screen Trees; Evergreen Park, 9950 130 St",1001441138,09950,0,20000818,0728-000000148,"In the park, Screen ref 1",Parks,,021,,20121016,17,"Evergreen Park, 9950 130 St",Park,Parks,Evergreen Park,,13000,1,,,OPERATING,20040826082400,,,,,,,,
28,,Mixed conifer  2 dead trees in screen need to be removed and 8 stakes need removing.,,,,"Screen Trees; Douglas Park, 15044 99A Ave",1001441139,15044,0,20000818,0728-000000144,"In the park, Screen ref 1",Parks,,023,,20121016,17,"Douglas Park, 15044 99A Ave",Park,Parks,Douglas Park,,09950,1,,,OPERATING,20040826081900,,,,,,,,
29,,Mixed conifer  2 dead hemlocks need to be removed.,,,,"Screen Trees; 23L - Greenbelt, 15195 96 Ave",1001441140,15195,0,20000824,0728-000000035,"In the park, Screen ref 1",Parks,,023,,20121016,14,"23L - Greenbelt, 15195 96 Ave",Park,Parks,23L - Greenbelt,,09600,1,,,OPERATING,20040825084000,,,,,,,,
30,,,,,,"Screen Trees; Robertson Drive Park, 12730 92 Ave",1001441141,12730,0,20000823,0728-000000225,"In the park, Screen ref 1",Parks,,030,,20090309,41,"Robertson Drive Park, 12730 92 Ave",Park,Parks,Robertson Drive Park,,09200,1,,,OPERATING,20040826104900,Thuja,plicata,,,,,,
31,,Top is dying back on one cedar. Needs to be reduced.,,,,"Screen Trees; Robertson Drive Park, 12730 92 Ave",1001441142,12730,0,20000823,0728-000000226,"In the park, Screen ref 2",Parks,,030,,20121016,9,"Robertson Drive Park, 12730 92 Ave",Park,Parks,Robertson Drive Park,,09200,2,,,OPERATING,20040826105100,,,,,,,,
32,,,,,,"Screen Trees; Fraser View Park, 11210 159A St",1001441144,11210,0,20001115,0728-000000152,"In the park, Screen ref 1",Parks,,005,,,33,"Fraser View Park, 11210 159A St",Park,Parks,Fraser View Park,,15950,1,,,OPERATING,20040826083000,Pinus,nigra,,,,,,
33,,,,,,"Screen Trees; North Point Park, 16088 109 Ave",1001441145,16088,0,20000818,0728-000000203,"In the park, Screen ref 1",Parks,,015,,,3,"North Point Park, 16088 109 Ave",Park,Parks,North Point Park,,10900,1,,,OPERATING,20040826101400,Thuja,plicata,,,,,,
34,,,,,,"Screen Trees; West Newton Cricket Park, 13008 59 Ave",1001796937,13008,,19850415173854,,"In the park, screen #1",,,71,,20170628,15,,,,West Newton Cricket Pitch,,05900,1,,,,,Thuja,plicata,,,,,,
35,,,,,,"Screen Trees; Glenwood Park, 16625 Glenwood Cres South",1001441149,16625,0,20000816,0728-000000161,"In the park, Screen ref 4",Parks,,015,,,16,"Glenwood Park, 16625 Glenwood Cres South",Park,Parks,Glenwood Park,,10487,4,,,OPERATING,20040826085300,Thuja,plicata,,,,,,
36,,,,,,"Screen Trees; Glenwood Park, 16625 Glenwood Cres South",1001441150,16625,0,20001018,0728-000000162,"In the park, Screen ref 5",Parks,,015,,,3,"Glenwood Park, 16625 Glenwood Cres South",Park,Parks,Glenwood Park,,10487,5,,,OPERATING,20040826085500,Thuja,plicata,,,,,,
37,,,,,,"Screen Trees; Panorama Heights Park, 6181 131A St",1001441104,06181,0,20000921,0728-000000212,"In the park, Screen ref 2",Parks,,071,,20141202,42,"Panorama Heights Park, 6181 131A St",Park,Parks,Panorama Heights Park,,13150,2,,,OPERATING,20040826102300,Thuja,plicata,,,,,,
38,,Inventoried Aug 2017,,,20170812070000,,1001942998,09400,,19720104080000,,"In the park, screen #1",,,031,,,23,,,,Queen Elizabeth Meadows Park,,13400,1,,Thuja plicata & Pseudotsuga menziesii,OPERATING,,Thuja,plicata,,,,,,
39,,,,,,"Screen Trees; 15F - Greenbelt, 16326 Glenwood Crescent South",1001441163,16326,0,20000815,0728-000000023,"In the park, Screen ref 1",Parks,,015,,,2,"15F - Greenbelt, 16326 Glenwood Crescent South",Park,Parks,15F - Greenbelt,,10487,1,,,OPERATING,20040825081900,Thuja,plicata,,,,,,
40,,Mixed conifer,,,,"Screen Trees; 15H - Greenbelt, 16341 104 Ave",1001441164,16341,0,20000815,0728-000000024,"In the park, Screen ref 1",Parks,,015,,20121016,18,"15H - Greenbelt, 16341 104 Ave",Park,Parks,15H - Greenbelt,,10400,1,,,OPERATING,20040825082200,,,,,,,,
41,,,,,,"Screen Trees; 15H - Greenbelt, 16341 104 Ave",1001441165,16341,0,20000815,0728-000000025,"In the park, Screen ref 2",Parks,,015,,,8,"15H - Greenbelt, 16341 104 Ave",Park,Parks,15H - Greenbelt,,10400,2,,,OPERATING,20040825082300,Tsuga,heterophylla,,,,,,
42,,Mixed conifer,,,,"Screen Trees; 15H - Greenbelt, 16341 104 Ave",1001441166,16341,0,20000815,0728-000000026,"In the park, Screen ref 3",Parks,,015,,20121016,20,"15H - Greenbelt, 16341 104 Ave",Park,Parks,15H - Greenbelt,,10400,3,,,OPERATING,20040825082400,,,,,,,,
43,,Two trees in the screen are falling over and another has a dead top,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441167,06330,0,20000808,0728-000000127,"In the park, Screen ref 4",Parks,,076,,20121016,13,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,4,,,OPERATING,20040825114100,Thuja,plicata,,,,,,
44,,Two trees in the screen are falling over and another has a dead top,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441168,06330,0,20000808,0728-000000128,"In the park, Screen ref 5",Parks,,076,,20121016,15,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,5,,,OPERATING,20040825114200,Thuja,plicata,,,,,,
45,,Two trees in the screen are falling over and another has a dead top,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441169,06330,0,20000808,0728-000000129,"In the park, Screen ref 6",Parks,,076,,20121016,3,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,6,,,OPERATING,20040825114200,Thuja,plicata,,,,,,
46,,Two trees in the screen are falling over and another has a dead top,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441170,06330,0,20000808,0728-000000130,"In the park, Screen ref 7",Parks,,076,,20121016,8,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,7,,,OPERATING,20040825114200,Thuja,plicata,,,,,,
47,,Two trees in the screen are falling over and another has a dead top,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441171,06330,0,20000808,0728-000000131,"In the park, Screen ref 8",Parks,,076,,20121016,13,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,8,,,OPERATING,20040825114300,Thuja,plicata,,,,,,
48,,Two trees in the screen are falling over and another has a dead top,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441172,06330,0,20000808,0728-000000132,"In the park, Screen ref 9",Parks,,076,,20121016,20,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,9,,,OPERATING,20040825114300,Thuja,plicata,,,,,,
49,,,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441173,06330,0,20000808,0728-000000120,"In the park, Screen ref 10",Parks,,076,,,54,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,10,,,OPERATING,20040825113700,Thuja,plicata,,,,,,
50,,,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441174,06330,0,20000808,0728-000000121,"In the park, Screen ref 11",Parks,,076,,,18,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,11,,,OPERATING,20040825113800,Thuja,occidentalis,,,,,,
51,,,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441175,06330,0,20000808,0728-000000122,"In the park, Screen ref 12",Parks,,076,,,18,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,12,,,OPERATING,20040825113800,Thuja,occidentalis,,,,,,
52,,Mixed conifer  Screen needs to be tipped back away from the sidewalk,,,,"Screen Trees; 15J - Greenbelt, 10716 Fraserglen Dr",1001441153,10716,0,20000815,0728-000000027,"In the park, Screen ref 1",Parks,,015,,20121016,5,"15J - Greenbelt, 10716 Fraserglen Dr",Park,Parks,15J - Greenbelt,,16305,1,,,OPERATING,20040825082800,,,,,,,,
53,,Mixed conifer,,,,"Screen Trees; 15J - Greenbelt, 10716 Fraserglen Dr",1001441155,10716,0,20000815,0728-000000029,"In the park, Screen ref 3",Parks,,015,,20121016,4,"15J - Greenbelt, 10716 Fraserglen Dr",Park,Parks,15J - Greenbelt,,16305,3,,,OPERATING,20040825083100,,,,,,,,
54,,"9 Psudotsuga menziesii, 5 Thuja plicata. Missed Inventory, inventoried March 2018",,,20180320070000,,1001991568,15891,,19790101080000,,"In the park , screen #1",,,024,,,14,,Park,,Detention Pond - 24E,,10000,1,,"Psudotsuga menziesii, Thuja plicata",OPERATING,,Pseudotsuga,menziesii,,,,,,
55,,,,,,"Screen Trees; Cloverdale Athletic Park, 6330 168 St",1001441176,06330,0,20000808,0728-000000124,"In the park, Screen ref 14",Parks,,076,,,7,"Cloverdale Athletic Park, 6330 168 St",Park,Parks,Cloverdale Athletic Park,,16800,14,,,OPERATING,20040825114000,Thuja,plicata,,,,,,
56,,,,,,"Screen Trees; Bakerview Park, 1845 154 St",1001441178,01845,0,20000803,0728-000000075,"In the park, Screen ref 1",Parks,,124,,,26,"Bakerview Park, 1845 154 St",Park,Parks,Bakerview Park,,15400,1,,,OPERATING,20040825100800,Alnus,rubra,,,,,,
57,,Dead wooding is recommended,,,,"Screen Trees; Bakerview Park, 1845 154 St",1001441179,01845,0,20000804,0728-000000076,"In the park, Screen ref 2",Parks,,124,,20121016,21,"Bakerview Park, 1845 154 St",Park,Parks,Bakerview Park,,15400,2,,,OPERATING,20040825101100,Pseudotsuga,menziesii,,,,,,
58,,,,,,"Screen Trees; Laronde Park, 1806 130 St",1001441180,01806,0,20000802,0728-000000185,"In the park, Screen ref 1",Parks,,121,,,15,"Laronde Park, 1806 130 St",Park,Parks,Laronde Park,,13000,1,,,OPERATING,20040826094600,Thuja,plicata,,,,,,
59,,,,,,"Screen Trees; South Meridian Park, 16187 12 Ave",1001441182,16187,0,20000804,0728-000000235,"In the park, Screen ref 1",Parks,,135,,,7,"South Meridian Park, 16187 12 Ave",Park,Parks,South Meridian Park,,01200,1,,,OPERATING,20040826132800,Thuja,plicata,,,,,,
60,,Stakes need to be removed from most of the cedars in the screen,,,,"Screen Trees; Sullivan Park, 6272 152 St",1001441185,06272,0,20000808,0728-000000252,"In the park, Screen ref 1",Parks,,074,,20121016,36,"Sullivan Park, 6272 152 St",Park,Parks,Sullivan Park,,15200,1,,,OPERATING,20040826133800,Thuja,plicata,,,,,,
61,,Stake removal needed on some cedars,,,,"Screen Trees; Strawberry Hill Park, 7676 122 St",1001441186,07676,0,20000810,0728-000000251,"In the park, Screen ref 1",Parks,,050,,20121016,42,"Strawberry Hill Park, 7676 122 St",Park,Parks,Strawberry Hill Park,,12200,1,,,OPERATING,20040826133700,Thuja,plicata,,,,,,
62,,,,,,"Screen Trees; Cougar Creek Park, 6889 123 St",1001441187,06889,0,20000810,0728-000000137,"In the park, Screen ref 1",Parks,,060,,,24,"Cougar Creek Park, 6889 123 St",Park,Parks,Cougar Creek Park,,12300,1,,,OPERATING,20040826081200,Thuja,plicata,,,,,,
63,,Stake removal is needed,,,,"Screen Trees; Cougar Creek Park, 6889 123 St",1001441188,06889,0,20000810,0728-000000138,"In the park, Screen ref 2",Parks,,060,,20121016,6,"Cougar Creek Park, 6889 123 St",Park,Parks,Cougar Creek Park,,12300,2,,,OPERATING,20040826081300,Thuja,plicata,,,,,,
64,,,,,,"Screen Trees; Cougar Creek Park, 6889 123 St",1001441189,06889,0,20000810,0728-000000139,"In the park, Screen ref 3",Parks,,060,,20100604,10,"Cougar Creek Park, 6889 123 St",Park,Parks,Cougar Creek Park,,12300,3,,,OPERATING,20040826081400,Thuja,plicata,,,,,,
65,,Brought into inventory Feb 2018,,,,,1001982284,01894,,20000101182812,,"In the park, Screen # 1",,,122,,,14,,,,122E - Detention Pond / Bell Estates Park,,13950,1,,,OPERATING,,Thuja,plicata,Excelsa,,,,,
66,,,,,,,1001982285,15434,,19960101224050,,"In the park, ref # 2",,,074,,,20,,,,Kettle Cresent Park,,05975,2,,,OPERATING,20180201224117,Thuja,plicata,Excelsa,,,,,
67,,4 cedars are uprooting,,,,"Screen Trees; Chimney Hill Park, 7350 150A St",1001441099,07350,0,20000908,0728-000000048,"In the park, Screen ref 3",Parks,,053,,20121016,10,"Chimney Hill Park, 15070 76 Ave",Park,Parks,Chimney Hill Park,,15050,3,,,OPERATING,20040825092700,Thuja,plicata,,,,,,
68,,,,,,"Screen Trees; Chimney Hill Park, 7350 150A St",1001441100,07350,0,20000908,0728-000000049,"In the park, Screen ref 4",Parks,,053,,,41,"Chimney Hill Park, 15070 76 Ave",Park,Parks,Chimney Hill Park,,15050,4,,,OPERATING,20040825092800,Thuja,plicata,,,,,,
69,,Some Beeches in the screen are double stemmed with included bark.,,,,"Screen Trees; Robin Park, 11240 150 St",1001441227,11240,0,20000809,0728-000000227,"In the park, Screen ref 1",Parks,,003,,20151215,56,"Robin Park, 11240 150 St",Park,Parks,Robin Park,,15000,1,,,OPERATING,20040826105100,Fagus,sylvatica,,,,,,
70,,Trees were surveyed Feb 2017 and are 100% on City property. ,,,20170223080000,,1001908803,16600,,19870101080000,,In the park. Screen # 2,,,019,,,16,,Park,,Bailey Crescent Park,Engineering,09910,2,,,OPERATING,,Chamaecyparis,,,,,,,
71,,,,,20130607,,1001599017,16790,,20121201,,SE corner of park,,,075,,20130607,9,75M - Greenbelt,,,"75M - Greenbelt, 16790 57 Ave",,05700,1,,,OPERATING,,Picea,abies,,,,,,
72,,None - to be maintained by neighbour,,,20090402,"Screen Trees; Barnston Park, 9998 Lyncean Dr",1001441251,09998,0,20030522,0728-000000038,"In the park, Screen ref 1",Parks,,027,,20130607,36,"Barnston Park, 9998 Lyncean Dr",Park,Parks,Barnston Park,,17820,1,,,OPERATING,20040825090300,Thuja,plicata,Excelsa,,,,,
73,,Mixed conifer,,,,"Screen Trees; Fraserglen Park, 10633 Fraserglen Dr",1001441151,10633,0,20000814,0728-000000031,"In the park, Screen ref 1",Parks,,015,,20130607,15,Fraserglen Park,Park,Parks,Fraserglen Park,,16305,1,,,OPERATING,20040825083200,,,,,,,,
74,,Mixed conifer,,,,"Screen Trees; Fraserglen Park, 10633 Fraserglen Dr",1001441152,10633,0,20000814,0728-000000032,"In the park, Screen ref 2",Parks,,015,,20130607,10,Fraserglen Park,Park,Parks,Fraserglen Park,,16305,2,,,OPERATING,20040825083300,,,,,,,,
75,,,,,,"Screen Trees; Fraserglen Park, 10633 Fraserglen Dr",1001441157,10634,0,20000815,0728-000000017,"In the park, Screen ref 1",Parks,,015,,20130607,4,Fraserglen Park,Park,Parks,Fraserglen Park,,16305,1,,,OPERATING,20040824143400,Thuja,plicata,,,,,,
76,,,,,,"Screen Trees; Fraserglen Park, 10633 Fraserglen Dr",1001441158,10634,0,20000815,0728-000000018,"In the park, Screen ref 2",Parks,,015,,20130607,4,Fraserglen Park,Park,Parks,Fraserglen Park,,16305,2,,,OPERATING,20040824143600,Thuja,plicata,,,,,,
77,,,,,,"Screen Trees; Fraserglen Park, 10633 Fraserglen Dr",1001441159,10634,0,20000815,0728-000000019,"In the park, Screen ref 3",Parks,,015,,20130607,3,Fraserglen Park,Park,Parks,Fraserglen Park,,16305,3,,,OPERATING,20040824143600,Thuja,plicata,,,,,,
78,,,,,,"Screen Trees; Fraserglen Park, 10633 Fraserglen Dr",1001441160,10634,0,20000815,0728-000000020,"In the park, Screen ref 4",Parks,,015,,20130607,2,Fraserglen Park,Park,Parks,Fraserglen Park,,16305,4,,,OPERATING,20040824143700,Thuja,plicata,,,,,,
79,,,,,,"Screen Trees; Fraserglen Park, 10633 Fraserglen Dr",1001441161,10634,0,20000815,0728-000000021,"In the park, Screen ref 5",Parks,,015,,20130607,4,Fraserglen Park,Park,Parks,Fraserglen Park,,16305,5,,,OPERATING,20040824143700,Thuja,plicata,,,,,,
80,,,,,,"Screen Trees; Fraserglen Park, 10633 Fraserglen Dr",1001441162,10634,0,20000815,0728-000000022,"In the park, Screen ref 6",Parks,,015,,20130607,4,Fraserglen Park,Park,Parks,Fraserglen Park,,16305,6,,,OPERATING,20040824143700,Thuja,plicata,,,,,,
81,,,,,20161214080000,,1001899987,14845,,19880101080000,,"20 Ave Frontage Rd N, 148 St to 150 St, Screen# 4",,,123,,,13,,,,,,02006,4,,,OPERATING,,Thuja,plicata,Excelsa,,,,,
82,,,,,20161214080000,,1001899991,14845,,19880101080000,,"20 Ave Frontage Rd N, 148 St to 150 St, Screen #6",,,123,,,22,,,,,,02006,6,,,OPERATING,,Thuja,plicata,Excelsa,,,,,
83,,,,,20161214080000,,1001899989,14845,,19880101080000,,"20 Ave Frontage Rd, 148 St to 150 St, Screen# 2",,,123,,,39,,,,,,02006,2,,,OPERATING,,Thuja,plicata,Excelsa,,,,,
84,,,,,20161214080000,,1001899990,14845,,19880101080000,,"20 Ave Frontage Rd, 148 St to 150 St, Screen #3",,,123,,,13,,,,,,02006,3,,,OPERATING,,Thuja,plicata,Excelsa,,,,,
85,,,,,20161214080000,,1001899988,14845,,19880101080000,,"20 Ave Frontage Rd N, 148 St to 150 St, Screen#5",,,123,,,12,,,,,,02006,5,,,OPERATING,,Thuja,plicata,Excelsa,,,,,
