,COMMENTS,ECOLOGICAL_SIGNIFICANCE,HECTARES,ID,NAME,TYPE
73,Minor adjustments to exclude newly cleared areas and include forest patches not previously included,50,18.62743392,68,GRANDVIEW SOUTHEAST,TERRESTRIAL
74,Virtually unchanged - minor boundary adjustments,70,82.47911416,85,CAMPBELL-JACOBSEN,AGRICULTURAL (PARTIAL)
75,Virtually unchanged - minor boundary adjustments,74,37.98030222,82,CAMPBELL HEIGHTS SOUTH,AGRICULTURAL (PARTIAL)
76,Unchanged,72,42.83726917,83,CAMPBELL HEIGHTS SOUTHEAST,TERRESTRIAL
77,Virtually unchanged - minor boundary adjustments,44,25.66339364,51,BLACKIE SPIT,TERRESTRIAL
78,Unchanged,49,14.85348414,2,ROBSON RAVINE,TERRESTRIAL
79,Adjusted hub boundary to include adjacent site,48,19.63234196,53,CHANTRELL CREEK,TERRESTRIAL
80,Unchanged,68,169.2259157,40,COLEBROOK,AGRICULTURAL PARKLAND
81,Updated to exclude new development,58,52.27025352,35,SOUTH NEWTON WEST,TERRESTRIAL
82,Virtually unchanged - minor boundary adjustments to add some adjacent veg previously excluded,49,14.77608977,62,SEMIAHMOO TRAIL,TERRESTRIAL
83,Virtually unchanged - minor boundary adjustments,64,23.16127472,43,SULLIVAN EAST,AGRICULTURAL
84,Adjusted hub boundary slightly,54,50.19154751,22,SURREY LAKE,AGRICULTURAL PARKLAND
85,Virtually unchanged - minor boundary adjustments,50,31.36169471,64,GREENRIDGE,TERRESTRIAL
86,NEW HUB - eastern part of original FLEETWOOD hub; updated to exclude new development,50,36.19178087,24,FLEETWOOD EAST,AGRICULTURAL (PARTIAL)
87,Minor adjustments to exclude new cleared area and include old field and site not prev. incl.,68,31.7964261,73,LOWER FERGUS,AGRICULTURAL
88,Minor adjustments to include an encircled old field not previously included,54,26.88987783,78,KENSINGTON SOUTH,TERRESTRIAL
89,Unchanged,64,53.926328409999996,86,KUHN,AGRICULTURAL (PARTIAL)
90,Updated to include new old field in adjacent areas,64,41.7647922,48,NICOMEKL-SUNRISE,AGRICULTURAL
91,Unchanged,50,13.27226994,29,CLAYTON,TERRESTRIAL
92,Updated to exclude new development,70,0.07308499,31,EAST CLAYTON NORTHEAST,TERRESTRIAL
93,Virtually unchanged - minor boundary adjustments,62,40.17217843,32,PORT KELLS PARK,AGRICULTURAL (PARTIAL)
