,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
31,PTN PCL B ( M103042E ) LT 5 PL 5893,EPP50311,7811-0223-00,Drainage,E2015-0332,Municipal Right of Way,Registered,4.0,2015
32,PTN LT 1 PL LMP48783,LMP49699,7898-0012,Public Access,E2001-0117,Municipal Right of Way,Registered,0,2001
33,PTN LT 3 BK 5 PL 18643,18845,2054-002,Sanitary,E1986-0473,Municipal Right of Way,Registered,1.524,1958
34,PTN N 264 FT N 1/2 W 1/2 LS2 SEC 24 TP1,EPP51356,7812-0323-00,Multiple Facilities,E2015-0207,Municipal Right of Way,Registered,0.5,2015
35,PTN LT 268 PL 54120,55062,9148,Drainage,E1978-0441,Municipal Right of Way,Registered,3,1978
36,PTN N 1/2 LT 9 PL 5893,EPP50306,7811-0223-00,Passage,E2015-0324,Municipal Right of Way,Registered,3.0,2015
37,PTN PCL C ( RP4579 ) (LMP41497),LMP40802,7897-0172,Sanitary,E1999-0075,Municipal Right of Way,Registered,5,1999
38,PTN LT 5 BLK 3 PL 454 (GVS & DD),44522,2054-002,Sanitary,E1986-0959,Municipal Right of Way,Registered,6.096,1973
39,PTN LT 29 PL 28528,BCP14862,7803-0345,Multiple Facilities,E2004-0619,Municipal Right of Way,Registered,1,2005
40,PTN LT 19 DL 157 (GVS&DD),87245,2054-002,Sanitary,E1992-0198,Municipal Right of Way,Registered,2,1990
41,PTN LT 27 PL 36812,EPP50306,7811-0223-00,Passage,E2015-0325,Municipal Right of Way,Registered,3.0,2015
42,PTN LT C PL 12724,EPP57836,7814-0316-00,Passage,E2015-0515,Municipal Right of Way,Registered,3.5,2015
43,PTN REM 3 DL 153 GP2 NWD PL 6598,BCP8736,4802-401,Multiple Facilities,E2003-0052,Municipal Right of Way,Initiated,0,2003
44,PTN LT 9 PL 3519 (PL LMP34663),LMP32845,7893-0005,Multiple Facilities,E1997-0114,Municipal Right of Way,Registered,0,1997
45,PTN W 134 FT LT 8 PL 4217,EPP52095,7811-0120-00,Passage,E2015-0341,Municipal Right of Way,Registered,2.5,2015
46,PTN N 264 FT N 1/2 W 1/2 LS2 SEC 24 TP1,EPP51356,7812-0323-00,Multiple Facilities,E2015-0206,Municipal Right of Way,Registered,0.5,2015
47,PTN PCL A PL12528,15611,N/A,BC Hydro,N/A,Utility Right of Way,Registered,VAR,1957
48,PTN LT 60 PL 77146 ,BCP29681,7806-0097,Multiple Facilities,E2007-0223,Municipal Right of Way,Registered,VAR,2007
49,PTN LT A PL 5021 (LT 45 PL 45601),44988,3448,Multiple Facilities,E1973-0201,Municipal Right of Way,Registered,1.524,1974
50,PTN LT 125 PL 33544,EPP34181,4711-5080-00,Sanitary,E2013-0220,Municipal Right of Way,Registered,VAR,2013
51,PTN LT 1 PL 39123,LMP45151,4899-058,Multiple Facilities,E1999-0170,Municipal Right of Way,Registered,0,2000
52,PTN LT 1 PL 67924,17261,2054-002,Drainage,E1986-0604,Municipal Right of Way,Registered,1.829,1959
53,PTN LT 61 PL 23672,EPP52512,7812-0066-00,Multiple Facilities,E2015-0254,Municipal Right of Way,Registered,2.0,2015
54,PTN LT 1 PL 87535 (LMS1039),87534,7890-0338,Multiple Facilities,E1992-0003,Municipal Right of Way,Registered,0,1992
55,PTN W 1/2 17 PL 8752 (LT 16 PL 77687),76950,7887-2300,Multiple Facilities,E1988-0041,Municipal Right of Way,Registered,2,1988
56,PTN LT 111 PL 66002,LMP46710,7899-0162,Multiple Facilities,E2000-0223,Municipal Right of Way,Registered,0,2001
57,PTN LT B RP14848 (PL 67927 & 73814),66339,7881-173,Public Access,E1983-0173,Municipal Right of Way,Registered,0,1983
58,PTN LT D RP6138,,7886-6600,Drainage,E1988-0608,Municipal Right of Way,Registered,22,1989
59,PTN LT 143 PL 58949 (GVS & DD),39529,2054-002,Sanitary,E1986-0954,Municipal Right of Way,Registered,4.572,1972
60,PTN LT 61 PL 23672,EPP52512,7812-0066-00,Passage,E2015-0253,Municipal Right of Way,Registered,2.0,2015
61,PTN LT 59 PL 23672,BCP18922,1704-3190,Multiple Facilities,E2005-0144,Municipal Right of Way,Registered,VAR,2005
62,PTN LT 21 PL 16889,22760,2054-002,Multiple Facilities,E1986-0195,Municipal Right of Way,Registered,0,1961
63,PTN LT 1 PL LMP17528 (LT 1 PL LMP21759),LMP17874,7892-0106,Multiple Facilities,E1994-0214,Municipal Right of Way,Registered,0,1995
64,PTN LT 5 PL 18737,BCP12473,4802-054,Drainage,E2004-0166,Municipal Right of Way,Registered,VAR,2004
65,PTN N 1/2 LT 29 PL 2824 (PL BCS480),LMP54059,7801-0264,Multiple Facilities,E2002-0396,Municipal Right of Way,Registered,1,2002
66,PTN PCL 1 EP14652 (LT 1 PL BCP14717),BCP05154,7801-0180,Public Access,E2003-0152,Municipal Right of Way,Registered,5,2003
67,PTN LT 2 PL 1250 (LT 1 PL LMP20203),LMP18836,7891-0303,Sanitary,E1994-0248,Municipal Right of Way,Registered,0,1995
68,PTN LT 1 PL 7509,83668,7888-0444,Multiple Facilities,E1989-0519,Municipal Right of Way,Registered,0,1990
69,PTN LT 69 PL 46878 (PL BCP7297),BCP5243,7801-0054,Multiple Facilities,E2003-0158,Municipal Right of Way,Registered,1,2003
70,PTN LT 19 PL 45831,EPP60609,7814-0300-00,Multiple Facilities,E2016-0232,Municipal Right of Way,Initiated,0.5,2016
71,PTN LT 18 PL 45831,EPP60609,7814-0300-00,Multiple Facilities,E2016-0229,Municipal Right of Way,Initiated,0.5,2016
72,PTN LT A PL 6594 (LT 6 PL 70675),67732,7883-245,Drainage,E1984-0162,Municipal Right of Way,Registered,3,1985
73,PTN LT 15 PL LMP5880 (LMS1422),LMP13914,7889-0586,Public Access,E1993-0512,Municipal Right of Way,Registered,2,1999
74,PTN LT 13 PL LMP19984,EPP60610,7814-0300-00,Multiple Facilities,E2016-0235,Municipal Right of Way,Initiated,0.5,2016
75,PTN W1/2 OF N1/2 LT5 PL1827(LT4 PL84555),82191,7888-0159,Public Access,E1989-0304,Municipal Right of Way,Registered,0,1989
76,PTN LT 1 PL 6222,EPP62378,7815-0003-00,Multiple Facilities,E2016-0241,Municipal Right of Way,Initiated,0.5,2016
77,PTN LT 2 PL 673,,3520,Sanitary,E1974-0295,Municipal Right of Way,Registered,2.4,1974
78,PTN LT 237 PL 40114 (PL 44557),41044,2223,Drainage,E1972-0052,Municipal Right of Way,Registered,3.048,1972
79,PTN LT 7 BLK X PL 9848,52941,4515,Sanitary,E1977-0419,Municipal Right of Way,Registered,1.524,1977
80,PTN REM 3 PL 586 (PL 73324 & NW3174),73048,7886-1780,Water,E1986-1611,Municipal Right of Way,Registered,3,1986
81,PTN LT 1 PL 75332,75411,7886-4480,Multiple Facilities,E1987-0325,Municipal Right of Way,Registered,0,1987
82,PTN LT A PL 14147,LMP6869,7891-0192,Water,E1992-0444,Municipal Right of Way,Registered,3.64,1993
83,PTN E 1/2 LT 2 PL 1359 (PL 54007),53729,9147,Multiple Facilities,E1977-1186,Municipal Right of Way,Registered,1.524,1977
84,PTN LT 8 PL 673,,3520,Sanitary,E1976-0001,Municipal Right of Way,Registered,2.4,1976
85,PTN LT 15 PL 3981,BCP15935,7803-0054,Multiple Facilities,E2005-0094,Municipal Right of Way,Registered,0,2005
86,PTN LT 4 PL 14887,EPP50363,7812-0308-00,Multiple Facilities,E2015-0239,Municipal Right of Way,Registered,0.5,2015
87,PTN LT 28 BLK 5 PL 1755,53133,4515,Multiple Facilities,E1977-0788,Municipal Right of Way,Registered,2.134,1977
88,PTN LT 5 PL 14887,EPP50363,7812-0308-00,Multiple Facilities,E2015-0241,Municipal Right of Way,Registered,0.5,2015
89,PTN LT 1 PL 80050 (LT 8 PL 85051),84654,7888-0486,Public Access,E1990-0133,Municipal Right of Way,Registered,0,1990
90,PTN LT 13 PL 1158,LMP47781,4899-060,Drainage,E2000-0064,Municipal Right of Way,Registered,3.602,2000
91,PTN LT 8 PL BCP351,BCP353,7801-0188,Multiple Facilities,E2002-0244,Municipal Right of Way,Registered,0,2002
92,PTN LT 15 PL 7239 (PARK 121-01 PL 71959),71736,7885-529,Multiple Facilities,E1986-0914,Municipal Right of Way,Registered,0,1986
93,PTN LT 1 PL 9194,BCP08702,7803-0388,Multiple Facilities,E2004-0005,Municipal Right of Way,Registered,5.13,2003
94,PTN 0.0616Ha PL55887 (LT314-317 PL56146),56145,9382,Multiple Facilities,E1978-0502,Municipal Right of Way,Registered,0,1978
95,"PTN LT 30 PL 2449 (LTS 15,16,78 PL81342)",79589,7887-5500,Drainage,E1988-0595,Municipal Right of Way,Registered,0,1989
96,PTN LT 20 PL7147 (LTS 15-16 PL LMP36578),LMP35890,7896-0312,Drainage,E1997-0342,Municipal Right of Way,Registered,0,1997
97,PTN LT 5 PL 14887,EPP50363,7812-0308-00,Multiple Facilities,E2015-0242,Municipal Right of Way,Registered,0.5,2015
98,"PTN DL 9, 10, 11 GR 2",14723,N/A,Dyke,N/A,Municipal Right of Way,Registered,VAR,1923
99,PTN N 1/2 LT 9 PL 5893,EPP50306,7811-0223-00,Multiple Facilities,E2015-0327,Municipal Right of Way,Registered,3.0,2015
100,PTN LT 27 PL 36812,EPP50306,7811-0223-00,Multiple Facilities,E2015-0328,Municipal Right of Way,Registered,3.0,2015
101,PTN Rem 1 PL 5791 (LTS 9 & 10 PL 82252),80772,7887-5010,Public Access,E1989-0072,Municipal Right of Way,Registered,0,1989
102,PTN LT C PL EPP50753,EPP62814,7813-0189-00,Passage,E2016-0253,Municipal Right of Way,Registered,4.5,2016
103,PTN LT 12 PL 7224 (LT 4 PL LMP3947),LMP3249,7889-0560,Public Access,E1992-0070,Municipal Right of Way,Registered,5,1992
104,PTN LT 6 PL 14826,EPP62814,7813-0189-00,Passage,E2016-0254,Municipal Right of Way,Registered,4.5,2016
105,PTN LT 2 PL 1605,LMP31193,7896-0034,Drainage,E1997-0011,Municipal Right of Way,Registered,5,1997
106,"PTN LTS 6, 7 & 11 PL LMP11424",LMP11425,7889-0351,Drainage,E1970-0025,Municipal Right of Way,Registered,0,1993
107,"SC29,32,33BL1,SC5,7TP7,SC12-14,22,23TP1",8363,N/A,BC Hydro,N/A,Utility Right of Way,Registered,VAR,1945
108,PTN LT 7 PL 15824,40744,,Sanitary,E1972-0012,Municipal Right of Way,Registered,0,1972
109,PTN LT 1 PL BCP5757,BCP06400,7801-0342-00,Multiple Facilities,E2003-0419,Municipal Right of Way,Registered,1.0,2003
110,PTN LT 6 PL 14826,EPP62814,7813-0189-00,Passage,E2016-0255,Municipal Right of Way,Registered,2.0,2016
111,PTN W 157 FT LT 1 PL 51899F(LT 2 PL86552,63525,A426,Multiple Facilities,E1981-0425,Municipal Right of Way,Registered,5,1982
112,PTN LT 1 RPLMP14437 (LTS 5-8 PL LMP22740,LMP21844,7894-0144,Multiple Facilities,E1995-0035,Municipal Right of Way,Registered,8,1995
113,PTN LT 2 PL 1187 (LT 371-374 PL 66908),66133,7883-026,Sanitary,E1983-0143,Municipal Right of Way,Registered,3,1983
114,PTN BLK 3 PL 517 (GVS & DD),44907,2054-002,Sanitary,E1986-0540,Municipal Right of Way,Registered,6.096,1974
115,PTN LT 5 PL 14826,EPP62814,7813-0189-00,Passage,E2016-0256,Municipal Right of Way,Registered,2.0,2016
116,,354430C,N/A,Terasen Gas,N/A,Utility Right of Way,Registered,VAR,
117,PTN Rem A PL 7090 (LMP17894 & LMP29190),LMP15826,7891-0366,Multiple Facilities,E1994-0086,Municipal Right of Way,Registered,0,1994
118,PTN LT 6 PL 12206 (PL LMP5931),LMP4520,7891-0213,Multiple Facilities,E1992-0217,Municipal Right of Way,Registered,0,1992
119,PTN LT 6 PL 63938 (LTS 1-8 LMP13997),LMP11245,7891-0515,Drainage,E1993-0289,Municipal Right of Way,Registered,3,1994
120,PTN LT 62 PL 50206,EPP41722,7813-0280-00,Multiple Facilities,E2014-0464,Municipal Right of Way,Registered,0.5,2014
121,PTN LT A PL 69469,69470,7883-150,Hydrant,E1985-0119,Municipal Right of Way,Registered,1.65,1985
122,PTN LT 2 PL 6427,BCP11471,7802-0357,Multiple Facilities,E2004-0242,Municipal Right of Way,Registered,0.5,2004
123,PTN (10 FT WIDE) LT 4 PL 9136,49330,3974,Drainage,E1975-0411,Municipal Right of Way,Registered,3.048,1976
124,PTN LT 39 PL 66750 (LT 21 PL LMP42419),LMP39228,7897-0317,Multiple Facilities,E1998-0171,Municipal Right of Way,Registered,0,1998
125,PTN LT A PL 69617 (LT 295-296 PL 77159),74888,7887-1570,Multiple Facilities,E1987-0265,Municipal Right of Way,Registered,0,1987
126,PTN REM BLK A SEC 36 B5N R2W NWD,EPP39682,2240-01,Drainage,E2014-0156,Municipal Right of Way,Registered,VAR,2014
127,PTN LT 32 PL BCP351,BCP353,7801-0188,Multiple Facilities,E2002-0268,Municipal Right of Way,Registered,0.5,2002
128,PTN LT 21 PL 53911,LMP42215,4897-505,Multiple Facilities,E1997-0063,Municipal Right of Way,Registered,0,1999
129,PTN N 1/2 LT 17 PL 2163 (LT 505A PL63846,65939,7881-107,Multiple Facilities,E1983-0125,Municipal Right of Way,Registered,0,1983
130,PTN LT 4 PL 11774 (LT 65-66 PL 73619),72571,7881-1281,Drainage,E1986-1515,Municipal Right of Way,Registered,0,1986
131,PTN LT 22 PL 13887,EPP36097,7813-0134-00,Multiple Facilities,E2014-0015,Municipal Right of Way,Registered,0.5,2014
132,PTN LT 11 BLK J PL 469,53002,4515,Sanitary,E1977-0619,Municipal Right of Way,Registered,1.524,1977
133,PTN (15 FT WIDE) LT C RP6138 (GVS & DD),42014,2054-002,Sanitary,E1986-1270,Municipal Right of Way,Registered,4.572,1973
134,PTN S 1/2 LS 10 SEC 15 (PL70403 & 72378),69919,7884-429,Multiple Facilities,E1985-0248,Municipal Right of Way,Registered,0,1985
135,PTN LT X PL 25810 (PL 48794),48656,2906,Multiple Facilities,E1975-0320,Municipal Right of Way,Registered,2.438,1975
136,PTN LT 4 PL 2168 (LT 176-181 PL 57129),56233,9266,Multiple Facilities,E1979-0008,Municipal Right of Way,Registered,0,1979
137,PTN LT 1 PL 6222,EPP62378,7815-0003-00,Multiple Facilities,E2016-0243,Municipal Right of Way,Initiated,0.5,2016
138,PTN LT A PL LMP40631 (LMP46878),LMP46305,7895-0288,Multiple Facilities,E2000-0159,Municipal Right of Way,Registered,0,2000
139,PTN LT A RP6524 (ALL LT 10 PL LMP29391),LMP28595,7894-0368,Drainage,E1996-0136,Municipal Right of Way,Registered,0,1996
140,PTN LT 4 PL 5281 (GVWD) (LT 1-6 PL72975),51032,2054-002,Water,E1986-0077,Municipal Right of Way,Registered,6.096,1977
141,PTN LT B EP13370 (LT 1 LMP26599),LMP8866,7888-0655,Multiple Facilities,E1993-0043,Municipal Right of Way,Registered,7.942,1993
142,PTN LT 5 PL 7827 (LT 19 PL 83423),81910,7888-0554,Drainage,E1989-0259,Municipal Right of Way,Registered,3,1989
143,PTN LT 3 BLK O PL 469,52943,4515,Sanitary,E1977-0485,Municipal Right of Way,Registered,1.524,1978
144,PTN LT A PL EPP57916,EPP60610,7814-0300-00,Multiple Facilities,E2016-0236,Municipal Right of Way,Initiated,0.5,2016
145,PTN LT 22 PL 21190,78466,7887-3420,Sanitary,E1988-0337,Municipal Right of Way,Registered,3,1988
146,PTN LT 1 PL 10836,EPP62814,7813-0189-00,Passage,E2016-0248,Municipal Right of Way,Registered,2.5,2016
147,PTN LT A PL 15714,LMP43133,7897-0165,Drainage,E1999-0336,Municipal Right of Way,Registered,3,1999
148,PTN LT A PL EPP50753,EPP62814,7813-0189-00,Passage,E2016-0247,Municipal Right of Way,Registered,2.5,2016
149,PTN LT 2 PL 10836,EPP62814,7813-0189-00,Passage,E2016-0249,Municipal Right of Way,Registered,2.5,2016
150,PTN LT B PL EPP50753,EPP62814,7813-0189-00,Passage,E2016-0250,Municipal Right of Way,Registered,2.5,2016
151,PTN LT B PL EPP50753,EPP62814,7813-0189-00,Passage,E2016-0251,Municipal Right of Way,Registered,4.5,2016
152,PTN LT 7 PL 14826,EPP62814,7813-0189-00,Passage,E2016-0252,Municipal Right of Way,Registered,4.5,2016
153,PTN LT 40 PL 22484 (LT A PL 60082),56958,4516,Sanitary,E1978-0111,Municipal Right of Way,Registered,2,1979
154,PTN LT 5 PL 14887,EPP50363,7812-0308-00,Multiple Facilities,E2015-0243,Municipal Right of Way,Registered,0.5,2015
155,PTN LT 7 PL LMP12416,LMP12417,7891-0168,Sanitary,E1993-0293,Municipal Right of Way,Registered,4,1993
156,PTN LT 37 PL BCP14927,BCP18678,7802-0358,Multiple Facilities,E2004-0480,Municipal Right of Way,Registered,0.5,2005
157,PTN LT 5 PL 14887,EPP50363,7812-0308-00,Multiple Facilities,E2015-0244,Municipal Right of Way,Registered,0.5,2015
158,PTN LT 13 PL BCP351,BCP353,7801-0188,Multiple Facilities,E2002-0249,Municipal Right of Way,Registered,0.5,2002
159,PTN LT 6 PL 14887,EPP50363,7812-0308-00,Multiple Facilities,E2015-0246,Municipal Right of Way,Registered,0.5,2015
160,PTN LT 1 PL LMP16720,LMP16721,5350-001,Sanitary,E1994-0045,Municipal Right of Way,Registered,3.001,1994
161,PTN LT K PL 68548,68667,7883-127,Drainage,E1984-0280,Municipal Right of Way,Registered,3,1985
162,PTN LT 6 PL 14887,EPP50363,7812-0308-00,Multiple Facilities,E2015-0245,Municipal Right of Way,Registered,0.5,2015
163,PTN S 1/2 LT 32 PL625 (LT132-133 PL44949,44580,3173,Drainage,E1973-0168,Municipal Right of Way,Registered,0.61,1973
164,PTN LT 68 PL 82280,83525,7888-0020,Multiple Facilities,E1989-0489,Municipal Right of Way,Registered,5,1989
165,PTN REM S 1/2 11 PL 625(NW2927),76116,7887-3300,Drainage,E1987-0494,Municipal Right of Way,Registered,3,1988
166,PTN LT 6 PL 14887,EPP50363,7812-0308-00,Multiple Facilities,E2015-0247,Municipal Right of Way,Registered,0.5,2015
167,PTN W 1/2 LT C PL 12941 (GVS & DD),38541,5350-001,Sanitary,E1993-0200,Municipal Right of Way,Registered,6.858,
168,PTN LT 11 PL 7224 (LT 5 PL 76808),76422,7887-0300,Drainage,E1987-0534,Municipal Right of Way,Registered,47.973,1988
169,PTN LT 2 PL 17675(LT 7 PL 86507),74624,7883-4720,Multiple Facilities,E1987-0186,Municipal Right of Way,Registered,0,1987
170,PTN LT 1 PL LMP13413,LMP13414,7892-0537,Multiple Facilities,E1993-0356,Municipal Right of Way,Registered,0,1993
171,PTN W 1/2 LT 18 PL 5488 (LT 4 PL LMP1828,LMP1271,7888-0246,Sanitary,E1991-0248,Municipal Right of Way,Registered,3,1991
172,PTN LT 13 PL 7336 (LT 24 PL LMP15994),LMP14653,7891-0356,Emergency,E1994-0030,Municipal Right of Way,Initiated,7,
173,PTN LT A PL LMP13786,LMP54547,7800-0065,Multiple Facilities,E2002-0405,Municipal Right of Way,Registered,6,2002
174,PTN LT 1 PL RP76297,LMP1428,5350-001,Sanitary,E1991-0184,Municipal Right of Way,Registered,0,1991
175,PTN LT 2 PL 12716,EPP58221,7814-0067-00,Multiple Facilities,E2015-0523,Municipal Right of Way,Registered,0.5,2015
176,PTN LT 3 PL 12716,EPP58221,7814-0067-00,Multiple Facilities,E2015-0526,Municipal Right of Way,Registered,0.5,2015
177,PTN LT 69 PL 64276,85193,7889-0196,Multiple Facilities,E1990-0231,Municipal Right of Way,Registered,5,1990
178,PTN LT 4 BLK 1 PL 5281 (PL 72975),61569,A431,Public Access,E1981-0087,Municipal Right of Way,Registered,8.25,1981
179,PTN LT 14 SEC 23 TP 2 PL 11390,LMP46206,4899-001,Drainage,E1999-0063,Municipal Right of Way,Registered,0,2000
180,PTN LT 3 PL 12716,EPP58221,7814-0067-00,Multiple Facilities,E2015-0525,Municipal Right of Way,Registered,0.5,2015
181,"PTN LT 23 BLK 1 PL529 (PL68085, EP72423)",67536,7880-515,Drainage,E1984-0128,Municipal Right of Way,Registered,0,1984
182,PTN LT 17 PL 38815,EPP52933,7807-0127-00,Passage,E2015-0374,Municipal Right of Way,Registered,VAR,2015
183,"PTN LT A PL 77997 (LT 10-11,15 PL 78000)",77998,7887-2940,Drainage,E1988-0094,Municipal Right of Way,Registered,3,1988
184,PTN PCL A RPLMP24909,LMP42594,1798-058,Public Access,E1999-0046,Municipal Right of Way,Registered,0.6,1999
185,PTN LT 2 PL 12716,EPP58221,7814-0067-00,Multiple Facilities,E2015-0524,Municipal Right of Way,Registered,0.5,2015
186,PTN NW1687 (LTS 160 & 161 PL 65079),63688,7881-030,Multiple Facilities,E1982-0006,Municipal Right of Way,Registered,4,1982
187,PTN LT 8 PL 8026,53341,4515,Sanitary,E1977-0448,Municipal Right of Way,Registered,1.524,1977
188,PTN LT 27 PL 58178,LMP____,4892-2703,Drainage,E1993-0430,Municipal Right of Way,Initiated,0,
189,PTN LT 4 PL 9650,EPP52094,7814-0238-00,Multiple Facilities,E2015-0258,Municipal Right of Way,Registered,0.5,2015
190,PTN LT 11 PL 59657 (BCP1136),LMP34381,7896-0071,Multiple Facilities,E1997-0232,Municipal Right of Way,Registered,0,2002
191,PTN S 1/2 S 1/2 N 1/2 LS12 SEC24 TP1 NWD,EPP51993,7812-0208-00,Sanitary,E2015-0280,Municipal Right of Way,Registered,12.0,2015
192,PTN LT 25 PL 23123,EPP52251,7811-0033-00,Multiple Facilities,E2015-0287,Municipal Right of Way,Initiated,0.5,2015
193,PTN LT 140 PL 67522,67820,7881-121,Drainage,E1984-0120,Municipal Right of Way,Registered,0,1984
194,,295811C,N/A,BC Hydro,N/A,Utility Right of Way,Registered,VAR,
195,PTN PCL A RP 75033 (LT 1 PL 75602),,1786-632,Sanitary,E1987-0332,Municipal Right of Way,Initiated,3,
196,PTN LT 59 PL 60752(LTS 10-12 PL LMP6066),71231,7885-5250,Drainage,E1986-0269,Municipal Right of Way,Registered,3,1986
197,PTN Rem 6 PL 1151 (GVS&DD),79137,2054-002,Sanitary,E1988-0653,Municipal Right of Way,Registered,7.62,1988
198,PTN LT 4 PL 9650,EPP52094,7814-0238-00,Multiple Facilities,E2015-0257,Municipal Right of Way,Registered,0.5,2015
199,PTN LT 61 PL 23672,EPP52513,7812-0066-00,Multiple Facilities,E2015-0256,Municipal Right of Way,Registered,0.5,2015
200,PTN LT 1 PL EPP50717,EPP50718,0910-30/191,Sanitary,E2015-0293,Municipal Right of Way,Registered,5.0,2015
201,PTN LT 61 PL 23672,EPP52513,7812-0066-00,Multiple Facilities,E2015-0255,Municipal Right of Way,Registered,0.5,2015
202,PTN LT 81 PL 34977 (PL 45658),45550,3994,Multiple Facilities,E1974-0060,Municipal Right of Way,Registered,1.524,1974
203,PTN LT 38 PL 2163 (LT 1-2 PL 70428),66093,7884-240,Public Access,E1984-0213,Municipal Right of Way,Registered,7.5,1984
204,PTN LT 297 PL 54120,55062,9148,Drainage,E1978-0442,Municipal Right of Way,Registered,3,1978
205,PTN LT 57 PL 54000,EPP57880,7814-0346-00,Multiple Facilities,E2015-0519,Municipal Right of Way,Registered,0.5,2015
206,PTN Rem N 1/2 LT 27 PL 1360 (GVS&DD),40478,5350-001,Sanitary,E1993-0208,Municipal Right of Way,Initiated,4.572,
207,PTN LT  5 PL 1360,BCP19600,7804-0136,Multiple Facilities,E2005-0499,Municipal Right of Way,Registered,0.5,2005
208,PTN LT 9 PL 1361,BCP20246,7803-0259,Multiple Facilities,E2005-0541,Municipal Right of Way,Registered,1.0,2005
