,ADJACENT_LAND_USE_RATING,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DEDICATED_URBAN_FOREST,DESCRIPTION,ESA_RANKING,EXPOSED_EDGE_LENGTH_M,FACILITYID,FOREST_AGE_CLASS,FOREST_TYPE,FRAGMENTATION_RATING,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,ISOLATION_RATING,LEGACYID,LOCATION,MAINTAINED_EDGE_LENGTH_M,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NATURAL_AREA_TYPE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_NAME,PARK_OWNERSHIP,RIGHT_OF_WAY,RIPARIAN_AREA,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TRAIL_PRESENT,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
30,1,,Invas. sp. thru out (linear nature allows this); young planted Cw @ 15-25 dbh along playing field side; mature Douglas fir component ,,,,N,"Forest; Princess Margaret Park, 7044 128 St",2,425,1001438725,Young,Mixed,0,07044,0,,1,0711-000000537,Along S. boundary,,PARKS,,061,,20121016,Forest-mixed,"Princess Margaret Park, 7044 128 St",Park,PARKS,Princess Margaret Park,,Y,N,12800,,,OPERATING,20040824105800,N,,,,,
31,1,,Understory of each fragmented stand is mainly Himal. bb.; several dead or dying alder present; few young spruce in S.W. corner ,,,,N,"Forest; 43B - Greenbelt, 14584 86A Ave",2,174,1001438719,Mature,Deciduous,0,14584,0,,3,0711-000000294,Covering most of lot but fairly open and fragmented,,PARKS,,043,,20170131,Forest-deciduous,"43B - Greenbelt, 14584 86A Ave",Park,PARKS,43B - Greenbelt,,N,N,08650,,,OPERATING,20040823081500,N,,,,,
32,1,,Significant Himalayan blackberry in understory. ,,,20151013,N,"Forest; 13A - Greenbelt, 14697 104A Ave",0,359,1001842093,Young,Deciduous,0,14697,0,,2,1001438886,Most of lot,,Parks,,013,,20121016,Forest-deciduous,"13A - Neighbourhood Park, 14697 104A Ave",Park,Parks,13A - Neighbourhood Park,,Y,N,10450,,,OPERATING,20010830103300,N,,,,,
33,4,,,,,20161130,N,"Forest; 69G - Neighbourhood Park, 19502 66 Ave",1,780,1001898538,Mature,Deciduous,0,19502,,20160714,3,,along edge of path,266,Parks,,069,,20161220,Forest-deciduous,"69G - Neighbourhood Park, 19502 66 Ave",Park,Parks,69G - Neighbourhood Park,,Y,N,06600,,,OPERATING,,N,,,,,
34,2,,,,,20161130,N,"Forest; 72F - Greenbelt, 6112 138 St",1,1035,1001898542,Mature,Mixed,0,06112,,20160125,2,,most of site,164,Parks,,072,,20161220,Forest-mixed,"72M - Greenbelt, 13890 62 Ave",Park,Parks,72M - Greenbelt,,N,Y,13800,,,OPERATING,,N,,,,,
35,2,,Lamium along trail (see map). Minor cedar regeneration ,,,,N,"Forest; Alder Park, 13907 Highway 10",1,993,1001439075,Mature,Mixed,4,13907,0,,4,0711-000000198,Most of both lots,,Parks,,072,,20121016,Forest-mixed,"Alder Park, 13907 Highway 10",Park,Parks,Alder Park,,N,N,05602,,,OPERATING,20011211075200,Y,,,,,
36,3,,,,,,N,"Forest; Island, 2887 Chantrell Pl",2,87,1001439091,Mature,Mixed,0,02887,0,20010313,4,0711-000001036,Whole island,,Parks,,112,,20121016,Forest-mixed,Island - 2887 Chantrell Pl,,Parks,Island - 2887 Chantrell Pl,,N,N,13695,,,OPERATING,20040826142400,N,,,,,
37,1,,Serious lamium problem (see map for location).,,,,N,"Forest; 31E - Utility ROW, 13378 92 Ave",2,160,1001439093,Mature,Mixed,0,13378,0,,2,0711-000000252,Small patch in N.  (the rest is not since it is Hydro ROW).,,Parks,,031,,20121016,Forest-mixed,"31E - Utility ROW, 13378 92 Ave",Park,Parks,31E - Utility ROW,,N,N,09200,,,OPERATING,20060406112100,N,,,,,
38,1,,3 small clumps of veg.  ,,,,N,"Forest; 110E - Greenbelt, 2484 Bayview St",0,427,1001439100,Mature,Mixed,0,02484,0,,2,0711-000000036,Polygon Reference #1.   North portion of lot,,PARKS,,110,,20121016,Forest-mixed,"110E - Greenbelt, 2484 Bayview St",Park,PARKS,110E - Greenbelt,,Y,Y,12312,,,OPERATING,20040819131800,N,,,,,
39,2,,South lot shows as city but inventoried as park. ,,,,N,"Forest; 110C - Greenbelt, 12575 28 Ave",1,504,1001439116,Mature,Mixed,0,12570,0,,3,0711-000000167,1,,Parks,,110,,20121016,Forest-mixed,"110C - Greenbelt, 12575 28 Ave",Park,Parks,110C - Greenbelt,,N,Y,02800,,,OPERATING,20010828164700,N,,,,,
40,2,,Fragmented forest; invasive dead nettle (see map); foliage on some trees showing insect damage; trees S. of forest on E. edge are exotic,,,20151216,N,"Forest; Robin Park, 11240 150 St",0,959,1001850488,Mature,Deciduous,0,11240,0,,2,1001438699,North half,,PARKS,,003,,20121016,Forest-deciduous,"Robin Park, 11240 150 St",Park,PARKS,Robin Park,,N,N,15000,,,OPERATING,20040824111800,N,,,,,
41,2,,,,,20140429,,"Forest; Old City Hall Grounds, 14245 56 Ave",0,220,1001745183,Mature,Deciduous,0,14245,,20140429,3,,North of parking lot along 142 St,52,Parks,,072,,,Forest-deciduous,"Old City Hall Grounds, 14245 56 Ave",Land,Parks,Old City Hall Grounds,,,Y,05600,,,OPERATING,,,,,,,
42,1,,"Forest is outside of UROW; trees are under 15m ht. , lacking good undest. (typical of yng. decid.); Himal. bl. bry. w/in stand ",,,,N,"Forest; 125C - Utility ROW, 16520 18 Ave",0,43,1001439032,Young,Deciduous,0,16520,0,,3,0711-000000016,Extreme N. tip,,PARKS,,125,,20121016,Forest-deciduous,"125C - Utility ROW, 16520 18 Ave",Park,PARKS,125C - Utility ROW,,N,N,01800,,,OPERATING,20040820083100,N,,,,,
43,2,,Some cedar regen.; see map for invasive spp. locations.   ,,,,N,"Forest; 131B - Greenbelt, 13391 14A Ave",2,857,1001439034,Mature,Deciduous,1,13391,0,,4,0711-000000155,Whole lot,,PARKS,,131,,20121016,Forest-deciduous,"131B - Greenbelt, 13391 14A Ave",Park,PARKS,131B - Greenbelt,,Y,N,01450,,,OPERATING,20040820084300,Y,,,,,
44,1,,Resident's grass clippings next to stream(see map) ,,,,N,"Forest; 43T - Greenbelt, 15135 80 Ave",0,234,1001438703,Mature,Deciduous,0,15135,0,,3,0711-000000301,Whole lot,,PARKS,,043,,20121016,Forest-deciduous,"43T - Greenbelt, 15135 80 Ave",Park,PARKS,43T - Greenbelt,,Y,Y,08000,,,OPERATING,20040823084300,N,,,,,
45,3,,,,,20170501,N,"Forest; Tannery Park, 10761 Dyke Rd",2,,1001929155,Mature,Deciduous,0,10761,,20170501,3,,Throughout site,465,Parks,,009,,20170501,Forest-deciduous,"Tannery Park, 10761 Dyke Rd",Park,Parks,Tannery Park,,Y,Y,21690,,,OPERATING,,Y,,,,,
46,4,,converted from specimen trees in 2009,,,20090826,N,"Forest; Brooks Crescent Park, 6050 Brooks Cres",2,44,1001439202,Mature,Deciduous,0,06050,0,,4,0711-000001064,just northeast of playground,,Parks,,079,,20121016,Forest-deciduous,"Brooks Crescent Park, 6050 Brooks Cres",Park,Parks,Brooks Crescent Park,,N,N,19485,,,OPERATING,20090826101500,N,,,,,
47,1,,"See map for refuse, yard waste and invasive spp. locations; significant streamside encroachments along strip just E. of 132 St. ",,,,N,"Forest; 41B - Utility ROW, 8630 - 132 St",0,2031,1001438797,Mature,Deciduous,0,08630,0,,3,0711-000000025,"Mostly in E. section of park, N. of UROW",,PARKS,,041,,20121016,Forest-deciduous,"41B - Utility ROW, 8630 132 St",Park,PARKS,41B - Utility ROW,,Y,Y,13200,,,OPERATING,,N,,,,,
48,1,,See map for yard waste and invasive spp. locations; best to remove ivy soon since it has just begun to move into park.   ,,,,N,"Forest; 111C - Greenbelt, 13252 28 Ave",1,752,1001438964,Mature,Mixed,4,13252,0,,4,0711-000000037,"Most of park, with some small passive grass areas in the S.",,PARKS,,111,,20161121,Forest-mixed,"111C - Greenbelt, 13252 28 Ave",Park,PARKS,111C - Greenbelt,,Y,Y,02800,,,OPERATING,20040819132100,Y,,,,,
49,1,,"Cedar stand in N. lacks good understory, compacted ground; Himal. bl. berry thru. out forest; some dead standing maple; dead nettle escaping from lot 5768 190St ",,,,N,"Forest; Clover Ridge Park, 19087 - 57 Ave",2,643,1001438788,Mature,Deciduous,0,19087,0,,4,0711-000000050,N. half of park,,PARKS,,078,,20121016,Forest-deciduous,"Clover Ridge Park, 19087 57 Ave",Park,PARKS,Clover Ridge Park,,N,N,05700,,,OPERATING,,N,,,,,
50,2,,,,,20090908,N,"Forest; 27E - Greenbelt, 17719 101a Ave",1,560,1001439206,Mature,Deciduous,0,17719,0,,3,0711-000001068,all of site,135,Parks,,027,,20121016,Forest-deciduous,"27E - Greenbelt, 17719 101a Ave",Park,Parks,27E - Greenbelt,,Y,N,10150,,,OPERATING,20090908095700,N,,,,,
51,3,,"Major refuse rating due to type of refuse near A class strm. (industrial paint buckets, etc.) rather than amount (see map for locat's) ",,,,N,"Forest; 41A - Greenbelt, 8613 - 132 St",1,2080,1001438796,Mature,Deciduous,0,08613,0,,4,0711-000000022,Most of lot,,PARKS,,041,,20121016,Forest-deciduous,"41A - Greenbelt, 8613 132 St",Park,PARKS,41A - Greenbelt,,Y,Y,13200,,,OPERATING,,N,,,,,
52,1,,See map for invasive spp. and yard waste locations.,,,,N,"Forest; 121L - Greenbelt, 13447 Amble Wood Dr",2,1109,1001438773,Mature,Mixed,0,13447,0,,4,0711-000000076,throughout site,,Parks,,121,,20150327,Forest-mixed,"121L - Greenbelt, 13447 Amble Wood Dr",Park,Parks,121L - Greenbelt,,Y,N,01735,,,OPERATING,20060406092300,N,,,,,
53,1,,Moderate blackberry.  Detention ponds along west edge ,,,,N,"Forest; 25E - Greenbelt, 16028 98b Ave",0,287,1001439024,Mature,Deciduous,0,16028,0,,2,0711-000000244,East portion of lot,,PARKS,,025,,20170117,Forest-deciduous,"25E - Greenbelt, 16028 98b Ave",Park,PARKS,25E - Greenbelt,,N,N,09870,,,OPERATING,20040820105700,N,,,,,
54,2,,Himal. bl. bry w/in E. stand  ,,,,N,"Forest; 2A - Greenbelt, 11572 - 138B St",0,301,1001438984,Mature,Deciduous,0,11572,0,,4,0711-000000020,Most of park,,PARKS,,002,,20170117,Forest-deciduous,"2A - Greenbelt, 11572 138B St",Park,PARKS,2A - Greenbelt,,Y,N,13870,,,OPERATING,,N,,,,,
55,3,,,,,20091209,N,"Forest; 115B - Greenbelt, 3034 161 St",0,475,1001439239,Mature,Mixed,0,03034,0,,3,0711-000001098,entire site,174,Parks,,115,,20121016,Forest-mixed,"115B - Greenbelt, 3034 161 St",Park,Parks,115B - Greenbelt,,Y,Y,16100,,,OPERATING,20091209114800,N,,,,,
56,3,,,,,20091209,N,"Forest; Greenridge Park, 3045 161 St",0,943,1001439240,Mature,Mixed,0,03045,0,,3,0711-000001099,entire site,353,Parks,,115,,20121016,Forest-mixed,"Greenridge Park, 3045 161 St",Park,Parks,Greenridge Park,,Y,Y,16100,,,OPERATING,20091209115300,N,,,,,
57,3,,,,,20100715,N,"Forest; 69C - Neighbourhood Park, 6650 195 St",1,272,1001439245,Young,Mixed,0,06650,0,20100701,3,0711-000001104,in centre area of site,110,Parks,,069,,20121016,Forest-mixed,"69C - Neighbourhood Park, 6650 195 St",Park,Parks,69C - Neighbourhood Park,,N,Y,19500,,,OPERATING,20100715154700,N,,,,,
58,3,,,,,20100715,N,"Forest; 73L - Greenbelt, 14833 62 Ave",1,292,1001439246,Mature,Mixed,0,14833,0,20100701,2,0711-000001105,entire site,123,Parks,,073,,20121016,Forest-mixed,"73L - Greenbelt, 14833 62 Ave",Park,Parks,73L - Greenbelt,,N,Y,06200,,,OPERATING,20100715162300,N,,,,,
59,2,,,,,20101207,N,"Forest; Beaver Creek Heights Park, 6722 122A St",2,554,1001439249,Mature,Mixed,0,06722,0,,4,0711-000000425,Mostly in the S.,,PARKS,,060,,20121016,Forest-mixed,"Beaver Creek Heights Park, 6722 122A St",Park,PARKS,Beaver Creek Heights Park,,Y,N,12250,,,OPERATING,20040823143800,N,,,,,
60,3,,"Large pieces of industrial refuse (bridge beams?) and other refuse; stands lacking good understory (for shore edge in N.E. corner, this is typical)   ",,,,N,"Forest; Surrey Public Wharf, 11731 130 St",0,153,1001439070,Mature,Deciduous,0,11731,0,,3,0711-000000188,Along W. edge and in N.E. corner,,PARKS,,001,,20170307,Forest-deciduous,"Surrey Public Wharf, 11731 130 St",Park,PARKS,Surrey Public Wharf,,N,N,13000,,,OPERATING,20040820101100,N,,,,,
61,4,,Wet land area within forest. Flowing water in ditch parallel to ROW. Blackberry encroaching from ROW and along King George Hwy. ,,,,N,"Forest; 84A - Greenbelt, 5578 152 St",1,168,1001439123,Mature,Mixed,0,05410,0,,4,0711-000000408,2,,PARKS,,083,,20121016,Forest-mixed,"84A - Greenbelt, 5578 152 St",Park,PARKS,84A - Greebelt,,N,Y,15200,,,OPERATING,20040823135400,N,,,,,
62,1,,Private residence in S.E. ,,,20090323,N,"Forest; Walnut Park, 16175 80A Ave",0,917,1001439195,Mature,Deciduous,0,16175,0,,1,0711-000000579,Sections in W. and E.,,Parks,,045,,20170307,Forest-deciduous,"Walnut Park, 16175 80A Ave",Park,Parks,Walnut Park,,Y,Y,08050,,,OPERATING,20040824125700,N,,,,,
63,2,,,,,20130721,N,"Forest; 114F - Greenbelt, 3011 156 St",0,384,1001606935,Mature,Deciduous,0,03011,,20130123,1,,Entire lot,37,Parks,,114,,20130721,Forest-deciduous,"114F - Greenbelt, 3011 156 St",Park,Parks,114F - Greenbelt,,Y,Y,15600,,,OPERATING,,N,,,,,
64,3,,rusted out car parts at souith end,,,,N,"Forest; 14A - Greenbelt, 15925 107 Ave",2,262,1001439126,Mature,Mixed,0,15925,0,,2,0711-000000132,entire lot,,Parks,,014,,20121016,Forest-mixed,"14A - Greenbelt, 15925 107 Ave",Park,Parks,14A - Greenbelt,,N,Y,10700,,,OPERATING,20060406104000,N,,,,,
65,1,,,,,,N,"Shrubland; 55E - Greenbelt, 16322 77 Ave",0,317,1001439092,,,0,16322,0,,2,0711-000000343,south east corner of site,,PARKS,,055,,20121016,Shrubland,"55E - Greenbelt, 16322 77 Ave",Park,PARKS,55E - Greenbelt,,Y,Y,07700,,,OPERATING,20040823103200,N,,,,,
66,1,,,,,,N,"Forest; 102A - Greenbelt, 3328 136 St",0,153,1001438962,Young,Mixed,0,03328,0,,4,0711-000000028,Most of lot,,PARKS,,102,,20161114,Forest-mixed,"102A - Greenbelt, 3328 136 St",Park,PARKS,102A - Greenbelt,,N,N,13600,,,OPERATING,20040819125800,N,,,,,
67,3,,,,,,N,"Shrubland; J.R. Douglas Park, 10885 162B St",0,125,1001439095,,,0,10885,0,,3,0711-000000035,West park boundary,,PARKS,,015,,20121016,Shrubland,"J.R. Douglas Park, 10885 162B St",Park,PARKS,J.R. Douglas Park,,N,N,16270,,,OPERATING,20060410120300,N,,,,,
68,3,,Trail on private land but we manage. Linear greenbelt. Minor blackberry.  ,,,,N,"Forest; Island, 1783 Amble Greene Dr",2,118,1001438976,Mature,Coniferous,0,01783,0,20010313,4,0711-000001039,East side,,Parks,,121,,20121016,Forest-coniferous,Island - 1783 Amble Greene Dr,,Parks,Island - 1783 Amble Greene Dr,,N,Y,13207,,,OPERATING,20040826142900,N,,,,,
69,1,,,,,,N,"Forest; 121J - Greenbelt, 1923 Amble Greene Dr",2,155,1001438978,Mature,Coniferous,0,01923,0,,4,0711-000000065,most of site,,Parks,,121,,20121016,Forest-coniferous,"121J - Greenbelt, 1923 Amble Greene Dr",Park,Parks,121J - Greenbelt,,N,N,13207,,,OPERATING,20060406091600,Y,,,,,
