,ARDSA_DITCH,CHANNEL_TYPE,CHANNEL_TYPE2,COMMENTS,CRE_DATE,DOWN_ELEVATION,ENABLED,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,MOD_DATE,NAME,OWNER,PROJECT_NO,SENSITIVITY,SLOPE,STATUS,UP_ELEVATION,YR
51,,1,Ditch,Updated to SHIM 2009,20040917,,1,1000771938,,10004300,20120629,,Surrey,,C,0,In Service,,
52,,0,Creek,Updated to SHIM 2009,20080714,,1,1000854089,Final AB,,20120629,Manson Canal,Surrey,D-751,A,,In Service,,2008
53,,0,Creek,Updated to SHIM 2009,20080714,,1,1000854080,Final AB,,20120629,Manson Canal,Surrey,D-929,A,,In Service,,2008
54,,1,Ditch,,20040801,,1,1000771950,,10004319,20150406,,Surrey,,C,0,In Service,,
55,,1,Ditch,Updated to SHIM 2009,20020801,,1,1000772123,,382841,20150403,,Surrey,,AO,,In Service,,
56,,0,Creek,Updated to SHIM 2009,20080714,,1,1000854072,,,20160401,Manson Canal,Surrey,,A,,In Service,,
57,,0,Creek,Updated to SHIM 2009,20080714,,1,1000854074,,,20160401,Manson Canal,Surrey,,A,,In Service,,
58,,0,Creek,Updated to SHIM 2009,20080714,,1,1000854070,,,20160401,Manson Canal,Surrey,,A,,In Service,,
59,,1,Ditch,,20000801,,1,1000771948,,10004315,20100401,,Surrey,,C,0,In Service,,
60,,1,Ditch,,20150408,,1,1001816437,Final AB,1001815051,20150408,,Surrey,SFPR Seg. 6,C,,In Service,,2014
61,,1,Ditch,Updated to SHIM 2009,20051129,0,1,1000772503,,10005963,20150331,,Surrey,,AO,0,In Service,0,
62,,2,River,,20051129,,1,1000772006,,10000619,20100406,Fraser River,Surrey,,A,0,In Service,,
63,,2,River,,20051129,,1,1000772010,,10000623,20100406,Fraser River,Surrey,,A,0,In Service,,
64,,0,Creek,,20100827,,1,1001171206,,1000781553,20140507,,Surrey,,A,0,In Service,,
65,,2,River,,20051129,,1,1000781649,,10000525,20100406,Fraser River,Surrey,,A,0,In Service,,
66,,1,Ditch,,20020905,,1,1000775920,,398257,20100401,,Surrey,,B,,In Service,,
67,,1,Ditch,,20020905,,1,1000775888,,398346,20100401,,Surrey,,C,,In Service,,
68,,1,Ditch,,20020905,,1,1000775922,,398259,20100401,,Surrey,,C,,In Service,,
69,,1,Ditch,,20020905,,1,1000775956,,398313,20100401,,Surrey,,B,,In Service,,
70,,1,Ditch,,20020905,,1,1000775915,,398250,20100401,,Surrey,,C,,In Service,,
71,,1,Ditch,,20020905,,1,1000775913,,398248,20100401,,Surrey,,C,,In Service,,
72,,1,Ditch,,20020905,,1,1000775912,,398246,20100401,,Surrey,,UN,,In Service,,
73,,1,Ditch,,20020905,,1,1000775885,,398343,20100401,,Surrey,,C,,In Service,,
74,,1,Ditch,,20020905,,1,1000775886,,398344,20100401,,Surrey,,C,,In Service,,
75,,1,Ditch,,20020905,,1,1000775872,,398326,20100401,,Surrey,,C,,In Service,,
76,,1,Ditch,,20020905,,1,1000775929,,398270,20100401,,Surrey,,C,,In Service,,
77,,1,Ditch,,20020905,,1,1000775924,Final AB,398261,20100406,,Surrey,4894-508,C,,In Service,,
78,,1,Ditch,,20020905,,1,1000775952,,398307,20140206,,Surrey,,C,,In Service,,
79,,1,Ditch,,20040915,,1,1000775897,,10004068,20100406,,Surrey,,C,0,In Service,,
80,,1,Ditch,,20020905,,1,1000790063,,396835,20100401,,Surrey,,C,,In Service,,
81,,1,Ditch,,20100804,,1,1001169013,,1000790021,20100804,,Surrey,,AO,,In Service,,
82,,1,Ditch,,20020905,,1,1000790017,,396759,20100401,,Surrey,,AO,,In Service,,
83,,1,Ditch,,20100713,,1,1001167189,Final AB,1000785239,20100713,,Surrey,D-846,AO,,In Service,,
84,,1,Ditch,,20111114,,1,1001219804,,,20120508,,Surrey,,AO,,In Service,,
85,,1,Ditch,,20020801,,1,1000785224,,382484,20100406,,Surrey,,AO,0,In Service,,2001
86,,1,Ditch,,20040101,,1,1000783961,,10002709,20140121,Eugene Crk,Surrey,,A,0,In Service,,
87,,1,Ditch,,20040101,,1,1000783962,,10002710,20140121,Eugene Crk,Surrey,,A,0,In Service,,
88,,1,Ditch,,20020731,,1,1000785056,,379378,20100401,,Surrey,,AO,,In Service,,
89,,1,Ditch,,20020731,,1,1000785251,,379275,20140121,Gallegos Crk,Surrey,,AO,,In Service,,
90,,1,Ditch,,20080208,,1,1000844163,,402536,20140108,,Surrey,7801-0205-00,C,0,In Service,,
91,,1,Ditch,,20160524,,1,1001878309,,1001878305,20160524,,Surrey,,C,0,In Service,,
92,,1,Ditch,,20140108,,1,1001723120,Final AB,1000785331,20140108,,Surrey,1776,C,0,In Service,,
93,,1,Ditch,,20060629,,1,1000785331,Final AB,402561,20140108,,Surrey,1776,C,0,In Service,,
94,,1,Ditch,,20060629,,1,1000785338,Final AB,10002628,20120418,,Surrey,7887-0720,C,0,In Service,,
95,,1,Ditch,,20060629,,1,1000785438,,383167,20100401,,Surrey,,UN,0,In Service,,
96,,0,Creek,,20051125,0,1,1000771656,,403844,20111025,Cougar Crk,Surrey,,A,0,In Service,0,
97,,0,Creek,,20111115,,1,1001220493,,1000771660,20100401,Cougar Crk,Surrey,,A,0,In Service,,
98,,1,Ditch,,20060629,,1,1000771686,,403923,20111115, ,Surrey,,A,0,In Service,,
99,,0,Creek,,20051125,,1,1000771734,,403834,20100401,Cougar Crk,Surrey,,A,0,In Service,,
100,,0,Creek,,20060629,,1,1000771665,,403853,20100401,Cougar Crk,Surrey,,A,0,In Service,,
101,,0,Creek,,20060629,,1,1000771712,,403815,20100401,Cougar Crk,Surrey,,A,0,In Service,,
102,,0,Creek,,20051125,,1,1000771736,,403836,20151009,Cougar Crk,Surrey,,A,0,In Service,,
103,,1,Ditch,,20060629,,1,1000783185,,405457,20100401,,Surrey,,UN,0,In Service,,
104,,0,Creek,,20060629,,1,1000783184,,405455,20100401,Cougar Crk,Surrey,,A,0,In Service,,
105,,0,Creek,,20060629,,1,1000771729,,403829,20100401,,Surrey,,A,0,In Service,,
106,,1,Ditch,Ditch Infill,20120117,93,1,1001356651,,,20130722,,Surrey,SEE CRRP 13-023014,C,1.7591484400000001,Abandoned,93.17,
107,,1,Ditch,,20091120,,1,1001140991,,1000783685,20120207,,Surrey,,C,0,In Service,,
108,,1,Ditch,,20060629,,1,1000783817,Final AB,405498,20100406,,Surrey,7883-130,C,0,In Service,,
109,,1,Ditch,,20060629,,1,1000783799,Final AB,391733,20100406,,Surrey,0092,UN,0,In Service,,
110,,1,Ditch,,20060629,,1,1000783826,,405510,20120207,,Surrey,,C,0,In Service,,
111,,1,Ditch,,20060629,,1,1000783820,,405502,20100401,,Surrey,,UN,0,In Service,,
112,,1,Ditch,Updated to SHIM 2007,20051128,0,1,1000783687,,10001902,20120529,,Surrey,,C,0,In Service,0,
113,,1,Ditch,Updated to SHIM 2007,20030723,,1,1000783681,,405603,20120529,,Surrey,,C,0,In Service,,
114,,1,Ditch,,20060629,,1,1000783835,,405519,20100401,,Surrey,,C,0,In Service,,
115,,1,Ditch,,20060629,,1,1000783836,,405520,20100401,,Surrey,,C,0,In Service,,
116,,0,Creek,Updated to SHIM 2007,20030101,,1,1000783725,Final AB,405526,20120529,Mahood (Bear) Crk,Surrey,7888-0019-00,A,0,In Service,,
117,,1,Ditch,,20060629,,1,1000783761,,405562,20100406,,Surrey,,C,0,In Service,,
118,,1,Ditch,,20060629,,1,1000783813,,405493,20100401,,Surrey,,C,0,In Service,,
119,,1,Ditch,SEE CRRP 7251,20060629,,1,1000783691,Final AB,10001426,20100401,,Surrey,,C,0,In Service,,
120,,1,Ditch,,20060629,,1,1000783693,,405509,20100406,,Surrey,,C,0,In Service,,
121,,1,Ditch,,20061002,,1,1000802312,,405508,20100406,,Surrey,,C,0,In Service,,
122,,1,Ditch,,20060629,,1,1000783755,,405556,20100401,,Surrey,,C,0,In Service,,
123,,1,Ditch,,20030721,,1,1000783739,,405540,20100406,,Surrey,,C,0,In Service,,
124,,1,Ditch,,20060629,,1,1000783752,,405553,20100401,,Surrey,,C,0,In Service,,
125,,1,Ditch,,20080729,,1,1000835787,,408134,20100401,,Surrey,,C,0,In Service,,
126,,1,Ditch,,20031121,,1,1000789778,,408124,20130212,,Surrey,,C,0,In Service,,
127,,1,Ditch,,20031125,,1,1000789673,,408161,20140715,,Surrey,,C,0,In Service,,
128,,1,Ditch,,20031125,,1,1000789672,,408160,20160316,,Surrey,,C,0,In Service,,
129,,1,Ditch,,20060629,,1,1000784262,,10001970,20100406,,Surrey,,C,0,In Service,,
130,,1,Ditch,,20001205,,1,1000784158,,10006039,20160517,,Surrey,,C,0,In Service,,
131,,1,Ditch,,20060629,,1,1000789681,,10002035,20140429,,Surrey,,C,0,In Service,,
132,,1,Ditch,,20031205,,1,1000784305,,408485,20100401,,Surrey,,C,0,In Service,,
133,,1,Ditch,,20060629,,1,1000784401,,408448,20151022,,Surrey,,C,0,In Service,,
134,,1,Ditch,,20140320,,1,1001736034,,1000784264,20140320,,Surrey,,C,0,In Service,,
135,,1,Ditch,,20060629,,1,1000784152,,10001961,20100401,,Surrey,,C,0,In Service,,
136,,1,Ditch,,20031209,,1,1000784217,,408553,20120227,,Surrey,,C,0,In Service,,
137,,1,Ditch,,20031208,,1,1000784320,,408511,20100401,,Surrey,,C,0,In Service,,
138,,1,Ditch,,20031209,,1,1000784220,,408556,20151009,,Surrey,,C,0,In Service,,
139,,1,Ditch,Updated to SHIM 2009,20120522,,1,1001413479,,,20120629,,Surrey,,AO,,In Service,,
140,,1,Ditch,Updated to SHIM 2009,20140530,,1,1001751699,,1000783925,20140530,,Surrey,,A,0,In Service,,
141,,1,Ditch,Updated to SHIM 2009,20020802,,1,1000772515,,383705,20120629,,Surrey,,A,,In Service,,
142,,1,Ditch,,20020802,,1,1000772518,,383709,20140528,,Surrey,,C,,In Service,,
143,,1,Ditch,Updated to SHIM 2009,20020802,,1,1000772514,,383704,20120629,,Surrey,,A,,In Service,,
144,,1,Ditch,Updated to SHIM 2009,20020802,,1,1000772675,Final AB,383536,20120629,,Surrey,R-323,A,,In Service,,
145,,1,Ditch,,20031210,,1,1000784245,,408582,20100401,,Surrey,,C,0,In Service,,
146,,1,Ditch,Updated to SHIM 2009,20020802,,1,1000772509,Final AB,383699,20120629,,Surrey,R-323,A,,In Service,,
147,,1,Ditch,,20060629,,1,1000784392,,408438,20100406,,Surrey,,C,0,In Service,,
148,,1,Ditch,,20060629,,1,1000784371,,408415,20120518,,Surrey,,C,0,In Service,,
149,,1,Ditch,,20031209,,1,1000784357,,408552,20131009,,Surrey,,C,0,In Service,,
150,,1,Ditch,,20020802,,1,1000772532,Final AB,383723,20140710,,Surrey,4516,C,,In Service,,
151,,1,Ditch,Updated to SHIM 2009,20020802,,1,1000772560,,383678,20120629,,Surrey,,B,,In Service,,
152,,1,Ditch,,20020802,,1,1000772593,Final AB,383576,20100406,,Surrey,C-4122-0001,C,,In Service,,1992
153,,1,Ditch,,20020802,,1,1000772535,,383726,20140710,,Surrey,,C,,In Service,,
154,,1,Ditch,,20020802,,1,1000772608,Final AB,383592,20140710,,Surrey,C-4122-0001,C,,In Service,,1992
155,,1,Ditch,,20020802,,1,1000772590,Final AB,383573,20120523,,Surrey,C-4122-0001,C,,In Service,,1992
156,,1,Ditch,As Per Envirowest Jun. 2017 Report,20060629,0,1,1000772667,,15121,20170920,,Surrey,,B,0,In Service,0,
157,,1,Ditch,,20051129,0,1,1000772615,Final AB,383617,20100406,,Surrey,C-4122-0001,C,0,In Service,0,1992
158,,1,Ditch,,20020802,,1,1000772551,,383668,20160128,,Surrey,,C,,In Service,,
159,,1,Ditch,Updated to SHIM 2009,20060629,,1,1000780077,,10002159,20130827,,Surrey,,A,0,In Service,,
160,,1,Ditch,,20150331,,1,1001815100,Final AB,,20150408,,Provincial,SFPR Seg. 6,C,,In Service,,2014
161,,2,River,,20051129,,1,1000781653,,10000529,20100406,Fraser River,Surrey,,A,0,In Service,,
162,,1,Ditch,Updated to SHIM 2009,20140714,,1,1001755980,,1000772487,20150409,,Surrey,,A,0,In Service,,
163,,1,Ditch,,20130828,1.81,1,1001699993,Final AB,1001699989,20130828,,Surrey,5011-1060-00,A,0.47028421000000004,In Service,1.8800000000000001,2013
164,,2,River,,20051129,,1,1000781652,,10000528,20100406,Fraser River,Surrey,,A,0,In Service,,
165,,1,Ditch,Updated to SHIM 2009,20140714,0,1,1001755976,,1000772427,20150401,,Surrey,,A,0,In Service,0,
166,,1,Ditch,,20120227,1.1300000000000001,1,1001404392,Final AB,1001404389,20120227,,Surrey,4810-3080-00,C,0.16750136000000002,In Service,1.1500000000000001,
167,,1,Ditch,Updated to SHIM 2009,20040303,,1,1000781576,,10001332,20120629,,Surrey,,AO,0,In Service,,
168,,1,Ditch,,20020802,,1,1000772449,,383767,20100401,,Surrey,,C,,In Service,,
169,,1,Ditch,,20040304,,1,1000781489,,10001382,20120227,,Surrey,,C,0,In Service,,
170,,1,Ditch,Updated to SHIM 2009,20020802,,1,1000772614,Final AB,383615,20140711,,Surrey,7893-0309-00,A,,In Service,,
171,,1,Ditch,,20120227,0.64,1,1001404455,,1000780154,20120227,,Surrey,,C,14.97134458,In Service,0.86,
172,,1,Ditch,Updated to SHIM 2009,20020802,,1,1000772459,Final AB,383796,20120629,,Surrey,7893-0309-00,A,,In Service,,
173,,1,Ditch,,20140619,,1,1001753914,Final AB,1000780175,20150406,,Surrey,4898-3150-00,C,0,In Service,,1998
174,,1,Ditch,,20030312,0.86,1,1000780165,Final AB,10001532,20140619,,Surrey,4898-3150-00,C,0.09,In Service,0.88,1998
175,,1,Ditch,,20040312,0.49,1,1000780174,Final AB,10001539,20150406,,Surrey,4898-3150-00,C,0.15,In Service,0.59,1998
176,,1,Ditch,,20120523,,1,1001413664,Final AB,1000772451,20120523,,Surrey,R-573,A,,In Service,,
177,,1,Ditch,,20040312,0.88,1,1000780148,Final AB,10001515,20100406,,Surrey,4898-3150-00,C,0.2,In Service,0.9,1998
178,,1,Ditch,,20040304,,1,1000781486,,10001374,20100401,,Surrey,,C,0,In Service,,
179,,1,Ditch,,20020802,,1,1000772546,,383660,20120523,,Surrey,C-3567-0001,A,,In Service,,1990
180,,1,Ditch,,20040304,,1,1000781605,,10001363,20100401,,Surrey,,C,0,In Service,,
181,,1,Ditch,Updated to SHIM 2009,20020802,,1,1000772651,Final AB,383643,20120629,,Surrey,R-573,A,,In Service,,
182,,1,Ditch,,20150407,,1,1001816028,Final AB,1001815392,20150407,,Provincial,SFPR Seg. 6,C,,In Service,,2014
183,,1,Ditch,,20040304,,1,1000781498,,10001398,20140619,,Surrey,,C,0,In Service,,
184,,1,Ditch,,20020905,,1,1000775047,Final AB,399686,20100406,,Surrey,0144,C,,In Service,,
185,,1,Ditch,,20020905,,1,1000775040,Final AB,399738,20100406,,Surrey,0144,C,,In Service,,
186,,1,Ditch,,20020905,,1,1000775042,Final AB,399693,20111013,,Surrey,0144,C,,In Service,,
187,,1,Ditch,,20100630,,1,1001165901,Final AB,1000775043,20100630,,Surrey,7892-0533-00,C,,In Service,,
188,,1,Ditch,,20050309,,1,1000775058,,10004559,20130129,,Surrey,,C,0,In Service,,
189,,1,Ditch,,20020905,,1,1000775037,,399725,20100630,,Surrey,,C,,In Service,,
190,,1,Ditch,,20020905,,1,1000775051,Final AB,399712,20100406,,Surrey,D554,C,,In Service,,
191,,1,Ditch,,20020905,,1,1000775048,Final AB,399847,20111013,,Surrey,D554,C,,In Service,,
192,,1,Ditch,,20100709,,1,1001166931,,1000789897,20100709,,Surrey,,C,,In Service,,
193,,1,Ditch,,20020905,,1,1000789872,,399820,20100709,,Surrey,,C,,In Service,,
194,,1,Ditch,,20100708,,1,1001166878,,1001166877,20100708,,Surrey,,C,0,In Service,,
195,,1,Ditch,,20020905,,1,1000775869,,398323,20100401,,Surrey,,C,,In Service,,
196,,1,Ditch,,20020905,,1,1000790081,,396666,20100401,,Surrey,,C,,In Service,,
197,,1,Ditch,,20020905,,1,1000790047,,396816,20100401,,Surrey,,C,,In Service,,
198,,1,Ditch,,20020905,,1,1000790056,,396828,20100401,,Surrey,,C,,In Service,,
199,,1,Ditch,,20020905,,1,1000790051,,396820,20100401,,Surrey,,C,,In Service,,
200,,0,Creek,,20040914,,1,1000789986,,10003783,20100406,,Surrey,,A,0,In Service,,
201,,0,Creek,,20040809,,1,1000789974,,10002779,20100406,,Surrey,,B,0,In Service,,
202,,0,Creek,,20130611,,1,1001599548,,1000789972,20130611,,Surrey,,B,0,In Service,,
203,,1,Ditch,,20131101,,1,1001717419,Final AB,1001717417,20131101,,Surrey,4810-3020-00,AO,,In Service,,
204,,1,Ditch,,20020905,,1,1000790024,,396776,20100401,,Surrey,,C,,In Service,,
205,,1,Ditch,,20020905,,1,1000789991,,396769,20100401,,Surrey,,C,,In Service,,
206,,1,Ditch,,20020905,,1,1000790036,,396797,20100401,,Surrey,,C,,In Service,,
207,,1,Ditch,,20020905,,1,1000790029,,396782,20110722,,Surrey,,C,,History,,
208,,1,Ditch,,20020905,,1,1000778101,,396942,20100401,,Surrey,,B,,In Service,,
209,,1,Ditch,,20020731,,1,1000785263,Final AB,379348,20100406,,Surrey,D-846,AO,,In Service,,
210,,1,Ditch,,20020731,,1,1000785203,,401599,20100401,,Surrey,,AO,0,In Service,,2002
211,,1,Ditch,,20060629,,1,1000785063,,388278,20100401,,Surrey,,AO,0,In Service,,2002
212,,1,Ditch,,20020802,,1,1000775435,,388309,20100401,,Surrey,,C,,In Service,,
213,,1,Ditch,,20020731,,1,1000775442,,379519,20100401,,Surrey,,AO,,In Service,,
214,,1,Ditch,,20110615,,1,1001201205,,1000785258,20110615,,Surrey,,AO,,In Service,,
215,,1,Ditch,,20051124,0,1,1000785038,,10005525,20100406,,Surrey,,AO,0,In Service,0,
216,,1,Ditch,,20051124,0,1,1000785034,,10005522,20100401,,Surrey,,C,0,In Service,0,
217,,1,Ditch,,20020731,,1,1000785213,,379312,20100401,,Surrey,,AO,,In Service,,
218,,1,Ditch,,20020731,,1,1000785053,,379311,20100401,,Surrey,,AO,,In Service,,
219,,1,Ditch,,20020731,,1,1000785198,,379520,20100401,,Surrey,,AO,,In Service,,
220,,1,Ditch,,20020731,,1,1000775316,,379403,20100401,,Surrey,,AO,,In Service,,
221,,1,Ditch,,20020731,,1,1000775318,,379398,20100401,,Surrey,,AO,,In Service,,
222,,1,Ditch,,20000731,,1,1000775315,,379400,20100401,,Surrey,,AO,0,In Service,,
223,,1,Ditch,,20020731,,1,1000775313,,379401,20100401,,Surrey,,AO,,In Service,,
224,,1,Ditch,,20070220,,1,1000819127,Final AB,,20120418,,Surrey,,AO,,In Service,,2006
225,,1,Ditch,FT00962,20060629,63.03,1,1000785370,,402382,20140117,,Surrey,,C,2.00712431,In Service,63.39,
226,,1,Ditch,,20060629,,1,1000785398,,402419,20100928,,Surrey,,C,0,In Service,,
227,,1,Ditch,FT00962,20060629,63.83,1,1000785335,Final AB,402566,20140117,,Surrey,7889-0004,C,2.10554113,In Service,64.32000000000001,
228,,1,Ditch,,20100929,,1,1000785384,Final AB,383115,20100929,,Surrey,MOTH 71101-1004,C,0,In Service,,2009
229,,1,Ditch,,20060629,,1,1000785378,,383145,20100401,,Surrey,,C,0,In Service,,
230,,1,Ditch,,20100930,78.84,1,1001174552,Final AB,,20100930,,Surrey,MOTH 71101-1004,C,1.09088746,In Service,80.05,2009
231,,1,Ditch,,20030716,,1,1000782017,,405475,20100401,,Surrey,,C,0,In Service,,
232,,1,Ditch,,20080923,,1,1000859439,Final AB,,20100823,,Surrey,7805-0192-00,C,,In Service,,2008
233,,1,Ditch,,20071023,,1,1000835827,,405468,20100401,,Surrey,,C,0,In Service,,
234,,1,Ditch,,20060629,,1,1000790567,,405403,20100401,,Surrey,,C,0,In Service,,
235,,1,Ditch,,20030709,,1,1000790573,,405409,20100401,,Surrey,,C,0,In Service,,
236,,1,Ditch,,20060629,,1,1000783172,,393496,20100401,,Surrey,,UN,0,In Service,,
237,,1,Ditch,,20060629,,1,1000783674,,405596,20100401,,Surrey,,C,0,In Service,,
238,,1,Ditch,,20060629,,1,1000783670,,405591,20100401,,Surrey,,C,0,In Service,,
239,,1,Ditch,,20060629,,1,1000783671,,405592,20100401,,Surrey,,C,0,In Service,,
240,,1,Ditch,,20060629,,1,1000783669,,405589,20100401,,Surrey,,C,0,In Service,,
241,,1,Ditch,,20060629,,1,1000783731,,405532,20120529,,Surrey,,C,0,In Service,,
242,,1,Ditch,,20051128,0,1,1000783686,,10001901,20100406,,Surrey,,C,0,In Service,0,
243,,1,Ditch,,20060629,,1,1000783684,,405582,20100406,,Surrey,,C,0,In Service,,
244,,0,Creek,Updated to SHIM 2007,20081001,,1,1000860357,Final AB,405530,20120529,Mahood (Bear) Crk,Surrey,9509,A,0,In Service,,
245,,1,Ditch,,20060629,,1,1000783593,,405708,20100401,,Surrey,,C,0,In Service,,
246,,1,Ditch,,20030730,,1,1000783592,,405707,20100401,,Surrey,,C,0,In Service,,
247,,0,Creek,Updated to SHIM ERC 2011,20030728,,1,1000782032,Final AB,405644,20120620,Cruikshank Crk,Surrey,,A,0,In Service,,
248,,1,Ditch,,20060629,,1,1000783737,,405538,20100406,,Surrey,,C,0,In Service,,
249,,1,Ditch,,20031125,,1,1000789666,,408152,20100401,,Surrey,,C,0,In Service,,
