,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,MATERIAL,OPERATOR,ROUTE_TYPE2,STATUS,TREES_PLANTED
166,Shared Traffic,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
167,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
168,Neighbourhood Bike Route,,,,,Dirt,Engineering,Bike Route,In Service,No
169,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
170,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
171,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
172,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
173,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
174,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
175,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
176,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
177,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
178,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
179,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
180,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
181,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
182,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
183,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
184,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
185,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
186,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
187,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
188,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
189,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
190,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
191,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
192,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
193,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
194,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
195,Neighbourhood Bike Route,,Transportation,Port Mann - City Centre,Engineering,,,Bike Route,In Service,
196,Neighbourhood Bike Route,,Transportation,Port Mann - City Centre,Engineering,,,Bike Route,In Service,
197,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
198,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
199,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
200,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
201,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
202,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
203,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
204,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
205,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
206,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
207,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,
208,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
209,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
210,Bike Lanes,,Transportation,,Engineering,,Engineering,Bike Route,In Service,
211,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
212,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
213,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
214,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
215,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
216,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
217,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
218,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
219,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
220,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
221,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
222,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
223,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
224,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
225,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
226,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
227,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
228,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
229,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
230,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
231,Bike Lanes,,Transportation,,Engineering,,Engineering,Bike Route,In Service,No
232,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
233,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
234,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
235,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
236,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
237,Neighbourhood Bike Route,,,Port Mann- Surrey Centre NBR,,Asphalt,Engineering,Bike Route,In Service,No
238,Neighbourhood Bike Route,,Multi-use,Port Mann Greenway,Greenway,Other,Engineering,Bike Route,In Service,
239,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
240,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
241,Cycling-Permitted Sidewalk,,Transportation,,Engineering,Concrete,Engineering,Bike Route,In Service,
242,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
243,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
244,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
245,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
246,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
247,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
248,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
249,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,No
250,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
251,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
252,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
253,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
254,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
255,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
256,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
257,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
258,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
259,Neighbourhood Bike Route,,Multi-use,Newton Greenway,Greenway,Asphalt,Engineering,Bike Route,In Service,
260,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
261,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
262,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
263,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
264,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
265,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
266,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
267,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
268,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
269,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
270,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
271,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
272,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
273,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
274,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
275,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
276,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
277,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
278,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
279,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
280,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
281,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
282,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
283,Cycling-Permitted Sidewalk,,,,,Concrete,Engineering,Bike Route,In Service,No
284,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
285,Protected Bike Lanes,,,,,Asphalt,,Bike Route,Proposed,
286,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
287,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
288,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
289,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,No
290,Shared Traffic,,Transportation,,Engineering,,,Bike Route,In Service,
291,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
292,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
293,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
294,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
295,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
296,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
297,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
298,Bike Lanes,,,,,Asphalt,Engineering,Bike Route,In Service,
299,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
300,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
301,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
302,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
303,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
304,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
305,Protected Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,Proposed,
306,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
307,Cycling-Permitted Sidewalk,,Multi-use,Bon Accord Greenway,Greenway,Concrete,Engineering,Bike Route,In Service,
308,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
309,Neighbourhood Bike Route,,,,,Asphalt,Engineering,Bike Route,In Service,No
310,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
311,Shared Traffic,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
312,Bike Lanes,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
313,Bike Lanes,,Transportation,,Engineering,,,Bike Route,In Service,
314,Neighbourhood Bike Route,,Transportation,,Engineering,Asphalt,Engineering,Bike Route,In Service,
315,Shared Traffic,,,,,Asphalt,Engineering,Bike Route,In Service,No
