,TEMPEST_ACCOUNT_NO,HOUSE_NO,STREET,CRE_DATE,MOD_DATE,Latitude,Longitude
264,360894,13262,66B AVE,,,49.123773,-122.854931
265,360903,13244,66A AVE,,,49.123102,-122.855365
266,361132,6706,134 ST,,,49.124557,-122.850920
267,361133,13407,67 AVE,,,49.124376,-122.850663
268,361134,6459,130 ST,,,49.120101,-122.862423
269,361135,6747,132 ST,,,49.125475,-122.856852
270,331665,9824,156 ST,,,49.181359,-122.789617
271,331672,15651,98 AVE,,,49.180798,-122.788448
272,331675,15665,98 AVE,,,49.180787,-122.788001
273,331676,15677,98 AVE,,,49.180781,-122.787778
274,331686,15648,98 AVE,,,49.180509,-122.788419
275,331688,15664,98 AVE,,,49.180496,-122.787918
276,331702,9928,156A ST,,,49.182963,-122.788175
277,331704,9950,156A ST,,,49.183347,-122.788263
278,331726,9863,156A ST,,,49.181862,-122.788648
279,331727,9857,156A ST,,,49.181723,-122.788654
280,331741,9968,156 ST,,,49.183739,-122.789540
281,331749,9788,157 ST,,,49.180433,-122.786904
282,331750,9778,157 ST,,,49.180244,-122.786909
283,331759,15727,97 AVE,,,49.178944,-122.786515
284,331768,9740,156 ST,,,49.179411,-122.789662
285,331769,9752,156 ST,,,49.179686,-122.789656
286,331772,9924,157 ST,,,49.182907,-122.786870
287,331783,9867,158A ST,,,49.181705,-122.783799
288,331805,15793,98 AVE,,,49.180740,-122.784623
289,331806,15785,98 AVE,,,49.180741,-122.784873
290,331814,15847,98 AVE,,,49.180737,-122.783101
291,331818,15887,98 AVE,,,49.180734,-122.781867
292,331823,15758,98 AVE,,,49.180453,-122.785555
293,331825,9684,156 ST,,,49.178637,-122.789682
294,331826,15966,100 AVE,,,49.184190,-122.779715
295,331827,15766,98 AVE,,,49.180453,-122.785333
296,331829,15972,100 AVE,,,49.184189,-122.779468
297,331831,9770,158B ST,,,49.179946,-122.782228
298,331832,15810,98 AVE,,,49.180451,-122.784444
299,331833,9764,158B ST,,,49.179781,-122.782232
300,331837,9612,161 ST,,,49.177120,-122.775847
301,331839,16153,96A AVE,,,49.177545,-122.774205
302,331842,16039,99 AVE,,,49.183124,-122.777618
303,331843,9620,161 ST,,,49.177276,-122.775843
304,331848,9676,161A ST,,,49.178519,-122.774168
305,331849,16048,99 AVE,,,49.183006,-122.777555
306,331850,9628,161 ST,,,49.177442,-122.775735
307,331853,9860,160 ST,,,49.181584,-122.778398
308,331855,16042,99 AVE,,,49.182870,-122.777631
309,331856,16083,96 AVE,,,49.177072,-122.776584
310,331862,9644,161 ST,,,49.177608,-122.775974
311,331863,9619,161 ST,,,49.177200,-122.776235
312,331867,16293,96 AVE,,,49.177124,-122.770742
313,331868,16022,99 AVE,,,49.182854,-122.778110
314,331869,16166,96A AVE,,,49.177285,-122.773770
315,331871,16010,99 AVE,,,49.182853,-122.778339
316,331873,9672,160A ST,,,49.178169,-122.777124
317,331876,9628,161A ST,,,49.177277,-122.774269
318,331885,9703,161A ST,,,49.178733,-122.774674
319,331888,16009,99B AVE,,,49.183990,-122.778283
320,331893,16008,99B AVE,,,49.183791,-122.778306
321,331961,12562,113B AVE,,,49.208773,-122.874157
322,331973,12421,113B AVE,,,49.209031,-122.878297
323,331976,12750,115A AVE,,,49.211787,-122.868683
324,331982,12424,113 AVE,,,49.207857,-122.878039
325,331983,12574,113B AVE,,,49.208773,-122.873887
326,331987,11444,124 ST,,,49.210610,-122.878321
327,331991,12494,113B AVE,,,49.208769,-122.875908
328,331994,12530,113 AVE,,,49.207880,-122.875126
329,331995,12760,115A AVE,,,49.211789,-122.868464
330,332000,12760,113A AVE,,,49.208225,-122.868489
331,332005,12760,113B AVE,,,49.208944,-122.868475
332,332010,12584,114 AVE,,,49.209691,-122.873683
333,332014,12522,113 AVE,,,49.207880,-122.875350
334,332015,12768,115B AVE,,,49.212503,-122.868248
335,332031,12518,113B AVE,,,49.208772,-122.875415
336,332032,12510,113 AVE,,,49.207881,-122.875570
337,332037,12774,114A AVE,,,49.210396,-122.868054
338,332039,12712,113A AVE,,,49.208221,-122.869805
339,332049,12526,113B AVE,,,49.208766,-122.875184
340,332050,12784,115B AVE,,,49.212519,-122.867826
341,332051,12498,113 AVE,,,49.207796,-122.875786
342,332064,12610,114 AVE,,,49.209693,-122.873054
343,332065,12706,114 AVE,,,49.209647,-122.869985
344,332067,12534,113B AVE,,,49.208768,-122.874937
345,332068,12728,115B AVE,,,49.212527,-122.869336
346,332075,12618,113B AVE,,,49.208772,-122.872546
347,332084,12484,113 AVE,,,49.207864,-122.876161
348,332085,11485,128 ST,,,49.211451,-122.867562
349,332087,12725,112B AVE,,,49.207803,-122.869359
350,332088,12624,113B AVE,,,49.208777,-122.872231
351,332103,12719,114 AVE,,,49.209940,-122.869569
352,332112,12775,114 AVE,,,49.209938,-122.868054
353,332118,12773,112A AVE,,,49.207112,-122.868078
354,334045,11162,131A ST,,,49.205677,-122.857427
355,334052,10970,128A ST,,,49.202285,-122.865872
356,334061,12940,109 AVE,,,49.200736,-122.863657
357,334063,11142,131A ST,,,49.205342,-122.857427
358,334067,10998,131 ST,,,49.202552,-122.859034
359,368282,7372,151A ST,,,49.135673,-122.802072
360,368307,7358,148 ST,,,49.136509,-122.812007
361,368311,14809,73 AVE,,,49.135629,-122.811908
362,368313,14841,73 AVE,,,49.135630,-122.811430
363,368314,14855,73 AVE,,,49.135629,-122.811223
364,368318,14893,73 AVE,,,49.135637,-122.810324
365,368324,7590,149A ST,,,49.140800,-122.807836
366,368325,7570,149A ST,,,49.140503,-122.807844
367,368326,14507,72 AVE,,,49.133883,-122.820389
368,368328,7461,146 ST,,,49.139100,-122.817353
369,368329,14584,76 AVE,,,49.140889,-122.817931
370,368330,7403,146 ST,,,49.137512,-122.817680
371,368331,7331,146 ST,,,49.136110,-122.818117
372,368335,14772,74 AVE,,,49.137230,-122.813687
373,368336,7348,144 ST,,,49.136536,-122.823123
374,368337,14598,76 AVE,,,49.140892,-122.817455
375,368340,14580,76 AVE,,,49.140887,-122.818136
376,368346,7356,144 ST,,,49.136646,-122.823115
377,368352,14576,76 AVE,,,49.140885,-122.818342
378,368354,7331,145 ST,,,49.136055,-122.820738
379,368355,14639,73A AVE,,,49.136299,-122.816743
380,368359,7362,144 ST,,,49.136755,-122.823124
381,368362,14555,75A AVE,,,49.140261,-122.818248
382,368364,14572,76 AVE,,,49.140883,-122.818547
383,368366,7255,145 ST,,,49.134801,-122.820742
384,332134,12759,113A AVE,,,49.208533,-122.868476
385,332136,12515,113 AVE,,,49.208170,-122.875574
386,332138,12763,114B AVE,,,49.211391,-122.868466
387,332150,12653,115B AVE,,,49.212729,-122.871365
388,332151,12525,113 AVE,,,49.208171,-122.875350
389,332156,12693,112B AVE,,,49.207820,-122.870414
390,332157,12532,114 AVE,,,49.209692,-122.874977
391,332165,12745,114B AVE,,,49.211355,-122.868911
392,332167,12745,114A AVE,,,49.210654,-122.868890
393,332169,12683,112B AVE,,,49.207796,-122.870621
394,332177,12539,113 AVE,,,49.208170,-122.874902
395,332185,12523,113B AVE,,,49.209092,-122.875227
396,332186,12629,113 AVE,,,49.208196,-122.872225
397,332187,12629,112A AVE,,,49.207296,-122.872232
398,332188,12615,115B AVE,,,49.212725,-122.872479
399,332189,12617,113 AVE,,,49.208199,-122.872504
400,332194,12597,115B AVE,,,49.212725,-122.873036
401,332195,12587,113B AVE,,,49.209099,-122.873404
402,332202,12581,115B AVE,,,49.212729,-122.873601
403,332215,12637,113B AVE,,,49.209107,-122.871876
404,332225,12654,115B AVE,,,49.212402,-122.871381
405,332237,12761,113B AVE,,,49.209208,-122.868372
406,332238,12765,113B AVE,,,49.209213,-122.868163
407,332252,11375,128 ST,,,49.209349,-122.867596
408,332254,12481,114 AVE,,,49.210021,-122.876406
409,332285,13000,112 AVE,,,49.206715,-122.861901
410,332310,11349,132 ST,,,49.208864,-122.856581
411,332311,11295,132 ST,,,49.208021,-122.856590
412,332320,11456,128 ST,,,49.210809,-122.867197
413,332323,12867,115A AVE,,,49.212062,-122.865590
414,332331,12833,115A AVE,,,49.212091,-122.866449
415,332333,12818,114A AVE,,,49.210402,-122.866960
416,332335,12815,114 AVE,,,49.209927,-122.866965
417,332340,11545,129 ST,,,49.212437,-122.864784
418,332343,12874,115B AVE,,,49.212538,-122.865270
419,332346,12883,115A AVE,,,49.212058,-122.865088
420,332351,12867,114A AVE,,,49.210637,-122.865499
421,332353,12831,114A AVE,,,49.210651,-122.866548
422,332354,11339,132 ST,,,49.208592,-122.856625
423,338680,9768,127 ST,,,49.180267,-122.870428
424,338683,12732,98 AVE,,,49.180678,-122.869542
425,338684,9803,128 ST,,,49.180778,-122.868035
426,338685,9785,128 ST,,,49.180601,-122.868045
427,338686,12789,97A AVE,,,49.179978,-122.868277
428,338687,12772,98 AVE,,,49.180797,-122.868837
429,338699,12710,97A AVE,,,49.179740,-122.870376
430,338700,12708,96A AVE,,,49.177931,-122.870471
431,338701,12718,97A AVE,,,49.179740,-122.870100
432,338704,12728,97 AVE,,,49.178835,-122.869872
433,338707,12640,96A AVE,,,49.177931,-122.872400
434,338711,12560,97A AVE,,,49.179739,-122.874539
435,338716,12570,96A AVE,,,49.177930,-122.874328
436,338719,12580,96A AVE,,,49.177930,-122.874052
437,338721,12590,97A AVE,,,49.179739,-122.873685
438,338733,12747,96 AVE,,,49.177335,-122.869406
439,338736,12739,96A AVE,,,49.178220,-122.869634
440,338738,12727,96A AVE,,,49.178220,-122.869910
441,338744,12607,96 AVE,,,49.177315,-122.873263
442,338746,9989,128 ST,,,49.184255,-122.867913
443,338748,9967,128 ST,,,49.183933,-122.867913
444,338750,12770,100 AVE,,,49.184304,-122.868711
445,338751,12745,99 AVE,,,49.182354,-122.869365
446,338761,12780,99 AVE,,,49.182057,-122.868042
447,338769,12609,99 AVE,,,49.182420,-122.873018
448,363642,6670,HAMPTON BLVD E,,,49.124371,-122.871790
449,363657,12626,HAMPTON CRT,,,49.123543,-122.872391
450,363664,6603,127 ST,,,49.123020,-122.870905
451,363665,6609,127 ST,,,49.123115,-122.870903
452,363666,6615,127 ST,,,49.123196,-122.870903
453,363667,6625,127 ST,,,49.123360,-122.870901
454,363668,6637,127 ST,,,49.123524,-122.870899
455,363669,6643,127 ST,,,49.123606,-122.870898
456,363670,6649,127 ST,,,49.123687,-122.870897
457,363671,6655,127 ST,,,49.123769,-122.870896
458,363672,6667,127 ST,,,49.123934,-122.870895
459,363673,6675,127 ST,,,49.124059,-122.870893
460,363674,6685,127 ST,,,49.124225,-122.870892
461,363675,6693,127 ST,,,49.124306,-122.870891
462,363676,6699,127 ST,,,49.124388,-122.870890
463,363677,6709,127 ST,,,49.124552,-122.870888
464,363678,6715,127 ST,,,49.124639,-122.870887
465,363829,12489,75A AVE,,,49.140221,-122.876452
466,363830,12408,75 AVE,,,49.139113,-122.878779
467,363831,7597,127A ST,,,49.140858,-122.869588
468,363832,7405,125A ST,,,49.137545,-122.875675
469,363833,12506,75A AVE,,,49.139975,-122.876060
470,363834,12482,73 AVE,,,49.135351,-122.876755
471,363835,7599,127 ST,,,49.140853,-122.870948
472,363836,7234,124 ST,,,49.134663,-122.878885
473,363839,12481,75A AVE,,,49.140227,-122.876693
474,363840,12485,73 AVE,,,49.135571,-122.876771
475,363841,7589,127A ST,,,49.140688,-122.869586
476,363842,12512,75A AVE,,,49.140005,-122.875800
477,363843,7583,128 ST,,,49.140607,-122.868153
478,363844,12498,73 AVE,,,49.135350,-122.876509
479,363845,7587,127 ST,,,49.140693,-122.870942
480,363846,7586,126A ST,,,49.140698,-122.871920
481,363847,12430,76 AVE,,,49.140908,-122.878205
482,363848,12424,75 AVE,,,49.139110,-122.878225
483,363849,12473,73 AVE,,,49.135573,-122.877043
484,363850,7402,125A ST,,,49.137488,-122.875427
485,363851,12520,75A AVE,,,49.140076,-122.875593
486,363852,7571,128 ST,,,49.140435,-122.868169
487,363853,7277,125 ST,,,49.134997,-122.876412
488,363854,7575,127 ST,,,49.140558,-122.870980
489,363855,7572,126A ST,,,49.140586,-122.871896
490,363858,12465,75A AVE,,,49.140230,-122.877186
491,363859,7573,127A ST,,,49.140453,-122.869577
492,363860,7406,125A ST,,,49.137529,-122.875321
493,363861,12526,75A AVE,,,49.140145,-122.875390
494,328332,15763,101A AVE,,,49.187233,-122.785283
495,328335,15671,101A AVE,,,49.187237,-122.787763
496,328341,15687,101A AVE,,,49.187236,-122.787212
497,328354,10125,159 ST,,,49.186437,-122.781576
498,328360,15990,101A AVE,,,49.186885,-122.779297
499,328373,10145,158 ST,,,49.186896,-122.784375
500,328375,10129,158 ST,,,49.186576,-122.784374
501,328378,10182,158 ST,,,49.187571,-122.783932
502,328431,10023,160 ST,,,49.184726,-122.778865
503,328432,10031,160 ST,,,49.184897,-122.778864
504,328465,10014,158A ST,,,49.184694,-122.782631
505,328470,10248,156 ST,,,49.188808,-122.789517
506,328471,10236,156 ST,,,49.188657,-122.789517
507,328505,10048,157 ST,,,49.185112,-122.786436
508,328519,10026,156A ST,,,49.184730,-122.788157
509,328521,10023,156A ST,,,49.184729,-122.788651
510,328541,10014,156 ST,,,49.184573,-122.789497
511,328542,10030,156 ST,,,49.184914,-122.789495
512,328547,10086,156 ST,,,49.186088,-122.789505
513,328554,15637,102 AVE,,,49.188142,-122.789018
514,328555,15651,102 AVE,,,49.188141,-122.788550
515,328835,10301,155A ST,,,49.189684,-122.791471
516,329161,10279,149 ST,,,49.189289,-122.809478
517,329166,14876,103A AVE,,,49.190478,-122.809825
518,329173,14845,103 AVE,,,49.189974,-122.810778
519,329179,10285,148A ST,,,49.189471,-122.810847
