,COMMENTS,DATE_CONSTRUCTED,DISASTER_RESPONSE_ROUTE,FACILITYID,GREENWAY,LIFECYCLE_COST,LOCATION,MAJOR_ROAD_NETWORK,MATERIAL,NO_LANE,OWNER,PAVING_DATE,RD_CLASS,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STREETSWEEPING_ROUTE,TRUCK_ROUTE,YTD_COST
44,,,None,1000984582,,,,No,Asphalt,2,Surrey,,Local,Road,107 Ave,,50,Open,,,
45,,,None,1000984694,,,,No,Asphalt,2,Surrey,,Collector,Road,148 St,24,50,Open,,,
46,,,None,1000984736,,,,No,Asphalt,2,Surrey,,Local,Road,Laurel Dr,20,50,Open,,,
47,,,None,1000984790,,,,No,Asphalt,2,Surrey,,Local,Road,31A Ave,,50,Open,,,
48,,,None,1000984856,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
49,,,None,1000984909,,,,No,Asphalt,2,Surrey,,Local,Road,131 St,,50,Open,,,
50,,,None,1000984968,,,,No,Asphalt,2,Surrey,,Local,Road,22A Ave,,50,Open,,,
51,,,None,1000985026,,,,No,Asphalt,2,Surrey,,Local,Road,33 Ave,,50,Open,,,
52,,,None,1000985090,,,,No,Asphalt,2,Surrey,,Local,Road,Todd Cr,,50,Open,,,
53,,20030612,None,1000985095,,,,No,Asphalt,2,Surrey,,Local,Road,67A Ave,,50,Open,,,
54,,,None,1000985168,,,,No,Asphalt,2,Surrey,,Local,Road,123 St,,50,Open,,,
55,,,None,1000975633,,,,No,Asphalt,2,Surrey,,Collector,Road,130 St,24,50,Open,TRANSLINK,,
56,,,None,1000975634,,,,No,Asphalt,2,Surrey,,Local,Road,108A Ave,,50,Open,,,
57,,,None,1000975673,,,,No,Asphalt,2,Surrey,,Local,Road,195A St,,50,Open,,,
58,,,None,1000975683,,,,No,Asphalt,2,Surrey,,Collector,Road,54 Ave,24,50,Open,,,
59,,,None,1000975692,,,,No,Asphalt,2,Surrey,,Local,Road,53A Ave,,50,Open,,,
60,,,None,1000975733,,,,No,Asphalt,2,Surrey,,Local,Road,69 Ave,,50,Open,,,
61,,,None,1000975742,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
62,,,None,1000975778,,,,No,Asphalt,2,Surrey,,Local,Road,155 St,,50,Open,,,
63,,,None,1000975823,,,,No,Asphalt,2,Surrey,,Local,Road,183 St,,50,Open,,,
64,,,None,1000975869,,,,No,Asphalt,2,Surrey,,Arterial,Road,104 Ave,30,50,Open,,,
65,,,None,1000975884,,,,No,Asphalt,2,Surrey,,Local,Road,140A St,,50,Open,,,
66,,,None,1000975936,,,,No,Asphalt,2,Surrey,,Arterial,Road,104 Ave,30,50,Open,,No Heavy Truck Routes,
67,,,None,1000975981,,,,No,Asphalt,2,Surrey,,Local,Road,98A Ave,20,50,Open,,,
68,,,None,1000975991,,,,No,Asphalt,2,Surrey,,Local,Road,133A St,,50,Open,,,
69,,,None,1000973546,,,,No,Asphalt,2,Surrey,,Local,Road,131 St,,50,Open,,,
70,,,None,1000973567,,,,No,Asphalt,2,Surrey,,Local,Road,89B Ave,,50,Open,,,
71,,,None,1000973573,,,,No,Asphalt,2,Surrey,,Collector,Road,116 St,24,50,Open,,No Heavy Truck Routes,
72,,,None,1000973577,,,,No,Asphalt,2,Surrey,,Local,Road,Killarney Dr,,50,Open,,,
73,,,None,1000973599,,,,No,Asphalt,2,Surrey,,Local,Road,162 St,,50,Open,,,
74,,20030612,None,1000978859,,,,No,Asphalt,2,Surrey,,Local,Road,21 Ave,,50,Open,,,
75,,,None,1000978918,,,,No,Asphalt,2,Surrey,,Local,Road,123 St,,50,Open,,,
76,,,None,1000978982,,,,No,Asphalt,2,Surrey,,Collector,Road,80 Ave,24,50,Open,,,
77,,,None,1000979033,,,,No,Asphalt,2,Surrey,,Local,Road,109 Ave,,50,Open,,,
78,,,None,1000979076,,,,No,Asphalt,2,Surrey,,Collector,Road,105 Ave,24,50,Open,,,
79,,,None,1000979105,,,,No,Asphalt,2,Surrey,,Local,Road,62 Ave,,50,Open,,,
80,,,None,1000979126,,,,No,Asphalt,2,Surrey,,Local,Road,74 Ave,,50,Open,,,
81,Offset Centreline Designation,,None,1000975938,,,,No,Asphalt,2,Surrey,,Arterial,Road,128 St,30,50,Open,,,
82,,,None,1000976088,,,,No,Asphalt,5,Surrey,,Arterial,Road,72 Ave,30,50,Open,,Truck Routes,
83,,,None,1000976109,,,,No,Asphalt,2,Surrey,,Arterial,Road,140 St,30,60,Open,,,
84,,,None,1000976112,,,,No,Asphalt,2,Surrey,,Local,Road,26 Ave,,50,Open,,,
85,,,None,1000976125,,,,No,Asphalt,2,Surrey,,Collector,Road,84 Ave,24,50,Open,,,
86,,,None,1000976150,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
87,,,None,1000976177,,,,No,Asphalt,2,Surrey,,Arterial,Road,Old Yale Rd,30,50,Open,,No Heavy Truck Routes,
88,,,None,1000976197,,,,No,Asphalt,2,Surrey,,Local,Road,180A St,,50,Open,,,
89,,,None,1000976220,,,,No,Asphalt,2,Surrey,,Arterial,Road,104 Ave,30,50,Open,,No Heavy Truck Routes,
90,,,None,1000976273,,,,No,Asphalt,2,Surrey,,Local,Road,153 St,,50,Open,,,
91,,,None,1000976320,,,,No,Asphalt,2,Surrey,,Local,Road,55A Ave,,50,Open,,,
92,,,None,1000976363,,,,No,Asphalt,2,Surrey,,Local,Road,Glenmoor Crt,,50,Open,,,
93,,,None,1000985048,,,,No,Asphalt,2,Surrey,,Collector,Road,164 St,24,50,Open,,,
94,,,None,1000985281,,,,No,Asphalt,2,Surrey,,Local,Road,66A Ave,,50,Open,,No Heavy Truck Routes,
95,,,None,1000985293,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
96,,20030612,None,1000985297,,,,No,Asphalt,2,Surrey,,Local,Road,64A Ave,,50,Open,,,
97,,,None,1000982140,,,,No,Asphalt,2,Surrey,,Arterial,Road,184 St,30,50,Open,,,
98,,,None,1000982190,,,,No,Asphalt,2,Surrey,,Local,Road,Peace Park Dr,,50,Open,,,
99,,,None,1000982196,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
100,,,None,1000982227,,,,No,Asphalt,2,Surrey,,Local,Road,Sorrel Pl,,50,Open,,,
101,,,None,1000982311,,,,No,Asphalt,2,Surrey,,Local,Road,19 Ave,,50,Open,,,
102,,,None,1000982398,,,,No,Asphalt,2,Surrey,,Local,Road,161 St,,50,Open,,,
103,,,None,1000982410,,,,No,Asphalt,2,Surrey,,Collector,Road,102 Ave,30,30,Open,CITY CENTRE - CONTRACT CURBS,,
104,,,None,1000982500,,,,No,Asphalt,2,Surrey,,Local,Road,34B Ave,,50,Open,,,
105,,,None,1000982507,,,,No,Asphalt,2,Surrey,,Local,Road,94A Ave,,50,Open,,,
106,,20050510,None,1000982528,,,,No,Asphalt,2,Surrey,,Local,Road,61 Ave,,50,Open,,,
107,,,None,1000982552,,,,No,Asphalt,2,Surrey,,Local,Road,115A Ave,,50,Open,,,
108,,,None,1000982576,,,,No,Asphalt,2,Surrey,,Local,Road,67A Ave,,50,Open,,,
109,,,None,1000982586,,,,No,Asphalt,2,Surrey,,Local,Road,115 Ave,,50,Open,,,
110,,,None,1000982620,,,,No,Asphalt,2,Surrey,,Collector,Road,92 Ave,24,50,Open,,,
111,,,None,1000977799,,,,No,Asphalt,2,Surrey,,Local,Road,69 Ave,,50,Open,,,
112,,,None,1000977801,,,,No,Asphalt,1,Surrey,,Local,Road,120A St,,50,Open,,,
113,,,None,1000977820,,,,No,Asphalt,2,Surrey,,Arterial,Road,Whalley Blvd,30,50,Open,,,
114,,,None,1000977853,,,,No,Asphalt,2,Surrey,,Local,Road,150 St,,50,Open,,,
115,,20061030,None,1000977139,,,,No,Asphalt,2,Surrey,,Local,Road,63A Ave,,50,Open,,,
116,,,None,1000977170,,,,No,Asphalt,2,Surrey,,Local,Road,86 Ave,,50,Open,,,
117,,,None,1000977221,,,,No,Asphalt,2,Surrey,,Local,Road,57 Ave,,50,Open,,,
118,,,None,1000977249,,,,No,Asphalt,2,Surrey,,Local,Road,59 Ave,,50,Open,,,
119,,,None,1000977269,,,,No,Asphalt,2,Surrey,,Local,Road,91 Ave,,50,Open,,,
120,,,None,1000977303,,,,No,Asphalt,2,Surrey,,Local,Road,Boundary Dr S,,50,Open,,,
121,,,None,1000977307,,,,No,Asphalt,2,Surrey,,Local,Road,82 Ave,,50,Open,,,
122,Offset Centreline Designation,,None,1000977331,,,,No,Asphalt,2,Surrey,,Collector,Road,Timberland Rd,27,50,Open,,,
123,,,None,1000977513,,,,No,Asphalt,2,Surrey,,Local,Road,114 Ave,,50,Open,,,
124,,20030612,None,1000977565,,,,No,Asphalt,2,Surrey,,Local,Road,66 Ave,,50,Open,,,
125,,,None,1000977651,,,,No,Asphalt,2,Surrey,,Local,Road,55A Ave,,50,Open,,,
126,,,None,1000977659,,,,No,Asphalt,2,Surrey,,Local,Road,136A St,,50,Open,,,
127,,,None,1000977683,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
128,,,None,1000977785,,,,No,Asphalt,2,Surrey,,Local,Road,24 Ave,,50,Open,,,
129,,,None,1000973624,,,,No,Asphalt,2,Surrey,,Local,Road,170A St,,50,Open,,,
130,,,None,1000973642,,,,No,Asphalt,2,Surrey,,Local,Road,115B Ave,,50,Open,,,
131,,,None,1000973652,,,,No,Asphalt,2,Surrey,,Local,Road,57A Ave,,50,Open,,,
132,,,None,1000973720,,,,No,Asphalt,2,Surrey,,Local,Road,170 St,,50,Open,,,
133,,,None,1000973732,,,,No,Asphalt,2,Surrey,,Local,Road,87A Ave,,50,Open,,,
134,,,None,1000973764,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
135,,,None,1000973867,,,,No,Asphalt,2,Surrey,,Local,Road,90 Ave,,50,Open,,,
136,,,None,1000973878,,,,No,Asphalt,2,Surrey,,Local,Road,162 St,,50,Open,,,
137,,,None,1000973893,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
138,,20061030,None,1000973911,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
139,,,None,1000973932,,,,No,Asphalt,2,Surrey,,Local,Road,158 St,,50,Open,,,
140,,,None,1000973935,,,,No,Asphalt,2,Surrey,,Local,Road,110 Ave,,50,Open,,,
141,,20030612,None,1000973936,,,,No,Asphalt,2,Surrey,,Local,Road,124B St,,50,Open,,,
142,,,None,1000973972,,,,No,Asphalt,2,Surrey,,Arterial,Road,Hansen Rd,27,50,Open,,,
143,,,None,1000980902,,,,No,Asphalt,2,Surrey,,Arterial,Road,148 St,24,50,Open,,,
144,,,None,1000980915,,,,No,Asphalt,2,Surrey,,Arterial,Road,140 St,30,50,Open,,Truck Routes,
145,,,None,1000980941,,,,No,Asphalt,2,Surrey,,Local,Road,65 Ave,,50,Open,,,
146,,,Primary,1000981033,,,,Yes,Asphalt,4,Provincial,,Provincial Highway,Road,Highway 15,,60,Open,,Dangerous Goods Routes,
147,,,None,1000981068,,,,No,Asphalt,2,Surrey,,Local,Road,31 Ave,,50,Open,,,
148,,,None,1000976424,,,,No,Asphalt,2,Surrey,,Local,Road,29A Ave,,50,Open,,,
149,,,None,1000976474,,,,No,Asphalt,2,Surrey,,Local,Road,125A St,,50,Open,,,
150,,,None,1000976481,,,,No,Asphalt,2,Surrey,,Collector,Road,144 St,24,50,Open,,,
151,,,None,1000976483,,,,No,Asphalt,2,Surrey,,Arterial,Road,168 St,30,50,Open,,,
152,,,None,1000976487,,,,No,Asphalt,2,Surrey,,Local,Road,129A St,,50,Open,,,
153,,,None,1000976608,,,,No,Grass,1,Surrey,,Local,Access Lane,,,,Open,,,
154,,,None,1000976613,,,,No,Asphalt,2,Surrey,,Local,Road,25 Ave,,50,Open,,,
155,,,None,1000983201,,,,No,Asphalt,2,Surrey,,Local,Road,169 St,,50,Open,,,
156,Offset Centreline Designation,,Secondary,1000983282,,,,Yes,Asphalt,4,Surrey,,Arterial,Road,96 Ave,30,50,Open,TRANSLINK - T4/T5 CURBS,Truck Routes,
157,,,None,1000983299,,,,No,Asphalt,2,Surrey,,Local,Road,130 St,,50,Open,,,
158,,,None,1000983312,,,,No,Asphalt,2,Surrey,,Local,Road,130 St,,50,Open,,,
159,,,None,1000983325,,,,No,Asphalt,2,Surrey,,Local,Road,125 St,,50,Open,,,
160,,,None,1000983352,,,,No,Asphalt,2,Surrey,,Local,Road,129B St,,50,Open,,,
161,,,None,1000983434,,,,No,Asphalt,2,Surrey,,Collector,Road,124 St,24,50,Open,,,
162,,,None,1000983469,,,,No,Asphalt,2,Surrey,,Collector,Road,32 Ave,24,50,Open,,,
163,,,None,1000983528,,,,No,Asphalt,2,Surrey,,Local,Road,154A St,,50,Open,,,
164,,,None,1000983551,,,,No,Asphalt,2,Surrey,,Local,Road,17 Ave,,50,Open,,,
165,,,None,1000983566,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
166,,,None,1000983578,,,,No,Asphalt,2,Surrey,,Local,Road,113A Ave,,50,Open,,,
167,,20030612,None,1000982622,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
168,,,None,1000982629,,,,No,Asphalt,2,Surrey,,Local,Road,146A St,,50,Open,,,
169,,,None,1000982650,,,,No,Asphalt,2,Surrey,,Local,Road,96A Ave,,50,Open,,,
170,,,None,1000982658,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
171,,,None,1000982788,,,,No,Asphalt,2,Surrey,,Local,Road,Telegraph Trail,,50,Open,,,
172,,,None,1000979482,,,,No,Asphalt,2,Surrey,,Collector,Road,98 Ave,27,50,Open,,,
173,,,Secondary,1000979538,,,,Yes,Asphalt,6,Surrey,,Arterial,Road,King George Blvd,37,60,Open,CITY CENTRE - CONTRACT CURBS,Dangerous Goods Routes,
174,,,None,1000979541,,,,No,Asphalt,2,Surrey,,Collector,Road,100 Ave,27,50,Open,,,
175,,20030612,None,1000979580,,,,No,Asphalt,2,Surrey,,Local,Road,148A St,,50,Open,,,
176,,,None,1000979602,,,,No,Asphalt,2,Surrey,,Local,Road,193 St,,30,Open,,,
177,,,None,1000979615,,,,No,Asphalt,2,Surrey,,Local,Road,150 St,,50,Open,,,
178,,,None,1000979621,,,,No,Asphalt,2,Surrey,,Local,Road,137 St,,50,Open,,,
179,,,None,1000979623,,,,No,Asphalt,2,Surrey,,Arterial,Road,144 St,30,50,Open,,,
180,,,None,1000979680,,,,No,Asphalt,2,Surrey,,Collector,Road,60 Ave,24,50,Open,,,
181,,,None,1000979695,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
182,,,None,1000979724,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
183,,,None,1000979754,,,,No,Asphalt,2,Surrey,,Local,Road,Currie Dr,,50,Open,,,
184,,,None,1000979784,,,,Yes,Asphalt,2,Provincial,,Provincial Highway,Highway Interchange,,,50,Open,,Truck Routes,
185,,20061030,None,1000979799,,,,No,Asphalt,2,Surrey,,Local,Road,140A St,,50,Open,,,
186,,,None,1000979810,,,,No,Asphalt,2,Surrey,,Local,Road,156A St,,50,Open,,,
187,,,None,1000976234,,,,No,Asphalt,2,Surrey,,Local,Road,Kildare Dr,,50,Open,,,
188,,,None,1000976261,,,,No,Asphalt,2,Surrey,,Local,Road,191A St,,50,Open,,,
189,,20030612,None,1000975672,,,,No,Asphalt,2,Surrey,,Local,Road,60A Ave,,50,Open,,,
190,,,None,1000975676,,,,No,Asphalt,2,Surrey,,Local,Road,136 St,,50,Open,<Null>,,
191,,,None,1000976284,,,,No,Asphalt,2,Surrey,,Local,Road,59 Ave,,50,Open,,,
192,,20061030,None,1000975695,,,,No,Asphalt,2,Surrey,,Local,Road,61A Ave,,50,Open,,,
193,,,None,1000975697,,,,No,Asphalt,2,Surrey,,Local,Road,139A St,,50,Open,,,
194,,,None,1000975809,,,,No,Asphalt,2,Surrey,,Collector,Road,111A Ave,24,50,Open,NORTH BRIDGEVIEW,,
195,,20061030,None,1000975863,,,,No,Asphalt,2,Surrey,,Local,Road,26A Ave,,50,Open,,,
196,,,None,1000975904,,,,No,Asphalt,2,Surrey,,Local,Road,121A St,,50,Open,,,
197,,,None,1000975912,,,,No,Asphalt,2,Surrey,,Arterial,Road,160 St,30,50,Open,,,
198,,,None,1000975946,,,,No,Asphalt,2,Surrey,,Arterial,Road,192 St,30,60,Open,,,
199,,,None,1000975952,,,,No,Asphalt,2,Surrey,,Local,Road,63A Ave,,50,Open,,,
200,,,None,1000976010,,,,No,Asphalt,2,Surrey,,Local,Road,163 St,,50,Open,,,
201,,,None,1000976029,,,,No,Asphalt,2,Surrey,,Local,Road,111A Ave,,50,Open,,,
202,,,None,1000976030,,,,No,Asphalt,2,Surrey,,Arterial,Road,Crescent Rd,27,50,Open,,,
203,,,None,1000976101,,,,No,Asphalt,2,Surrey,,Local,Road,Killarney Dr,,50,Open,,,
204,Offset Centreline Designation,,None,1000976181,,,,No,Asphalt,2,Surrey,,Collector,Road,0 Ave,22,50,Open,,No Heavy Truck Routes,
205,,,None,1000981086,,,,No,Asphalt,2,Surrey,,Local,Road,30A Ave,,50,Open,,,
206,,20050502,None,1000981095,,,,No,Asphalt,2,Surrey,,Local,Road,62 Ave,,50,Open,,,
207,,20061030,None,1000981123,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
208,,,None,1000981145,,,,No,Asphalt,2,Surrey,,Local,Road,Glenwood Cr S,,50,Open,,,
209,,20061030,None,1000978448,,,,No,Asphalt,2,Surrey,,Local,Road,Bedford Dr,,50,Open,,,
210,,,None,1000981177,,,,No,Asphalt,2,Surrey,,Local,Road,93A Ave,,50,Open,,,
211,,,None,1000981190,,,,No,Asphalt,2,Surrey,,Collector,Road,180 St,24,50,Open,,,
212,,,None,1000981254,,,,No,Asphalt,2,Surrey,,Local,Road,134 St,,50,Open,,,
213,,,None,1000981286,,,,No,Asphalt,2,Surrey,,Local,Road,163 St,,50,Open,,,
214,,,None,1000981308,,,,No,Asphalt,2,Surrey,,Collector,Road,182 St,24,50,Open,,,
215,,,None,1000981370,,,,No,Asphalt,2,Surrey,,Collector,Road,80 Ave,24,50,Open,,,
216,,,None,1000981376,,,,No,Asphalt,2,Surrey,,Local,Road,89A Ave,,50,Open,,,
217,,,None,1000981393,,,,No,Asphalt,2,Surrey,,Local,Road,15A Ave,,50,Open,,,
218,,,None,1000981430,,,,No,Asphalt,2,Surrey,,Local,Road,165A St,,50,Open,,,
219,,19850801,None,1000978381,,,,No,Asphalt,2,Surrey,,Local,Road,147A St,,50,Open,,,
220,,20030612,None,1000978388,,,,No,Asphalt,2,Surrey,,Local,Road,67A Ave,,50,Open,,,
221,,,None,1000978552,,,,No,Asphalt,2,Surrey,,Collector,Road,168 St,24,30,Open,,No Heavy Truck Routes,
222,,,None,1000978586,,,,No,Asphalt,2,Surrey,,Collector,Road,177B St,24,50,Open,,,
223,,,None,1000978614,,,,No,Asphalt,2,Surrey,,Local,Road,86B Ave,,50,Open,,,
224,,,None,1000981041,,,,No,Asphalt,2,Surrey,,Local,Road,195A St,,50,Open,,,
225,,,None,1000983636,,,,No,Asphalt,2,Surrey,,Local,Road,122 St,,50,Open,,,
226,,,None,1000983688,,,,No,Asphalt,2,Surrey,,Local,Road,146 St,,50,Open,,,
227,,,None,1000983696,,,,No,Asphalt,2,Surrey,,Arterial,Road,144 St,30,50,Open,,,
228,,,None,1000983702,,,,No,Asphalt,2,Surrey,,Arterial,Road,138 St,27,50,Open,,,
229,,,None,1000983785,,,,No,Asphalt,2,Surrey,,Local,Road,158 St,,50,Open,,,
230,,,None,1000983822,,,,No,Asphalt,2,Surrey,,Local,Road,78 Ave,,50,Open,,,
231,,,None,1000983864,,,,No,Asphalt,2,Surrey,,Local,Road,127A St,,50,Open,,,
232,,,None,1000983881,,,,No,Asphalt,2,Surrey,,Local,Road,29A Ave,,50,Open,,,
233,,,None,1000980790,,,,No,Asphalt,2,Surrey,,Local,Road,165B St,,50,Open,,,
234,,,None,1000980823,,,,No,Asphalt,2,Surrey,,Collector,Road,56 Ave,20,50,Open,,,
235,,,None,1000980828,,,,No,Asphalt,2,Surrey,,Collector,Road,172 St,24,50,Open,,,
236,,,None,1000980859,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
237,,,None,1000980887,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
238,,,None,1000980893,,,,No,Asphalt,2,Surrey,,Local,Road,121 St,,50,Open,,,
239,,,None,1000980894,,,,No,Asphalt,2,Surrey,,Arterial,Road,140 St,30,50,Open,,Truck Routes,
240,,,None,1000980937,,,,No,Asphalt,2,Surrey,,Collector,Road,New Mclellan Rd,20,50,Open,,,
241,,,Secondary,1000980981,,,,Yes,Asphalt,4,Surrey,,Arterial,Road,152 St,42,60,Open,TRANSLINK - T7/T8 CURBS,Truck Routes,
242,,,None,1000979820,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
243,,,None,1000979830,,,,No,Asphalt,2,Surrey,,Local,Road,164A St,,50,Open,,,
244,,,None,1000977011,,,,No,Asphalt,2,Surrey,,Local,Road,27A Ave,,50,Open,,,
245,,,None,1000979850,,,,No,Asphalt,2,Surrey,,Local,Road,89 Ave,,50,Open,,,
246,,,None,1000979871,,,,No,Asphalt,2,Surrey,,Local,Road,24A Ave,,50,Open,,,
247,,,None,1000979881,,,,No,Asphalt,2,Surrey,,Local,Road,60A Ave,,50,Open,,,
248,,,None,1000976708,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
249,,,None,1000976716,,,,No,Asphalt,2,Surrey,,Local,Road,148A St,,50,Open,,,
250,,,None,1000976738,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
251,,,None,1000976791,,,,No,Asphalt,1,Surrey,,Local,Access Lane,,,,Open,,,
252,,20061030,None,1000976897,,,,No,Asphalt,2,Surrey,,Local,Road,138A St,,50,Open,,,
253,,,None,1000976903,,,,No,Asphalt,2,Surrey,,Local,Road,23A Ave,,50,Open,,,
254,,,None,1000976904,,,,No,Asphalt,2,Surrey,,Local,Road,Apaloosa Pl,,50,Open,,,
255,,,None,1000977033,,,,No,Asphalt,2,Surrey,,Collector,Road,58 Ave,24,50,Open,,,
256,,,None,1000976930,,,,No,Asphalt,2,Surrey,,Local,Road,140 St,,50,Open,,,
257,,,None,1000976955,,,,No,Asphalt,2,Surrey,,Local,Road,67 Ave,,50,Open,,,
258,,,None,1000976961,,,,No,Asphalt,2,Surrey,,Arterial,Road,84 Ave,30,50,Open,,,
