,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,HABITAT,LEGACYID,LENGTH,LOCATION,MAINTENANCE_RESPONSIBILITY,MATERIAL,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,USE_LEVEL,WIDTH,YR
10,,,,,,,,,"Bridge # 2 - Concrete; Crescent Park, 2585 132 St",,1001851821,,,,,7,"along P3, over creek draining into north edge of lake",Parks,Concrete,"Crescent Park, 2585 132 St",Park,Parks,,Surrey,,,,,,,2,Pedestrian Bridge,In Service,,,,
11,,,,,,,,,"Bridge #3 - Concrete; Crescent Park, 2585 132 St",,1001851824,,,,,7,South of pond along T23,Parks,Concrete,"Crescent Park, 2585 132 St",Park,Parks,,Surrey,,,,,,,3,Pedestrian Bridge,In Service,,,,
12,,,,,metal bridge with concrete head walls and a wood deck,,,,Bridge #1 - Metal,,1001851845,,,,,9,along T2,Parks,Other,"British Manor Park, 14440 79 Ave",Park,Parks,,,,,,,,,1,Pedestrian Bridge,In Service,,,,
13,,,,,,,,,"Boardwalk #1; 131B - Greenbelt, 13391 14A Ave",,1001851864,,,,,,along T2,Parks,Wooden,"131B - Greenbelt, 13391 14A Ave",Park,Parks,,,,,,,,,1,Walkway,In Service,,,,
14,,,,,Wooden handrails,,,,"Bridge - Wood; Chantrell Creek Park, 13741 24 Ave",,1001744446,,,,,,over creek at NW corner of site,Parks,Wooden,"Chantrell Creek Park, 13741 24 Ave",Park,Parks,,Surrey,,,,,,,1,Pedestrian Bridge,In Service,,,,
15,,,,,,,,,Bridge #1 - Wood,,1001851881,,,,,,along T1 near 77A entrance,Parks,Wooden,"John Tompson Park, 14324 Hawkstream Dr",Park,Parks,,Surrey,,,,,,,1,Pedestrian Bridge,In Service,,,,
16,,,,,5' wide,,,,"Bridge - Metal; Adams Road Park, 18160 68 Ave",,1001886999,,,,,,along P3,Parks,,"Adams Road Park, 18160 68 Ave",,Parks,,,,,,,,,1,Pedestrian Bridge,,,,,
17,,,,,(lbob new) ,,,,"P2 Path; Kabaddi Park, 7017 122 St",,1001486156,,,,,,from 122 St to sportsfields,Parks,Asphalt,"Kabaddi Park, 7017 122 St",Park,Parks,Parks,Surrey,,,,,,,P2,Vehicle Access,In Service,No,,,2009
18,,,,,(lbob new) ,,,,"P5 Path; Fleetwood Park, 15802 - 80 Ave",,1002125361,,,,1001485326,,from northern east parking lot to 160 St,Parks,Asphalt,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,No,,,2009
19,,,,,(lbob new) ,,,,"P6 Path; Fleetwood Park, 15802 - 80 Ave",,1001485327,,,,,,in formal gardens,Parks,Limestone,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P6,General Access and Recreation,In Service,No,,,2009
20,,,,,(lbob new) ,,,,"P5 Path; Fleetwood Park, 15802 - 80 Ave",,1001485326,,,,,,from northern east parking lot to 160 St,Parks,Asphalt,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,No,,,2009
21,,,,,"Wood handrails on bridge, chainlink sides (lbob new) ",,,,"Bridge - Wood; Joe Brown Park, 5381 125A St",0707-000000251,1001486253,,,,,,off 123 St cul de sac on N side of Joe Brown Park,Parks,Wooden,"Joe Brown Park, 5381 125A St",,Parks,,,,,,,,,1,Pedestrian Bridge,M,,,,
22,,,,,(lbob new) ,,,,"Bridge #1 - Wood; Hyland Creek Park, 6542 - 138 St",0707-000000111,1001486222,,,,,,Over Creek south of playground,Parks,Wooden,"Hyland Creek Park, 6542 - 138 St",,Parks,,,,,,,,,1,Pedestrian Bridge,M,,,,
23,,,,,Wood handrails on bridge,,,,"Bridge - Wood; Cougar Creek Park, 6889 - 123 St",,1001744461,,,,,,over narrow channel where small pond flows into large pond,Parks,Wooden,"Cougar Creek Park, 6889 123 St",Park,Parks,,Surrey,,,,,,,5,Pedestrian Bridge,In Service,,,,
24,,,,,Wood handrails on bridges,,,,"Bridge - Wood; Cougar Creek Park, 6889 - 123 St",,1001744463,,,,,,on N-S path where creek crosses 122 St ROW,Parks,Wooden,"Cougar Creek Park, 6889 123 St",Park,Parks,,Surrey,,,,,,,3,Pedestrian Bridge,In Service,,,,
25,,,,,(lbob new) ,,,,"P14 Path; Fleetwood Park, 15802 80 Ave",,1001485632,,,,,,from along north edge of southeast parking lot,Parks,Asphalt,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P14,General Access and Recreation,In Service,No,,1.5,2009
26,,,,,(lbob new) ,,,,"P1 Path; Fleetwood Park, 15802 - 80 Ave",,1001486298,,,,,,from 80 Ave to playground and to forest around cr*,Parks,Asphalt,"Fleetwood Park, 15802 80 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,Vehicle Access,In Service,No,,,2009
27,,,,,(lbob new) 14.6M long by 1.5M wide,,,,"Boardwalk; Blackie Spit, 3136 McBride Ave",0707-000000209,1001486285,,,,,,east of parking lot,Parks,,"Blackie Spit, 3136 McBride Ave",,Parks,,,,,,,,,,Walkway,M,,,,
28,,,,,(lbob new) ,,,,"Bridge - Wood; The Glades, 561 172 St",0707-000000269,1001486258,,,,,,,Parks,Wooden,"The Glades, 561 172 St",,Parks,,,,,,,,,2,Pedestrian Bridge,M,,,,
29,,,,,(lbob new) 4 metres,,,,"Boardwalk #5; Redwood Park, 17900 - 20 Ave",0707-000000150,1001486281,,,,,,off 20 Ave at 17800 blk,Parks,,"Redwood Park, 17900 20 Ave",,Parks,,,,,,,,,5,Walkway,M,,,,
30,,,,,(lbob new) 5 metres,,,,"Boardwalk #2; Redwood Park, 17900 - 20 Ave",0707-000000149,1001486280,,,,,,just north of bridge at 16 Ave entrance,Parks,,"Redwood Park, 17900 20 Ave",,Parks,,,,,,,,,2,Walkway,M,,,,
31,,,,,(lbob new) 5 metres,,,,"Boardwalk #4; Redwood Park, 17900 - 20 Ave",0707-000000140,1001486278,,,,,,access to old Caretakers house from Park Driveway,Parks,,"Redwood Park, 17900 20 Ave",,Parks,,,,,,,,,4,Walkway,M,,,,
32,,,,,(lbob new) 5 metres,,,,"Boardwalk #1; Redwood Park, 17900 - 20 Ave",0707-000000151,1001486282,,,,,,just north of bridge at 16 Ave entrance,Parks,,"Redwood Park, 17900 20 Ave",,Parks,,,,,,,,,1,Walkway,M,,,,
33,,,,,(lbob new) ,,,,"Bridge - Concrete; 60E - Utility ROW, 12485 69a Ave",0707-000000205,1001486239,,,,,,over creek just east of 69a Ave entrance to site,Parks,Concrete,"60E - Utility ROW, 12485 69a Ave",,Parks,,,,,,,,,1,Pedestrian Bridge,M,,,,
34,,,,,(lbob new) ,,,,"Bridge #1 - Wood (ramp); Newton Reservoir Park, 6275 128 St",0707-000000259,1001486256,,,,,,off 63 Ave up to reservoir surface,Parks,Wooden,"Newton Reservoir Park, 6275 128 St",,Parks,,,,,,,,,1,Pedestrian Bridge,M,,,,
35,,,,,(lbob new) ,,,,"Bridge #2 - Wood (ramp); Newton Reservoir Park, 6275 128 St",0707-000000260,1001486257,,,,,,ramp on top of reservoir,Parks,Wooden,"Newton Reservoir Park, 6275 128 St",,Parks,,,,,,,,,2,Pedestrian Bridge,M,,,,
36,,,,,(lbob new) ,,,,"Bridge - Wood; 62D - Greenbelt, 14341 68 Ave",0707-000000369,1001486266,,,,,,across creek on T1,Parks,Wooden,"62D - Greenbelt, 14341 68 Ave",,Parks,,,,,,,,,1,Pedestrian Bridge,M,,,,
37,,,,,"10M long by 1M wide 
Wooden handrails along both sides, 10M long by 1M wide ",,,,"Bridge - Wood; Cougar Creek Park, 6889 - 123 St",,1001744479,,,,,,over outflow at west end of large pond at 121 St entrance,Parks,Wooden,"Cougar Creek Park, 6889 123 St",Park,Parks,,Surrey,,,,,,,6,Pedestrian Bridge,In Service,,,,
38,,,,,,,,,P2 Trail; Oak Meadows Park; 16271 22 Ave,,1002021726,,,,1002021723,,from Natural Area to 163 St Path,Parks,Gravel,Oak Meadows Park; 16271 22 Ave,Park,Parks,Parks,,,,,,,,P2,General Access and Recreation,In Service,,,1.5,
39,,,,,,,,,P3 Trail; Oak Meadows Park; 16271 22 Ave,,1002021724,,,,1001935931,,from Natural Area to P1,Parks,Gravel,Oak Meadows Park; 16271 22 Ave,Park,Parks,Parks,,,,B2,,,,P3,General Access and Recreation,In Service,,,1.5,
40,,,,,(lbob new) ,Recreation,,,"T72 Trail;  Redwood Park, 17900 20 Ave",,1001484537,,,,,,from T15 to T14 to grass meadow,Parks,Gravel,"Redwood Park, 17900 20 Ave",Park,Parks,Parks,Surrey,,,A,,,,T72,Nature Trail,In Service,No,,1.2,2009
41,,,Boulevard Separated Multi-Use Pathway,,,Multi-use,Grandview Ridge Trail Greenway,Greenway,T2 Trail; Oak Meadows Park; 16271 22 Ave,,1001938426,,,,1001927694,,"within Natural Area, along 163 St",Parks,Asphalt,Oak Meadows Park; 16271 22 Ave,Park,Parks,Parks,Surrey,,,,7814-0257-00,,,T2,Multi-use Pathway,In Service,No,,,2016
42,,,Boulevard Separated Multi-Use Pathway,,,Multi-use,Grandview Ridge Trail Greenway,Greenway,Multi-Use Path; Oak Meadows Park; 16271 22 Ave,,1001927694,,,,1001413475,,along 163 St,Parks,Asphalt,Oak Meadows Park; 16271 22 Ave,,Parks,Parks,Surrey,,,,7814-0257-00,,,P4,Multi-use Pathway,In Service,No,,,2016
43,,,,,Needs wwidening and surfacing,Recreation,,,"T15 Trail;  Redwood Park, 17900 20 Ave",,1001484538,,,,,,From west edge of park on 177 St to T45,Parks,Dirt,"Redwood Park, 17900 20 Ave",Park,Parks,Parks,Surrey,,,C,,,,T15,Nature Trail,In Service,No,,1,2009
44,,,,,,,,,"P20 Path; South Surrey Athletic Park, 1925 148 St",,1001997445,,,,,,along east side of soccer 3 field,Parks,Asphalt,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,,,,,,,,P20,General Access and Recreation,In Service,,,,
45,,,,,,,,,"P16 Path; South Surrey Athletic Park, 1925 148 St",,1001781545,,,,,,extension of P12,Parks,Asphalt,"South Surrey Athletic Park, 1925 148 St",Park,Parks,Parks,Surrey,,,,,,,P16,General Access and Recreation,In Service,,,,
46,,,,,,Recreation,,,T1 Trail; Oak Meadows Park; 16271 22 Ave,,1001935931,,,,,,22Ave Park Entrance,Parks,Gravel,Oak Meadows Park; 16271 22 Ave,Park,Parks,Parks,,,,B2,,,,T1,Nature Trail,In Service,,,1.5,
47,,,,,(lbob new) ,,,,"P10 Path; South Surrey Athletic Park, 1925 - 148 St",,1001485735,,,,,,along south and east side of parking lot south of*,Parks,Asphalt,"South Surrey Athletic Park, 1925 148 St",Park,Parks,Parks,Surrey,,,,,,,P10,General Access and Recreation,In Service,No,,,2009
48,,,,,(lbob new) ,,,,"P3 Path; South Surrey Athletic Park, 1925 - 148 St",,1001486168,,,,,,from SE corner of parking lot near Rotary Fieldho*,Parks,Asphalt,"South Surrey Athletic Park, 1925 148 St",Park,Parks,Parks,Surrey,,,,,,,P3,Vehicle Access,In Service,No,,,2009
49,,,,,(lbob new) ,,,,"P6 Path;  Darts Hill Garden Park, 1660 168 St",,1001485877,,,,,,throughout central area of gardens,Parks,Limestone,"Darts Hill Garden Park, 1660 168 St",Park,Parks,Parks,Surrey,,,,,,,P6,General Access and Recreation,In Service,No,,,2009
50,,,,,(lbob new) ,,,,"P1 Path; Royal Kwantlen Park, 13035 - 104 Ave",,1001485929,,,,,,from 106 Ave to all weather field,Parks,Asphalt,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
51,,,,,(lbob new) ,,,,"P2 Path; Parkwood Village Park, 12901 - 73 Ave",,1001484855,,,,,,from 129 St to P3,Parks,Asphalt,"Parkwood Village Park, 12901 73 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
52,,,,,(lbob new) ,,,,"P9 Path; Newton Athletic Park, 7395 - 128 St",,1001484861,,,,,,from 127a St to park,Parks,Concrete,"Newton Athletic Park, 7395 128 St",Park,Parks,Parks,Surrey,,,,,,,P9,General Access and Recreation,In Service,No,,,2009
53,,,,,(lbob new) ,,,,"P3 Path; Pioneer Park, 6572 - 133 St",,1001484863,,,,,,from 133a St entrance at 64a Ave,Parks,Concrete,"Pioneer Park, 6572 133 St",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
54,,,,,(lbob new) ,,,,"P1 Path; Jack 'n Jill Tot-Lot, 12852 - 68 Ave",,1001486006,,,,,,Running From 67B Ave Entrance To 128B St,Parks,Concrete,"Jack 'n Jill Tot-Lot, 12852 68 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,1,2009
55,,,,,(lbob new) ,,,,"P1 Path; Glenwood Park - 15N, 16625 - Glenwood Cres South",,1001486019,,,,,,throughout site,Parks,Asphalt,"Glenwood Park, 16625 Glenwood Cres South",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
56,,,,,(lbob new) ,,,,"P1 Path; Evershine Park, 12688 70 Ave",,1001485820,,,,,,from 126a St entrance to P3,Parks,Concrete,"Evershine Park, 12688 70 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,2,2009
57,,,,,(lbob new) ,,,,"P1 Path (Semiahmoo Greenway); Semiahmoo Trail - 123E, 15138 20 Ave",,1001485830,,,,,,from Southmere Cr E to P2,Parks,Asphalt,"Semiahmoo Trail - 123E, 15138 20 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
58,,,,,(lbob new) ,,,,"P3 Path; Semiahmoo Trail - 123E, 15138 20 Ave",,1001485831,,,,,,from shopping mall in east to P1,Parks,Asphalt,"Semiahmoo Trail - 123E, 15138 20 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
59,,,,,(lbob new) ,,,,"P2 Path; Clover Ridge Berm - 78F, 19125 - Hwy #10=56 Ave",,1001485843,,,,,,from Sundale Gr to sidewalk on Hwy 10,Parks,Asphalt,"Clover Ridge Berm - 78F, 19125 Hwy #10=56 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
60,,,Off-Street Multi-Use Pathway,,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,"P6 Path; Tamanawis Park, 12515 64 Ave",,1001402521,,,,,,,Parks,Asphalt,"Tamanawis Park, 12515 64 Ave",,Parks,Parks,Surrey,,,,,,,P6,Multi-use Pathway,In Service,,,,2009
61,,,,,,Multi-use,Bear Creek Greenway,,"P34 Path; Bear Creek Park, 13750 - 88 Ave",,1001991295,,,,,,along 88 Ave,Parks,Asphalt,"Bear Creek Park, 13750 88 Ave",Park,Parks,,,,,,,,,P34,Multi-use Pathway,In Service,,,,
62,,,,,(lbob new) ,,,,"P23 Path; Bear Creek Park, 13750 - 88 Ave",,1001484760,,,,,,short loop in south portion of gardens,Parks,Dirt,"Bear Creek Park, 13750 88 Ave",Park,Parks,Parks,Surrey,,,,,,,P23,General Access and Recreation,In Service,No,,,2009
63,,,,,(lbob new) ,,,,"T2 Trail; Bridlewood Park, 2144 134 St",,1001484726,,,,,,Continuation of T1 as it re-enters the forest and*,Parks,Gravel,"Bridlewood Park, 2144 134 St",Park,Parks,Parks,Surrey,,,A,,,,T2,General Access and Recreation,In Service,No,,,2009
64,,,,,(lbob new) ,,,,"T1 Trail; Jessie Lee Park, 15557 20 Ave",,1001484728,,,,,,Walkway from cul-de-sac north of park to school,Parks,Gravel,"Jessie Lee Park, 15557 20 Ave",Park,Parks,Parks,Surrey,,,A,,,,T1,General Access and Recreation,In Service,No,,1.5,2009
65,,,,,(lbob new) ,,,,"T3 Trail; Jessie Lee Park, 15557 20 Ave",,1001484729,,,,,,T2 to open area where the kids enter school prope*,Parks,Gravel,"Jessie Lee Park, 15557 20 Ave",Park,Parks,Parks,Surrey,,,A,,,,T3,General Access and Recreation,In Service,No,,2,2009
66,,,,,(lbob new) ,,,,"P3 Path; Fraser Wood Park - 15M, 10621 - Arbutus Wynd",,1001484739,,,,,,from Chestnut Pl entrance to P1,Parks,Concrete,"Fraser Wood Park, 10621 Arbutus Wynd",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
67,,,,,(lbob new) ,Recreation,,,"T7 Trail; Invergarry Park, 14400 Currie Dr",,1001484754,,,,,,from Gladstone Dr to T2,Parks,Gravel,"Invergarry Park, 14400 Currie Dr",Park,Parks,Parks,Surrey,,,B2,,,,T7,Nature Trail,In Service,No,,,2009
68,,,,,,,,,"Bridge #2 - Wood; Godwin Farm Biodiversity Preserve, 9016 164 St",,1001905339,,,,1001905333,,within park,Parks,Wooden,"Godwin Farm Biodiversity Preserve, 9016 164 St",,Parks,,,,,,,,,2,Pedestrian Bridge,,,,,
69,,,,,,,,,"Bridge #3 - Wood; Godwin Farm Biodiversity Preserve, 9016 164 St",,1001905342,,,,1001905339,,within park,Parks,Wooden,"Godwin Farm Biodiversity Preserve, 9016 164 St",,Parks,,,,,,,,,3,Pedestrian Bridge,,,,,
70,,,,,(lbob new) ,,,,"T1 Trail; British Manor Park, 14440 79 Ave",,1001485663,,,,,,from 145a St & 78 Ave to 146 St,Parks,Limestone,"British Manor Park, 14440 79 Ave",Park,Parks,Parks,Surrey,,,B1,,,,T1,General Access and Recreation,In Service,No,,,2009
71,,,,,(lbob new) ,,,,"P2 Path; Shannon Park, 7312 192a St",,1001485669,,,,,,from NW corner to E side,Parks,Asphalt,"Shannon Park, 7312 192a St",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
72,,,,,(lbob new) ,Recreation,,,"T1 Trail; 121E - Greenbelt - VIP Site, 12848 19a Ave",,1001485679,,,,,,Runs north to south through forest,Parks,Mulch,"121E - Greenbelt - VIP Site, 12848 19a Ave",Park,Parks,Parks,Surrey,,,B1,,,,T1,Nature Trail,In Service,No,,1.5,2009
73,,,,,(lbob new) ,,,,"P5 Path; Princess Margaret Park, 7044 - 128 St",,1001485701,,,,,,from parking lot to all-weather field,Parks,Limestone,"Princess Margaret Park, 7044 128 St",Park,Parks,Parks,Surrey,,,,,,,P5,General Access and Recreation,In Service,No,,,2009
74,,,,,(lbob new) ,Recreation,,,"T2 Trail; Semiahmoo Trail - 103B, 3314 145 St",,1001485247,,,,,,from T1 to path from 145a St & 33a Ave,Parks,Gravel,"Semiahmoo Trail - 103B, 3314 145 St",Park,Parks,Parks,Surrey,,,A,,,,T2,Nature Trail,In Service,No,,1,2009
75,,,,,(lbob new) ,,,,"P1 Path Rosemary Heights Park, 15333 34 Ave",,1001485270,,,,,,from 36 Ave to 35a Ave,Parks,Asphalt,"Rosemary Heights Park, 15333 34 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
76,,,,,(lbob new) ,,,,"P1 Path; 22D - Utility ROW, 13931 100 Ave",,1001485475,,,,,,from 101 Ave to P2,Parks,Asphalt,"22D - Utility ROW, 13931 100 Ave",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
77,,,,,(lbob new) ,,,,"P1 Path; 24H - Greenbelt, 9746 - 156 St",,1001485482,,,,,,From 97A Ave Entrance To 97 Ave Entrance,Parks,Asphalt,"24H - Greenbelt, 9746 156 St",Park,Parks,Parks,Surrey,,,,,,,P1,General Access and Recreation,In Service,No,,,2009
78,,,,,(lbob new) ,,,,"P2 Path; Semiahmoo Trail Park Retention Pond Grounds, 3132 Semiahmoo Trail",,1001485752,,,,,,from 147 St to P1,Parks,Concrete,"Semiahmoo Trail Park Retention Pond Grounds, 3132 Semiahmoo Trail",Land,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
79,,,,,(lbob new) ,,,,"P3 Path; Erma Stephenson Park, 15920 110 Ave",,1001485754,,,,,,from parking lot to waterplayground and then to 1*,Parks,Asphalt,"Erma Stephenson Park, 15920 110 Ave",Park,Parks,Parks,Surrey,,,,,,,P3,General Access and Recreation,In Service,No,,,2009
80,,,,,,,,,"P6 Path; Evershine Park, 12688 70 Ave",,1001485763,,,,,,from P3 (east) to playground,Parks,Asphalt,"Evershine Park, 12688 70 Ave",Park,Parks,Parks,Surrey,,,,,,,P6,General Access and Recreation,In Service,No,,,2009
81,,,,,(lbob new) ,,,,"P4 Path; Bolivar Park, 13591 Crestview Dr",,1001485771,,,,,,from 114 Ave to playground and forest edge,Parks,Asphalt,"Bolivar Park, 13591 Crestview Dr",Park,Parks,Parks,Surrey,,,,,,,P4,General Access and Recreation,In Service,No,,,2009
82,,,,,(lbob new) ,,,,"P2 Path; Royal Kwantlen Park, 13035 - 104 Ave",,1001485930,,,,,,from 104 Ave to washroom,Parks,Asphalt,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
83,,,,,(lbob new) ,,,,"P7 Path; Bolivar Park, 13591 Crestview Dr",,1001485937,,,,,,along NE edge of playground from P5 to P6,Parks,Asphalt,"Bolivar Park, 13591 Crestview Dr",Park,Parks,Parks,Surrey,,,,,,,P7,General Access and Recreation,In Service,No,,,2009
84,,,,,(lbob new) ,,,,"P2 Path; Tannery Park, 10761 Dyke Rd",,1001485939,,,,,,from east parking lot to P1,Parks,Gravel,"Tannery Park, 10761 Dyke Rd",Park,Parks,Parks,Surrey,,,,,,,P2,General Access and Recreation,In Service,No,,,2009
85,,,,,(lbob new) ,,,,"T26 Trail; Joe Brown Park, 5381 125A St",,1001485943,,,,,,From T23 to road near ball diamond,Parks,Dirt,"Joe Brown Park, 5381 125A St",Park,Parks,Parks,Surrey,,,B2,,,,T26,Equestrian Trail,In Service,No,,0.8,2009
86,,,Off-Street Multi-Use Pathway,,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,"P1 Path; 60D - Utility ROW, 12520 68 Ave",,1001422902,,,,1001402521,,,Parks,Asphalt,"60D - Utility ROW, 12520 68 Ave",,Parks,Parks,Surrey,,,,,,,P1,Multi-use Pathway,In Service,,,,2009
87,,,,,,,,,,,1001953680,,,,,,,Parks,,,,Parks,,,,,,,,,,General Access and Recreation,,,,,
88,,,,,,,,,"P21 Path; Newton Athletic Park, 7395 - 128 St",,1001991111,,,,,,from fitness circuit to 128 St,Parks,Asphalt,"Newton Athletic Park, 7395 128 St",Park,Parks,Parks,,,,,,,,P23,General Access and Recreation,In Service,,,,
89,,,,,,,,,"P19 Path; South Surrey Athletic Park, 1925 148 St",,1001948304,,,,,,Throughout playground/water playground next to field house,Parks,Asphalt,"South Surrey Athletic Park, 1925 148 St",,Parks,Parks,,,,,,,,P19,General Access and Recreation,In Service,,,,
90,,,,,"(lbob new) Was not GPS'd, but digitized over existing trail map, Sections of tha trail not presently up to rec./nature standards; consider future renovation of trail",Recreation,,,"T4 Trail; Invergarry Park, 14400 Currie Dr",,1001485200,,,,,,from T2 to T3 and back to T2,Parks,Gravel,"Invergarry Park, 14400 Currie Dr",Park,Parks,Parks,Surrey,,,B2,,,,T4,Nature Trail,In Service,No,,1.5,2009
91,,,,,(lbob new) ,,,,T1 Trail; Walkway - 16450 110 Ave,,1001485215,,,,,,from 164a St to 165b St,Parks,Gravel,Walkway - 16450 110 Ave,Walkway,Parks,Parks,Surrey,,,B1,,,,T1,General Access and Recreation,In Service,No,,1,2009
