,CHAINAGE_FROM,CHAINAGE_TO,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,FACILITYID,FLOOD_CONTROL_TYPE,FLOOD_CONTROL_TYPE2,GIS_ENTRY_STAGE,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTAINED_BY,MATERIAL,MINIMUM_ELEVATION,MOD_DATE,NAME,OWNER,PROJECT_NO,PROTECTION_AREA,STATUS,WARRANTYDATE,YR,YTD_COST
21,,,,,,20110428,1001196415,0,Dyke,Final AB,,,S of 88 Ave & E of 176 St to Latimer Ck,Surrey Dyking District,Earth,3.342,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
22,,,,,,20110502,1001196494,0,Dyke,Final AB,,,8300blk E of 180 St,Surrey Dyking District,Earth,3.306,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
23,,,,,,20110502,1001196497,0,Dyke,Final AB,,,8300blk E of 180 St,Surrey Dyking District,Earth,3.306,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
24,,,,,,20110502,1001196529,0,Dyke,Final AB,,,8200blk W of 180 St,Surrey Dyking District,Earth,3.278,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
25,,,,,,20110502,1001196530,0,Dyke,Final AB,,,8200blk W of 180 St,Surrey Dyking District,Earth,3.278,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
26,,,<Null>,,,20110502,1001196534,1,Spillway,Final AB,,,8200blk W of 180 St,Surrey Dyking District,Riprap,1.97,20130129,Upper Serpentine Spillway S-4,Surrey,4898-4110-00,,In Service,,2010,
27,,,,,,20110502,1001196535,0,Dyke,Final AB,,,8200blk W of 180 St,Surrey Dyking District,Earth,3.3030000000000004,20130129,Upper Serpentine Spillway S-4,Surrey,4898-4110-00,,In Service,,2010,
28,,,,,,20110502,1001196560,0,Dyke,Final AB,,,N of 80 Ave & E of 176 St,Surrey Dyking District,Earth,3.253,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
29,,,Phase 2 Stop Log 11,,,20110510,1001197318,2,Stoplogs,Final AB,,,,Surrey,Galvanized Steel,4.904,20110912,Fraser River,Surrey,4809-3100-00,,In Service,,2011,
30,,,,,,20110502,1001196563,0,Dyke,Final AB,,,N of 80 Ave & E of 176 St,Surrey Dyking District,Earth,3.253,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
31,,,,,,20110502,1001196599,0,Dyke,Final AB,,,S of 80 Ave & E of 176 St,Surrey Dyking District,Earth,3.208,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
32,,,,,,20110502,1001196600,0,Dyke,Final AB,,,S of 80 Ave & E of 176 St,Surrey Dyking District,Earth,3.208,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
33,,,<Null>,,,20110502,1001196609,1,Spillway,Final AB,,,S of 80 Ave & E of 176 St,Surrey Dyking District,Riprap,2.04,20130129,Upper Serpentine Spillway S-5,Surrey,4898-4110-00,,In Service,,2010,
34,,,,,,20110502,1001196610,0,Dyke,Final AB,,,S of 80 Ave & E of 176 St,Surrey Dyking District,Earth,3.173,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
35,,,,,,20110502,1001196611,0,Dyke,Final AB,,,S of 80 Ave & E of 176 St,Surrey Dyking District,Earth,3.173,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
36,,,,,,20110502,1001196612,0,Dyke,Final AB,,,S of 80 Ave & W of 176 St,Surrey Dyking District,Earth,3.168,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
37,,,,,,20110502,1001196618,0,Dyke,Final AB,,,N of Fraser Hwy & W of 176 St,Surrey Dyking District,Earth,3.16,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
38,,,Phase 2 Stop Log 8,,,20110510,1001197277,2,Stoplogs,Final AB,,,,Surrey,Galvanized Steel,4.833,20110912,Fraser River,Surrey,4809-3100-00,,In Service,,2011,
39,,,Phase 2 Stop Log 9,,,20110510,1001197291,2,Stoplogs,Final AB,,,,Surrey,Galvanized Steel,4.8500000000000005,20110912,Fraser River,Surrey,4809-3100-00,,In Service,,2011,
40,,,Phase 2 Stop Log 10,,,20110510,1001197313,2,Stoplogs,Final AB,,,,Surrey,Galvanized Steel,4.89,20110912,Fraser River,Surrey,4809-3100-00,,In Service,,2011,
41,,,,,,20160209,1001858206,4,Retaining Wall,Final AB,,,,Private,Lock Block,,20160209,,Private,7807-0090-00,,In Service,,2009,
42,,,,,,20160209,1001858205,4,Retaining Wall,Final AB,,,,Private,Lock Block,,20160209,,Private,7807-0159-00,,In Service,,2010,
43,,,,,,20160209,1001858204,4,Retaining Wall,Final AB,,,,Private,Lock Block,,20160209,,Private,7807-0159-00,,In Service,,2010,
44,,,,,,20160209,1001858208,4,Retaining Wall,Final AB,,,Grace Rd @ Scott Creek,Surrey,Lock Block,,20160209,,Surrey,4804-3030-00,,In Service,,2007,
45,,,,,,20160209,1001858207,4,Retaining Wall,Final AB,,,Grace Rd @ Scott Creek,Surrey,Lock Block,,20160209,,Surrey,4804-3030-00,,In Service,,2007,
46,,,,,,20160209,1001858210,4,Retaining Wall,Final AB,,,Titman Creek,Surrey,Lock Block,,20160209,,Surrey,7806-0087-00,,In Service,,2008,
47,,,,,,20160209,1001858209,4,Retaining Wall,Final AB,,,Titman Creek,Surrey,Lock Block,,20160209,,Surrey,7806-0087-00,,In Service,,2008,
48,,,,,,20160209,1001858212,4,Retaining Wall,Final AB,,,,Surrey,Lock Block,,20160209,,Surrey,4808-6010-00,,In Service,,2009,
49,,,,,,20160209,1001858216,4,Retaining Wall,Final AB,,,Guildford Brk,Surrey,Concrete,,20160209,,Surrey,1705-3240-00,,In Service,,2009,
50,,,,,,20160209,1001858214,4,Retaining Wall,Final AB,,,Guildford Brk,Surrey,Concrete,,20160209,,Surrey,1705-3240-00,,In Service,,2009,
51,,,,,,20160209,1001858220,4,Retaining Wall,Final AB,,,Eugene Creek,Surrey,Galvanized Steel,,20160209,,Surrey,4800-5060-00,,In Service,,2010,
52,,,,,,20160209,1001858219,4,Retaining Wall,Final AB,,,Eugene Creek,Surrey,Galvanized Steel,,20160209,,Surrey,4800-5060-00,,In Service,,2010,
53,,,,,,20100713,1001167140,0,Dyke,Final AB,,,,Surrey,Earth,2.5,20160209,Eugene Creek,Surrey,4800-5060-00,,In Service,,2010,
54,,,,,,20160209,1001858227,4,Retaining Wall,Final AB,,,18200blk 29A Ave,Surrey,Lock Block,,20160209,,Surrey,4810-3030-00,,In Service,,2011,
55,,,,,,20160209,1001858226,4,Retaining Wall,Final AB,,,18200blk 29A Ave,Surrey,Lock Block,,20160209,,Surrey,4810-3030-00,,In Service,,2011,
56,,,,,,20111217,1001224259,1,Spillway,Final AB,,,,Surrey,Earth,,20111217,,Surrey,A-205,,In Service,,1981,
57,,,,,,20160511,1001876651,4,Retaining Wall,Final AB,,,,Private,Concrete,,20160511,,Private,Gateway E2,,In Service,,2014,
58,,,,,,20110502,1001196621,0,Dyke,Final AB,,,N of Fraser Hwy & W of 176 St,Surrey Dyking District,Earth,3.1510000000000002,20161026,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
59,23600,23620,Left Side,,,20130207,1001566863,0,Dyke,Final AB,1001566862,,South of Serpentine River to 68 Ave Cut Off Ditch,Surrey,Earth,2.8000000000000003,20130207,168 Street Canal Dyke,Surrey,http://www.youtube.c,,In Service,,2010,
60,,,,,,20131112,1001718252,3,Groyne,,,,Crescent Beach,Surrey,Wood,,20170209,,Surrey,,,In Service,,,
61,,,,,,20140922,1001718254,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20170209,Groyne 7,Surrey,4812-3250-00,,In Service,,2014,
62,,,,,,20131112,1001718260,3,Groyne,,,,Crescent Beach,Surrey,Wood,,20170209,,Surrey,,,In Service,,,
63,,,,,,20140922,1001718261,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20170209,Groyne 5,Surrey,4812-3250-00,,In Service,,2014,
64,30600,30900,Left Side,,,20120103,1001224866,0,Dyke,Final AB,,,Serpentine River to 152 St,Surrey,Earth,3.2,20130207,Hyland Creek Dyke,Surrey,4804-4030-00,,In Service,,2010,
65,9880,10180,Right Side,,,20120103,1001224841,0,Dyke,Final AB,,,60 Ave to Approx 70 Ave (Serpentine Channel),Surrey,Earth,2.9,20130204,Central Serpentine,Surrey,4804-4030-00,,In Service,,2010,
66,,,,,,20131112,1001718262,3,Groyne,,,,Crescent Beach,Surrey,Wood,,20170209,,Surrey,,,In Service,,,
67,,,,,,20110502,1001196619,1,Spillway,Final AB,,,N of Fraser Hwy & W of 176 St,Surrey Dyking District,Riprap,2.02,20130129,Upper Serpentine Spillway S-6,Surrey,4898-4110-00,,In Service,,2010,
68,,,,,,20110502,1001196620,0,Dyke,Final AB,,,N of Fraser Hwy & W of 176 St,Surrey Dyking District,Earth,3.1510000000000002,20130129,Upper Serpentine,Surrey,4898-4110-00,,In Service,,2010,
69,,,,,,20140922,1001718263,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20170209,Groyne 4,Surrey,4812-3250-00,,In Service,,2014,
70,,,Right Side,,,20120103,1001224820,0,Dyke,Final AB,,,168 St to 176 St,,Earth,,20130129,Central Nicomekl,Surrey,,,In Service,,2012,
71,,,Left Side,,,20120103,1001224821,0,Dyke,Final AB,,,176 St to 184 St,,Earth,,20130129,Central Nicomekl,Surrey,,,In Service,,2012,
72,,,Right Side,,,20120103,1001224822,0,Dyke,Final AB,,,176 St to 184 St,,Earth,,20130129,Central Nicomekl,Surrey,,,In Service,,2012,
73,,,Left Side,,,20120103,1001224823,0,Dyke,Final AB,,,184 St to 48 Ave Road Allowance,,Earth,,20130129,Central Nicomekl,Surrey,,,In Service,,2012,
74,,,,,,20131112,1001718264,3,Groyne,,,,Crescent Beach,Surrey,Wood,,20170209,,Surrey,,,In Service,,,
75,,,,,,20140922,1001718265,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20170209,Groyne 3,Surrey,4812-3250-00,,In Service,,2014,
76,,,,,,20131112,1001718266,3,Groyne,,,,Crescent Beach,Surrey,Wood,,20170209,,Surrey,,,In Service,,,
77,,,,,,20140922,1001718267,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20170209,Groyne 2,Surrey,4812-3250-00,,In Service,,2014,
78,,,,,,20131112,1001718268,3,Groyne,,,,Crescent Beach,Surrey,Wood,,20170209,,Surrey,,,In Service,,,
79,30136,30300,Right Side,,,20130207,1001566737,0,Dyke,Final AB,1001224865,,Serpentine River to 153 St,Surrey,Earth,3.25,20130207,Hyland Creek Dyke,Surrey,4804-4030-00,,In Service,,2010,
80,9880,10180,Left Side,,,20120103,1001224844,0,Dyke,Final AB,,,60 Ave to 68 Ave (Serpentine Channel),Surrey,Earth,3.1,20130204,Central Serpentine,Surrey,4804-4030-00,,In Service,,2010,
81,,,,,,20140922,1001718269,3,Groyne,Final AB,,,Crescent Beach - Sullivan St to Maple St,Surrey,Concrete,,20170209,Groyne 1,Surrey,4812-3250-00,,In Service,,2014,
82,9580,9880,Left Side,,,20130204,1001566309,0,Dyke,Final AB,1001224844,,60 Ave to 68 Ave (Serpentine Channel),Surrey,Earth,2.95,20130204,Central Serpentine,Surrey,4804-4030-00,,In Service,,2010,
83,9580,9880,Right Side,,,20130204,1001566310,0,Dyke,Final AB,1001224841,,60 Ave to Approx 70 Ave (Serpentine Channel),Surrey,Earth,2.95,20130204,Central Serpentine,Surrey,4804-4030-00,,In Service,,2010,
84,10180,10320,Left Side,,,20130204,1001566318,0,Dyke,Final AB,1001224844,,60 Ave to 68 Ave (Serpentine Channel),Surrey,Earth,3.1,20130204,Central Serpentine,Surrey,4804-4030-00,,In Service,,2010,
85,30260,30300,Right Side,,,20130207,1001566739,0,Dyke,Final AB,1001566738,,Serpentine River to 152 St,Surrey,Earth,3.4,20130207,Hyland Creek Dyke,Surrey,4804-4030-00,,In Service,,2010,
86,23620,23650,Left Side,,,20130207,1001566864,1,Spillway,Final AB,1001566862,,South of Serpentine River to 68 Ave Cut Off Ditch,Surrey,Earth,2.6,20130207,168 Street Canal Dyke,Surrey,http://www.youtube.c,,In Service,,2010,
87,30900,31080,Left Side,,,20130207,1001566773,0,Dyke,Final AB,1001224866,,Serpentine River to 152 St,Surrey,Earth,3.1,20130207,Hyland Creek Dyke,Surrey,4804-4030-00,,In Service,,2010,
88,10320,10520,Left Side,,,20130204,1001566358,0,Dyke,Final AB,1001224838,,56 Ave to 60 Ave,Surrey,Earth,2.8000000000000003,20130204,Central Serpentine,Surrey,4804-4030-00,,In Service,,2010,
89,10520,10820,Left Side,,,20130204,1001566374,0,Dyke,Final AB,1001224838,,56 Ave to 60 Ave,Surrey,Earth,2.9,20130204,Central Serpentine,Surrey,4804-4030-00,,In Service,,2010,
90,10820,11120,Left Side,,,20130204,1001566392,0,Dyke,Final AB,1001224838,,56 Ave to 60 Ave,Surrey,Earth,2.9,20130204,Central Serpentine,Surrey,4804-4030-00,,In Service,,2010,
91,30300,30600,Right Side,,,20130207,1001566750,0,Dyke,Final AB,1001224865,,Serpentine River to 153 St,Surrey,Earth,3.2,20130207,Hyland Creek Dyke,Surrey,4804-4030-00,,In Service,,2010,
92,23600,23688,Right Side,,,20130207,1001566861,0,Dyke,Final AB,1001224883,,South of Serpentine River to 68 Ave Cut Off Ditch,Surrey,Earth,3.1,20130207,168 Street Canal Dyke,Surrey,,,In Service,,2010,
93,30900,31120,Right Side,,,20130207,1001566774,0,Dyke,Final AB,1001224865,,Serpentine River to 153 St,Surrey,Earth,2.8000000000000003,20130207,Hyland Creek Dyke,Surrey,4804-4030-00,,In Service,,2010,
94,30300,30600,Left Side,,,20130207,1001566749,0,Dyke,Final AB,1001224866,,Serpentine River to 152 St,Surrey,Earth,3.35,20130207,Hyland Creek Dyke,Surrey,4804-4030-00,,In Service,,2010,
95,30600,30900,Right Side,,,20120103,1001224865,0,Dyke,Final AB,,,Serpentine River to 153 St,Surrey,Earth,2.8000000000000003,20130207,Hyland Creek Dyke,Surrey,4804-4030-00,,In Service,,2010,
96,23300,23600,Left Side,,,20120103,1001224882,0,Dyke,Final AB,,,South of Serpentine River to 68 Ave Cut Off Ditch,Surrey,Earth,2.75,20130207,168 Street Canal Dyke,Surrey,4804-4030-00,,In Service,,2010,
97,23300,23600,Right Side,,,20120103,1001224883,0,Dyke,Final AB,,,South of Serpentine River to 68 Ave Cut Off Ditch,Surrey,Earth,3.1,20130207,168 Street Canal Dyke,Surrey,4804-4030-00,,In Service,,2010,
98,,,Sierrascape Wall,,,20180801,1002122469,4,Retaining Wall,EC,,,,Surrey,Earth,,20180801,Cub Creek,Surrey,4815-8040-00,,Proposed,,,
99,,,FT02682,,,20180802,1002123827,4,Retaining Wall,Final AB,,,,Surrey,Lock Block,,20180807,,Surrey,,,In Service,,,
100,,,,,,20130717,1001202016,1,Spillway,Initial AB,,,,,Riprap,,20130717,,Surrey,7807-0204-00,,In Service,,2013,
101,,,,,,20140602,1001751841,1,Spillway,Final AB,,,,,Riprap,,20140603,,Surrey,7812-0328-00,,In Service,,2014,
102,,,,,,20140605,1001752448,1,Spillway,Final AB,,,,Surrey,Riprap,,,,Surrey,7812-0166-00,,In Service,,2014,
103,,,,,,20140605,1001752447,1,Spillway,Final AB,,,,Surrey,Riprap,,20140605,,Surrey,7812-0166-00,,In Service,,2014,
104,,,FT01304 - Elevs = GVRD +0.097,,,20140616,1001753333,4,Retaining Wall,,,,180 St & 36 Ave,Surrey,Galvanized Steel,0.54,20140616,,Surrey,,,In Service,,,
105,,,FT01304 - Elevs = GVRD +0.097,,,20140616,1001753334,4,Retaining Wall,,,,180 St & 36 Ave,Surrey,Galvanized Steel,0.58,20140616,,Surrey,,,In Service,,,
106,,,FT01304 - Elevs = GVRD +0.097,,,20140616,1001753337,2,Stoplogs,,,,,Surrey,,0.01,20140616,,Surrey,,,In Service,,,
107,,,FT10305 - Elevs = GVRD +0.097,,,20140616,1001753341,4,Retaining Wall,,,,172 St & 36 Ave,Surrey,Galvanized Steel,0.87,20140616,,Surrey,,,In Service,,,
108,,,FT10305 - Elevs = GVRD +0.097,,,20140616,1001753342,4,Retaining Wall,,,,172 St & 36 Ave,Surrey,Galvanized Steel,0.88,20140616,,Surrey,,,In Service,,,
109,,,FT10305 - Elevs = GVRD +0.097,,,20140616,1001753343,2,Stoplogs,,,,172 St & 36 Ave,Surrey,,-1.12,20140616,,Surrey,,,In Service,,,
110,,,,,,20160322,1001866076,4,Retaining Wall,Final AB,,,,Surrey,Lock Block,,20160331,,Surrey,4815-3030-00,,In Service,,2015,
111,,,Left Side,,,20120103,1001224819,0,Dyke,Final AB,,,168 St to 176 St,,Earth,,20160830,Central Nicomekl,Surrey,,,In Service,,2012,
112,20,100,Left Dyke,,,20160518,1001877821,0,Dyke,Final AB,,,Nicomekl River to Colebrook Rd,,Earth,1.32,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,
113,20,100,Right Dyke,,,20160518,1001877847,0,Dyke,Final AB,1001877821,0,Nicomekl River to Colebrook Rd,,Earth,1.35,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
114,120,340,Left Dyke,,,20160518,1001877849,0,Dyke,Final AB,1001877823,0,Nicomekl River to Colebrook Rd,,Earth,1.03,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
115,120,340,Right Dyke,,,20160518,1001877850,0,Dyke,Final AB,1001877849,0,Nicomekl River to Colebrook Rd,,Earth,0.87,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
116,340,540,Right Dyke,,,20160518,1001877851,0,Dyke,Final AB,1001877823,0,Nicomekl River to Colebrook Rd,,Earth,1.1500000000000001,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
117,340,540,Left Dyke,,,20160518,1001877852,0,Dyke,Final AB,1001877823,0,Nicomekl River to Colebrook Rd,,Earth,1.09,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
118,540,880,Left Dyke,,,20160518,1001877853,0,Dyke,Final AB,1001877823,0,Nicomekl River to Colebrook Rd,,Earth,1.05,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
119,540,880,Right Dyke,,,20160518,1001877854,0,Dyke,Final AB,1001877823,0,Nicomekl River to Colebrook Rd,,Earth,1.05,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
120,880,1140,Right Dyke,,,20160518,1001877855,0,Dyke,Final AB,1001877823,0,Nicomekl River to Colebrook Rd,,Earth,1.11,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
121,880,1140,Left Dyke,,,20160518,1001877856,0,Dyke,Final AB,1001877823,0,Nicomekl River to Colebrook Rd,,Earth,1.2,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
122,1140,1480,Left Dyke,,,20160518,1001877823,0,Dyke,Final AB,,,Nicomekl River to Colebrook Rd,,Earth,1.17,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,
123,1140,1480,Right Dyke,,,20160518,1001877859,0,Dyke,Final AB,1001877823,0,Nicomekl River to Colebrook Rd,,Earth,1.2,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
124,1520,1820,Left Dyke,,,20160518,1001877839,0,Dyke,Final AB,,,Nicomekl River to Colebrook Rd,,Earth,1.25,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,
125,1480,1500,Left Dyke,,,20160518,1001877860,0,Dyke,Final AB,1001877823,0,Nicomekl River to Colebrook Rd,,Earth,1.27,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
126,1480,1500,Right Dyke,,,20160518,1001877861,0,Dyke,Final AB,1001877860,0,Nicomekl River to Colebrook Rd,,Earth,1.24,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
127,1520,1820,Right Dyke,,,20160518,1001877864,0,Dyke,Final AB,1001877839,0,Nicomekl River to Colebrook Rd,,Earth,1.25,20160830,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
128,,,,,,20160519,1001878007,1,Spillway,Final AB,,,,,Riprap,,20160830,,Surrey,4812-4020-00,,In Service,,2015,
129,,,,,,20170612,1001935286,4,Retaining Wall,Final AB,,,,Surrey,Lock Block,,20170612,,Surrey,7814-0011-01,,In Service,,2017,
130,1820,1920,Left Dyke,,,20160518,1001877863,0,Dyke,Final AB,1001877839,0,Nicomekl River to Colebrook Rd,,Earth,1.26,20160817,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
131,1820,1920,Right Dyke,,,20160518,1001877862,0,Dyke,Final AB,1001877839,0,Nicomekl River to Colebrook Rd,,Earth,0.43,20160817,Southwest Cloverdale Dyke,Surrey,4812-4020-00,,In Service,,2015,0
132,1271,1376,,,,20110824,1001210376,0,Dyke,Final AB,,,,Surrey,Earth,4.95,20120424,,Surrey,4811-1120-00,,In Service,,2011,
133,,,,,,20170612,1001935285,4,Retaining Wall,Final AB,,,,Surrey,Lock Block,,20170612,,Surrey,7814-0011-01,,In Service,,2017,
134,,,Sheet Piling,,,20140709,1001755719,4,Retaining Wall,Final AB,,,British Motors,Surrey,Galvanized Steel,2,20140709,,Surrey,4899-3280-00,,In Service,,2001,
135,,,This spillway is in its correct spatial location.,,,20141208,1001724736,1,Spillway,Final AB,,,16434 03200,Surrey,Riprap,10.9,20141208,Orchard Grove Detention Pond,Surrey,7813-0071-00,,In Service,,2014,
136,,,Sierra Slope Wall,,,20151005,1001841306,4,Retaining Wall,Final AB,,,,,Earth,,20170613,,Surrey,4814-8010-00,,In Service,,2016,
137,,,,,,20140425,1001743955,1,Spillway,Final AB,,,,Surrey,Earth,77.94,20140425,,Surrey,7883-1740-00,,In Service,,1986,
138,,,,,,20120103,1001224778,0,Dyke,Final AB,,,40 Ave to 3910 155 St,,Earth,,20120103,Lower Nicomekl Dyke,Surrey,,,In Service,,2012,
139,,,,,,20120103,1001224770,0,Dyke,Final AB,,,Nicomekl Seadam to 40 Avenue,,Earth,,20120103,Lower Nicomekl Dyke,Surrey,,,In Service,,2012,
140,,,,,,20140425,1001743954,1,Spillway,Final AB,,,,Surrey,Earth,78.2,20140425,,Surrey,7883-1740-00,,In Service,,1986,
141,,,,,,20140428,1001744071,1,Spillway,,,,,Surrey,Earth,,20140428,,Surrey,,,In Service,,,
142,,,,,,20140428,1001744069,1,Spillway,Final AB,,,,Surrey,Earth,,20140428,,Surrey,A-158,,In Service,,1980,
143,,,,,,20140428,1001744067,1,Spillway,,,,,,Earth,,20140428,,Surrey,,,In Service,,,
144,,,,,,20140428,1001744070,1,Spillway,,,,,Surrey,Earth,,20140428,,Surrey,,,In Service,,,
145,,,Right Side,,,20120103,1001224824,0,Dyke,Final AB,,,184 St to 18999 48 Ave,,Earth,,20120103,Upper Nicomekl Dyke,Surrey,,,In Service,,2012,
146,,,,,,20140428,1001744068,1,Spillway,Final AB,,,,Surrey,Earth,,20140428,,Surrey,A-158,,In Service,,1980,
147,,,Deltalok Wall,,,20140505,1001746115,0,Retaining Wall,Final AB,,,,Surrey,Lock Block,,20140505,Chantrell Detention Pond,Surrey,4898-6060-00,,In Service,,2014,
