,AMANDA_ROWID,DESCRIPTION,PROJECT_NO,STATUS,WEBLINK
59,2483,,89-0012-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0012
60,2484,,89-0013-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0013
61,2485,,89-0014-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0014
62,2486,,89-0015-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0015
63,2487,"Phase 0: 
Phase 1: 
Phase 2: ",89-0016-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0016
64,2488,,89-0017-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0017
65,2489,,89-0018-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0018
66,2490,,89-0019-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0019
67,2491,,89-0020-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0020
68,2492,,89-0021-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0021
69,2493,,89-0022-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0022
70,2495,,89-0024-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0024
71,2496,,89-0025-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0025
72,2497,,89-0026-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0026
73,2498,,89-0027-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0027
74,2499,,89-0028-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0028
75,2500,,89-0029-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0029
76,2501,,89-0030-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0030
77,2502,,89-0031-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0031
78,2504,,89-0033-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0033
79,2505,,89-0034-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0034
80,2506,,89-0035-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0035
81,2507,,89-0036-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0036
82,2508,,89-0037-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0037
83,2509,,89-0038-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0038
84,2510,,89-0039-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0039
85,2511,,89-0040-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0040
86,2512,,89-0041-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0041
87,2513,,89-0042-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0042
88,2514,,89-0043-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0043
89,2515,,89-0044-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0044
90,2517,,89-0046-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0046
91,2518,,89-0047-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0047
92,2519,,89-0048-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0048
93,2520,,89-0049-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0049
94,2522,,89-0051-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0051
95,2523,,89-0052-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0052
96,2525,,89-0054-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0054
97,2527,"Phase 0: 
Phase 1: ",89-0056-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0056
98,2528,,89-0057-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0057
99,2529,,89-0058-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0058
100,2530,,89-0059-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0059
101,2534,,89-0063-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0063
102,2535,,89-0064-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0064
103,2536,,89-0065-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0065
104,2538,,89-0067-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0067
105,2539,,89-0068-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0068
106,2540,,89-0069-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0069
107,2541,"Phase 0: 
Phase 1: ",89-0070-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0070
108,2542,,89-0071-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0071
109,2543,,89-0072-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0072
110,2544,,89-0073-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0073
111,2545,,89-0074-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0074
112,2546,,89-0075-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0075
113,2547,,89-0076-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0076
114,2548,,89-0077-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0077
115,2549,,89-0078-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0078
116,2550,,89-0079-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0079
117,2551,,89-0080-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0080
118,2553,,89-0082-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0082
119,2554,"Phase 0: 
Phase 1: 
Phase 2: 
Phase 3: ",89-0083-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0083
120,2556,,89-0085-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0085
121,2557,,89-0086-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0086
122,2558,,89-0087-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0087
123,2559,,89-0088-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0088
124,2560,,89-0089-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0089
125,2564,,89-0093-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0093
126,2565,,89-0094-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0094
127,2566,,89-0095-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0095
128,2568,,89-0097-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0097
129,2569,,89-0098-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0098
130,2570,,89-0099-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0099
131,2571,,89-0100-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0100
132,2572,,89-0101-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0101
133,2574,,89-0103-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0103
134,2575,,89-0104-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0104
135,2576,,89-0105-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0105
136,2577,,89-0106-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0106
137,2578,,89-0107-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0107
138,2579,,89-0108-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0108
139,2580,"Phase 0: 
Phase 1: 
Phase 2: 
Phase 3: ",89-0109-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0109
140,2581,,89-0110-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0110
141,2582,,89-0111-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0111
142,2584,,89-0113-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0113
143,2586,,89-0115-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0115
144,2587,,89-0116-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0116
145,2588,,89-0117-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0117
146,2589,,89-0118-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0118
147,2592,,89-0121-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0121
148,2594,,89-0123-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0123
149,2595,"Phase 0: 
Phase 1: ",89-0124-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0124
150,2596,,89-0125-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0125
151,2599,,89-0128-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0128
152,2600,,89-0129-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0129
153,2602,,89-0131-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0131
154,2603,,89-0132-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0132
155,2607,,89-0136-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0136
156,2608,,89-0137-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0137
157,2609,,89-0138-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0138
158,2611,,89-0140-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0140
159,2612,,89-0141-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0141
160,2614,,89-0143-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0143
161,2616,,89-0145-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0145
162,2617,,89-0146-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0146
163,2618,,89-0147-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0147
164,2619,,89-0148-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0148
165,2620,,89-0149-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0149
166,2623,,89-0152-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0152
167,2624,,89-0153-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0153
168,2625,"Phase 0: 
Phase 1: ",89-0154-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0154
169,2626,,89-0155-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0155
170,2627,,89-0156-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0156
171,2628,,89-0157-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0157
172,2629,,89-0158-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0158
173,2630,,89-0159-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0159
174,2632,,89-0161-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0161
175,2633,,89-0162-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0162
176,2634,,89-0163-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0163
177,2635,"Phase 0: 
Phase 1: 
Phase 2: 
Phase 3: 
Phase 4: 
Phase 5: ",89-0164-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0164
178,2636,,89-0165-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0165
179,2637,,89-0166-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0166
180,2638,,89-0167-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0167
181,2639,,89-0168-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0168
182,2641,,89-0170-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0170
183,2642,,89-0171-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0171
184,2643,,89-0172-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0172
185,2645,,89-0174-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0174
186,2647,"Phase 0: 
Phase 1: 
Phase 2: 
Phase 3: ",89-0176-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0176
187,2648,,89-0177-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0177
188,2649,"Phase 0: 
Phase 1: ",89-0178-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0178
189,2650,,89-0179-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0179
190,2651,,89-0180-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0180
191,2652,,89-0181-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0181
192,2653,,89-0182-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0182
193,2655,,89-0184-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0184
194,2656,,89-0185-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0185
195,2658,,89-0187-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0187
196,2660,"Phase 0: 
Phase 1: ",89-0189-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0189
197,2662,"Phase 0: 
Phase 1: 
Phase 2: ",89-0191-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0191
198,2663,,89-0192-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0192
199,2664,,89-0193-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0193
200,2665,,89-0194-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0194
201,2666,,89-0195-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0195
202,2667,,89-0196-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0196
203,2669,,89-0198-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0198
204,2673,,89-0202-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0202
205,2674,,89-0203-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0203
206,2677,,89-0206-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0206
207,2680,"Phase 0: 
Phase 1: 
Phase 2: ",89-0209-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0209
208,2681,,89-0210-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0210
209,2682,,89-0211-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0211
210,2683,,89-0212-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0212
211,2684,"Phase 0: 
Phase 1: 
Phase 2: ",89-0213-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0213
212,2685,,89-0214-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0214
213,2686,"Phase 0: 
Phase 1: 
Phase 2: ",89-0215-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0215
214,2687,,89-0216-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0216
215,2689,,89-0218-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0218
216,2690,,89-0219-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0219
217,2692,"Phase 0: 
Phase 1: 
Phase 2: ",89-0221-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0221
218,2693,,89-0222-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0222
219,2694,,89-0223-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0223
220,2695,,89-0224-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0224
221,2696,,89-0225-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0225
222,2697,,89-0226-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0226
223,2698,,89-0227-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0227
224,2699,,89-0228-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0228
225,2700,,89-0229-00,Concluded,https://apps.surrey.ca/Online-Development-Inquiry/?year=89&seq=0229
