,COMMENTS,ECOLOGICAL_SIGNIFICANCE,HECTARES,ID,NAME,TYPE
374,n/a,40,0.6564616,7175,n/a,n/a
375,n/a,40,0.35047916,7177,n/a,n/a
376,n/a,40,0.87338064,7565,n/a,n/a
377,n/a,40,0.65834755,7522,n/a,n/a
378,n/a,38,1.16025478,7957,n/a,n/a
379,n/a,52,2.09321881,235,n/a,n/a
380,n/a,48,1.6551317399999999,535,n/a,n/a
381,n/a,58,2.42495758,359,n/a,n/a
382,n/a,56,3.31985353,867,n/a,n/a
383,n/a,56,0.40259019,1415,n/a,n/a
384,n/a,42,3.94643018,2411,n/a,n/a
385,n/a,46,1.41319843,2877,n/a,n/a
386,n/a,38,5.6347264599999995,3667,n/a,n/a
387,n/a,34,1.5223798899999998,3849,n/a,n/a
388,n/a,38,0.40542511000000003,3969,n/a,n/a
389,n/a,46,3.71819555,5624,n/a,n/a
390,n/a,44,1.34982773,7459,n/a,n/a
391,n/a,47,4.70496222,7503,n/a,n/a
392,n/a,44,4.51821855,7707,n/a,n/a
393,n/a,42,1.20763686,100,n/a,n/a
394,n/a,42,0.82157674,92,n/a,n/a
395,n/a,40,0.60365015,226,n/a,n/a
396,n/a,52,5.45164227,1953,n/a,n/a
397,n/a,57,2.95849187,2000,n/a,n/a
398,n/a,44,6.2516285400000005,4708,n/a,n/a
399,n/a,34,0.38315443,4382,n/a,n/a
400,n/a,48,0.54302456,6307,n/a,n/a
401,n/a,43,3.33824822,5947,n/a,n/a
402,n/a,44,1.68770996,7037,n/a,n/a
403,n/a,49,6.36631231,7111,n/a,n/a
404,n/a,57,8.58328382,7239,n/a,n/a
405,n/a,32,0.26116407,1551,n/a,n/a
406,n/a,38,0.31271742,4621,n/a,n/a
407,n/a,32,0.40225259,5023,n/a,n/a
408,n/a,46,0.3755509,5288,n/a,n/a
409,n/a,36,0.35874108,6123,n/a,n/a
410,n/a,41,3.7802956500000002,6501,n/a,n/a
411,n/a,32,1.33856825,7560,n/a,n/a
412,n/a,52,2.73175895,8031,n/a,n/a
413,n/a,40,0.9739171,8164,n/a,n/a
414,n/a,36,0.58558238,1219,n/a,n/a
415,n/a,48,0.40431909,2123,n/a,n/a
416,n/a,40,0.70894009,3748,n/a,n/a
417,n/a,38,0.28914054,4237,n/a,n/a
418,n/a,36,0.64515091,4532,n/a,n/a
419,n/a,32,0.36763876,5248,n/a,n/a
420,n/a,32,3.6668686900000003,5988,n/a,n/a
421,n/a,30,0.4368822,5283,n/a,n/a
422,n/a,32,0.93026916,4845,n/a,n/a
423,n/a,50,2.32963127,5795,n/a,n/a
424,n/a,36,0.60939051,6262,n/a,n/a
425,n/a,40,0.78016489,7559,n/a,n/a
426,n/a,36,0.30613775,7078,n/a,n/a
427,n/a,40,1.41883358,7970,n/a,n/a
428,n/a,34,0.3893606,8109,n/a,n/a
429,n/a,36,0.34023153,1144,n/a,n/a
430,n/a,34,0.34153017,934,n/a,n/a
431,n/a,36,0.75988306,1752,n/a,n/a
432,n/a,36,0.79008594,3792,n/a,n/a
433,n/a,46,0.95646405,4250,n/a,n/a
434,n/a,46,1.06442495,4347,n/a,n/a
435,n/a,44,1.52409296,4043,n/a,n/a
436,n/a,55,4.34936168,4499,n/a,n/a
437,n/a,40,0.77284977,4935,n/a,n/a
438,n/a,30,2.28052041,5704,n/a,n/a
439,n/a,36,7.29420572,5082,n/a,n/a
440,n/a,34,0.25724328,4876,n/a,n/a
441,n/a,40,0.73039597,6827,n/a,n/a
442,n/a,40,1.81403152,6702,n/a,n/a
443,n/a,42,0.60572254,7010,n/a,n/a
444,n/a,40,0.33094926,6942,n/a,n/a
445,n/a,40,0.55251578,7180,n/a,n/a
446,n/a,34,0.51331068,7847,n/a,n/a
447,n/a,46,0.5807207,1363,n/a,n/a
448,n/a,38,0.79707564,1975,n/a,n/a
449,n/a,48,1.1409525,0,n/a,n/a
450,n/a,44,1.6579505,2315,n/a,n/a
451,n/a,52,0.51687337,2448,n/a,n/a
452,n/a,38,0.98596757,2462,n/a,n/a
453,n/a,38,0.47576328,3783,n/a,n/a
454,n/a,44,2.75218068,4471,n/a,n/a
455,n/a,32,2.47819702,4859,n/a,n/a
456,n/a,47,1.4951799000000001,5012,n/a,n/a
457,n/a,42,1.52195561,4891,n/a,n/a
458,n/a,44,2.09313283,6197,n/a,n/a
459,n/a,46,0.55845269,8088,n/a,n/a
460,n/a,42,0.46378449,1046,n/a,n/a
461,n/a,46,0.33559666,1233,n/a,n/a
462,n/a,38,0.41710231000000003,928,n/a,n/a
463,n/a,38,1.65177553,1308,n/a,n/a
464,n/a,34,1.7199087899999999,1373,n/a,n/a
465,n/a,44,3.80443231,520,n/a,n/a
466,n/a,53,3.59649184,2157,n/a,n/a
467,n/a,40,2.95756219,3709,n/a,n/a
468,n/a,42,0.69098169,6147,n/a,n/a
469,n/a,38,0.89759073,6705,n/a,n/a
470,n/a,36,1.5069976299999999,7256,n/a,n/a
471,n/a,38,0.86156456,7194,n/a,n/a
472,n/a,48,0.39984736,7098,n/a,n/a
473,n/a,54,0.30795308,8039,n/a,n/a
474,n/a,32,0.41851126,8059,n/a,n/a
475,n/a,38,2.00856819,8139,n/a,n/a
476,n/a,42,0.29134853,721,n/a,n/a
477,n/a,42,0.46351903,723,n/a,n/a
478,n/a,52,2.46851153,508,n/a,n/a
479,n/a,38,0.26864042,1291,n/a,n/a
480,n/a,44,0.54690069,1991,n/a,n/a
481,n/a,48,4.76045254,1896,n/a,n/a
482,n/a,38,0.95225543,4014,n/a,n/a
483,n/a,47,2.95610246,4556,n/a,n/a
484,n/a,42,1.50809252,7990,n/a,n/a
485,n/a,50,0.40239174,7711,n/a,n/a
486,n/a,48,0.62843064,157,n/a,n/a
487,n/a,48,0.91677283,184,n/a,n/a
488,n/a,36,0.71066463,1287,n/a,n/a
489,n/a,55,3.14829535,1225,n/a,n/a
490,n/a,46,2.87748187,1972,n/a,n/a
491,n/a,38,1.75556022,7440,n/a,n/a
492,n/a,46,0.55923441,6876,n/a,n/a
493,n/a,50,2.36160059,7050,n/a,n/a
494,n/a,52,0.53282314,1863,n/a,n/a
495,n/a,48,2.13471404,3179,n/a,n/a
496,n/a,38,1.05165619,5257,n/a,n/a
497,n/a,40,1.04542268,6136,n/a,n/a
498,n/a,26,3.35601516,6899,n/a,n/a
499,n/a,34,0.6221167,7345,n/a,n/a
500,n/a,38,1.93410158,7740,n/a,n/a
501,n/a,38,0.81876679,7797,n/a,n/a
502,n/a,42,4.34970726,7823,n/a,n/a
503,n/a,38,3.75616602,3890,n/a,n/a
504,n/a,36,0.7757933100000001,3715,n/a,n/a
505,n/a,34,0.44459195,3767,n/a,n/a
506,n/a,36,0.66237256,4029,n/a,n/a
507,n/a,30,0.31573181,5687,n/a,n/a
508,n/a,36,0.99380701,5584,n/a,n/a
509,n/a,36,0.79036138,5544,n/a,n/a
510,n/a,36,1.46482432,4408,n/a,n/a
511,n/a,32,0.27855432,6234,n/a,n/a
512,n/a,34,0.26801562,6883,n/a,n/a
513,n/a,48,1.26712947,7884,n/a,n/a
514,n/a,34,3.13715682,8114,n/a,n/a
515,n/a,34,2.06860865,8085,n/a,n/a
516,n/a,36,0.6656413,778,n/a,n/a
517,n/a,36,0.56814858,1440,n/a,n/a
518,n/a,36,0.29857688,1655,n/a,n/a
519,n/a,40,6.60865833,1654,n/a,n/a
520,n/a,40,0.7129644,3805,n/a,n/a
521,n/a,44,1.13052817,4696,n/a,n/a
522,n/a,36,1.81993903,4529,n/a,n/a
523,n/a,55,2.09466672,4330,n/a,n/a
524,n/a,36,0.2845747,4119,n/a,n/a
525,n/a,36,1.3251411,4253,n/a,n/a
526,n/a,38,0.70553316,4882,n/a,n/a
527,n/a,50,0.42997075,4486,n/a,n/a
528,n/a,44,0.57327406,5650,n/a,n/a
529,n/a,38,3.34097945,5649,n/a,n/a
530,n/a,34,0.36264374,5786,n/a,n/a
531,n/a,42,2.0215773,6411,n/a,n/a
532,n/a,40,0.43241217,6463,n/a,n/a
533,n/a,50,0.40453791,6194,n/a,n/a
534,n/a,46,1.16283099,6840,n/a,n/a
535,n/a,39,2.16592044,8154,n/a,n/a
536,n/a,36,0.97491883,1490,n/a,n/a
537,n/a,32,0.54213683,1072,n/a,n/a
538,n/a,36,2.32500227,1499,n/a,n/a
539,n/a,42,1.20434937,1597,n/a,n/a
540,n/a,44,2.52824123,3882,n/a,n/a
541,n/a,46,4.61956523,3793,n/a,n/a
542,n/a,48,0.27482944,4411,n/a,n/a
543,n/a,40,1.30402602,4042,n/a,n/a
544,n/a,50,0.3583774,4081,n/a,n/a
545,n/a,55,6.38717997,4254,n/a,n/a
546,n/a,44,0.80845414,4126,n/a,n/a
547,n/a,40,2.5203442799999998,7554,n/a,n/a
548,n/a,32,0.53901743,7875,n/a,n/a
549,n/a,38,0.73444293,1802,n/a,n/a
550,n/a,32,0.28549152,1546,n/a,n/a
